Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",22.88,22.92,22.55,22.89,22.89,13419
"Apr 02, 2020",23.41,23.41,22.42,22.89,22.89,67848
"Apr 01, 2020",23.49,23.49,22.44,23.30,23.30,20706
"Mar 31, 2020",23.98,23.98,23.40,23.57,23.57,14610
"Mar 30, 2020",23.25,23.75,22.99,23.61,23.61,29041
"Mar 27, 2020",23.01,23.52,23.00,23.32,23.32,11642
"Mar 26, 2020",23.89,24.56,23.32,24.56,24.56,20416
"Mar 25, 2020",22.11,24.20,22.11,23.67,23.67,47116
"Mar 24, 2020",21.38,22.47,21.38,22.06,22.06,53852
"Mar 23, 2020",21.56,21.95,19.00,20.38,20.38,84036
"Mar 20, 2020",22.00,22.37,21.35,21.35,21.35,84082
"Mar 19, 2020",20.70,22.25,19.61,22.01,22.01,31070
"Mar 18, 2020",22.29,22.29,19.69,20.75,20.75,35955
"Mar 17, 2020",23.30,23.35,22.60,22.64,22.64,32613
"Mar 16, 2020",23.70,23.70,22.65,22.86,22.86,55029
"Mar 13, 2020",24.25,24.55,23.29,24.45,24.45,73005
"Mar 12, 2020",24.99,24.99,23.62,23.77,23.77,175923
"Mar 11, 2020",25.65,25.74,25.17,25.30,25.30,38365
"Mar 10, 2020",25.62,25.62,25.25,25.39,25.39,20753
"Mar 09, 2020",25.28,25.33,25.00,25.22,25.22,74589
"Mar 06, 2020",25.81,25.85,25.50,25.60,25.60,11388
"Mar 05, 2020",26.08,26.20,25.80,25.81,25.81,23916
"Mar 04, 2020",26.28,26.40,26.11,26.21,26.21,15103
"Mar 03, 2020",25.79,26.45,25.79,25.98,25.98,12277
"Mar 02, 2020",25.30,26.09,25.30,25.79,25.79,26631
"Feb 28, 2020",25.41,25.44,25.17,25.40,25.40,28591
"Feb 27, 2020",25.77,25.89,25.39,25.63,25.63,68541
"Feb 26, 2020",25.73,26.15,25.62,25.85,25.85,18582
"Feb 25, 2020",26.27,26.27,25.67,25.74,25.74,38190
"Feb 24, 2020",26.43,26.43,26.16,26.31,26.31,14561
"Feb 21, 2020",26.59,26.59,26.40,26.49,26.49,17237
"Feb 20, 2020",26.55,26.63,26.48,26.62,26.62,8875
"Feb 19, 2020",26.50,26.71,26.35,26.35,26.35,22699
"Feb 18, 2020",26.51,26.55,26.44,26.44,26.44,11679
"Feb 14, 2020",26.47,26.65,26.38,26.52,26.52,33648
"Feb 13, 2020",26.45,26.55,26.45,26.55,26.55,9901
"Feb 12, 2020",26.48,26.69,26.48,26.49,26.49,41107
"Feb 11, 2020",26.52,26.65,26.50,26.55,26.55,13428
"Feb 10, 2020",26.59,26.59,26.43,26.56,26.56,7687
"Feb 07, 2020",26.36,26.72,26.36,26.52,26.52,20576
"Feb 06, 2020",26.40,26.42,26.30,26.38,26.38,13905
"Feb 05, 2020",26.32,26.32,26.20,26.31,26.31,19179
"Feb 04, 2020",26.16,26.33,26.16,26.29,26.29,18292
"Feb 03, 2020",26.34,26.34,26.01,26.25,26.25,18849
"Jan 31, 2020",26.21,26.22,26.10,26.13,26.13,13959
"Jan 30, 2020",25.95,26.18,25.95,26.10,26.10,20012
"Jan 29, 2020",25.94,26.00,25.85,25.98,25.98,47894
"Jan 28, 2020",25.99,26.08,25.92,26.01,26.01,36582
"Jan 27, 2020",25.92,26.11,25.92,26.01,26.01,49472
"Jan 24, 2020",26.02,26.05,25.94,26.02,26.02,6295
"Jan 23, 2020",26.19,26.19,25.98,26.07,26.07,23357
"Jan 22, 2020",25.90,26.05,25.90,25.98,25.98,38543
"Jan 21, 2020",25.95,25.95,25.84,25.90,25.90,15621
"Jan 17, 2020",26.07,26.07,25.73,25.95,25.95,69777
"Jan 16, 2020",25.94,26.08,25.93,25.97,25.97,49980
"Jan 15, 2020",26.01,26.22,25.82,26.00,26.00,71441
"Jan 14, 2020",26.05,26.15,26.05,26.10,26.10,41283
"Jan 13, 2020",25.88,26.04,25.83,26.02,26.02,34554
"Jan 10, 2020",25.82,25.87,25.72,25.86,25.86,48933
"Jan 09, 2020",25.77,25.90,25.77,25.85,25.85,118675
