Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",272.91,276.24,260.39,264.80,264.80,668600
"Apr 02, 2020",259.55,278.64,256.37,274.94,274.94,1091700
"Apr 01, 2020",258.30,268.00,252.16,260.47,260.47,834500
"Mar 31, 2020",273.79,274.29,262.44,269.97,269.97,1856000
"Mar 30, 2020",269.42,280.40,260.12,278.66,278.66,824700
"Mar 27, 2020",251.25,270.04,251.25,261.38,261.38,849700
"Mar 26, 2020",245.13,267.27,243.37,264.49,264.49,1038400
"Mar 25, 2020",237.99,251.22,237.99,243.14,243.14,1178900
"Mar 24, 2020",221.93,244.87,220.54,242.24,242.24,1703100
"Mar 23, 2020",231.51,231.51,205.20,215.46,215.46,1736200
"Mar 20, 2020",247.22,249.24,228.13,229.33,229.33,1384300
"Mar 19, 2020",261.90,261.90,232.70,245.14,245.14,1396200
"Mar 18, 2020",268.54,279.86,254.41,260.25,260.25,1528900
"Mar 17, 2020",264.63,280.74,254.90,274.46,274.46,1576700
"Mar 16, 2020",259.56,276.45,246.58,256.71,256.71,1664800
"Mar 13, 2020",276.37,282.70,265.75,281.89,281.89,1530100
"Mar 12, 2020",257.15,282.05,245.53,263.96,263.96,1721500
"Mar 11, 2020",272.91,280.33,271.21,274.70,274.70,1096000
"Mar 10, 2020",270.29,282.74,265.31,281.89,281.89,1176900
"Mar 09, 2020",270.44,276.05,264.09,264.71,264.71,1079100
"Mar 09, 2020",0.465 Dividend,0.465 Dividend,0.465 Dividend,0.465 Dividend,0.465 Dividend,0.465 Dividend
"Mar 06, 2020",292.64,295.78,276.79,285.57,285.11,1049600
"Mar 05, 2020",297.49,303.69,295.88,300.32,299.83,1020600
"Mar 04, 2020",288.62,304.61,287.50,303.24,302.75,1180800
"Mar 03, 2020",285.00,295.40,281.94,286.66,286.19,1193900
"Mar 02, 2020",266.95,285.20,265.95,285.05,284.59,1231500
"Feb 28, 2020",267.05,268.44,257.22,265.09,264.66,1942500
"Feb 27, 2020",283.00,288.40,270.58,271.89,271.45,1324900
"Feb 26, 2020",292.51,293.28,285.22,288.28,287.81,844400
"Feb 25, 2020",295.88,302.39,287.49,291.09,290.62,881600
"Feb 24, 2020",295.80,299.04,294.29,295.51,295.03,825400
"Feb 21, 2020",292.43,309.85,287.38,295.65,295.17,1696000
"Feb 20, 2020",289.59,292.39,286.02,292.13,291.65,606300
"Feb 19, 2020",293.93,293.93,289.33,289.85,289.38,576300
"Feb 18, 2020",294.61,294.74,289.82,291.72,291.24,581200
"Feb 14, 2020",290.57,294.77,289.54,294.61,294.13,425200
"Feb 13, 2020",292.80,292.92,288.63,289.78,289.31,611800
"Feb 12, 2020",284.07,293.19,281.18,292.81,292.33,1099000
"Feb 11, 2020",272.15,287.47,271.99,284.00,283.54,1776900
"Feb 10, 2020",259.13,265.26,258.33,264.74,264.31,717900
"Feb 07, 2020",256.70,259.39,255.84,258.82,258.40,363800
"Feb 06, 2020",254.73,258.07,253.75,256.50,256.08,508600
"Feb 05, 2020",254.70,254.70,251.41,254.57,254.16,357600
"Feb 04, 2020",250.23,254.44,249.66,254.17,253.76,411700
"Feb 03, 2020",250.91,254.14,248.73,249.58,249.17,518500
"Jan 31, 2020",251.78,254.65,249.30,249.56,249.15,537800
"Jan 30, 2020",247.81,254.00,247.11,253.74,253.33,557100
"Jan 29, 2020",251.76,251.88,247.50,249.34,248.93,449300
"Jan 28, 2020",253.49,253.49,251.08,251.75,251.34,574100
"Jan 27, 2020",251.72,253.56,250.02,252.74,252.33,482300
"Jan 24, 2020",255.01,255.78,252.70,253.15,252.74,316600
"Jan 23, 2020",251.88,255.34,251.28,255.01,254.59,387300
"Jan 22, 2020",255.94,256.47,251.44,252.61,252.20,586000
"Jan 21, 2020",251.33,254.82,250.87,254.44,254.03,650200
"Jan 17, 2020",250.70,254.76,250.01,252.04,251.63,533200
"Jan 16, 2020",249.42,250.90,247.13,250.73,250.32,698000
"Jan 15, 2020",249.03,251.29,248.63,249.50,249.09,352200
"Jan 14, 2020",249.32,250.39,246.46,248.66,248.26,526300
"Jan 13, 2020",246.36,250.27,246.36,250.05,249.64,669000
"Jan 10, 2020",242.12,245.46,240.82,244.83,244.43,387000
"Jan 09, 2020",240.94,242.68,240.10,241.20,240.81,358900
"Jan 08, 2020",237.82,241.06,237.46,240.03,239.64,547800
"Jan 07, 2020",241.08,241.50,235.50,237.45,237.06,539300
"Jan 06, 2020",241.03,242.00,238.00,241.25,240.86,810600
"Jan 03, 2020",237.71,241.80,237.71,241.03,240.64,787400
"Jan 02, 2020",241.15,242.27,237.18,238.87,238.48,555800
"Dec 31, 2019",239.03,242.81,238.13,240.99,240.60,787000
"Dec 30, 2019",240.86,241.28,238.17,238.49,238.10,805300
"Dec 27, 2019",241.39,241.85,239.90,241.41,241.02,312700
"Dec 26, 2019",240.22,242.20,239.37,241.26,240.87,257300
"Dec 24, 2019",240.85,241.10,238.90,240.15,239.76,203000
"Dec 23, 2019",241.40,243.16,240.19,240.61,240.22,377800
"Dec 20, 2019",242.04,243.95,237.39,241.22,240.83,1202000
