Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",56.83,56.83,56.81,56.81,56.81,379
"Apr 02, 2020",55.81,58.94,53.93,56.84,56.84,2803
"Apr 01, 2020",56.00,57.73,56.00,57.73,57.73,768
"Mar 31, 2020",56.00,57.95,55.69,56.00,56.00,3751
"Mar 30, 2020",56.75,57.28,56.05,56.05,56.05,3568
"Mar 27, 2020",57.75,58.06,56.57,58.06,58.06,3512
"Mar 26, 2020",58.99,58.99,56.97,58.09,58.09,1936
"Mar 25, 2020",57.02,57.99,56.25,57.65,57.65,3022
"Mar 24, 2020",53.22,58.79,53.22,58.78,58.78,1876
"Mar 23, 2020",56.09,56.09,53.18,55.00,55.00,2535
"Mar 20, 2020",56.01,58.99,56.00,58.09,58.09,2968
"Mar 19, 2020",50.00,55.62,49.63,55.62,55.62,4998
"Mar 18, 2020",59.01,60.00,45.50,49.91,49.91,9968
"Mar 17, 2020",61.01,63.38,59.18,60.83,60.83,4933
"Mar 16, 2020",64.68,65.00,64.00,64.25,64.25,1991
"Mar 16, 2020",1.04688 Dividend,1.04688 Dividend,1.04688 Dividend,1.04688 Dividend,1.04688 Dividend,1.04688 Dividend
"Mar 13, 2020",66.54,66.83,64.17,66.00,64.95,2512
"Mar 12, 2020",68.02,68.34,66.95,67.26,66.19,1973
"Mar 11, 2020",70.50,70.50,70.50,70.50,69.38,694
"Mar 10, 2020",71.43,71.43,71.43,71.43,70.30,111
"Mar 09, 2020",73.61,73.61,70.50,71.57,70.43,3437
"Mar 06, 2020",75.60,75.60,75.60,75.60,74.40,230
"Mar 05, 2020",71.05,71.10,71.05,71.10,69.97,409
"Mar 04, 2020",71.50,72.00,71.50,72.00,70.86,600
"Mar 03, 2020",73.92,73.92,72.00,72.00,70.86,1446
"Mar 02, 2020",71.00,74.30,71.00,71.92,70.78,765
"Feb 28, 2020",74.00,74.00,71.00,71.00,69.87,473
"Feb 27, 2020",74.28,74.28,74.28,74.28,73.10,-
"Feb 26, 2020",73.26,74.28,73.26,74.28,73.10,613
"Feb 25, 2020",74.29,74.29,71.00,71.00,69.87,1930
"Feb 24, 2020",70.78,70.78,70.78,70.78,69.66,-
"Feb 21, 2020",72.91,72.91,70.78,70.78,69.66,1246
"Feb 20, 2020",72.48,72.50,72.00,72.00,70.86,1919
"Feb 19, 2020",73.34,73.35,73.26,73.26,72.10,1640
"Feb 18, 2020",75.10,75.10,73.32,73.35,72.19,830
"Feb 14, 2020",74.31,74.54,74.30,74.54,73.36,1006
"Feb 13, 2020",76.89,76.89,74.50,75.00,73.81,882
"Feb 12, 2020",75.37,75.37,74.98,74.98,73.79,1248
"Feb 11, 2020",76.46,76.46,76.46,76.46,75.25,241
"Feb 10, 2020",76.91,76.91,75.00,75.00,73.81,442
"Feb 07, 2020",72.28,75.15,72.28,73.18,72.02,614
"Feb 06, 2020",75.19,76.23,75.19,76.23,75.02,367
"Feb 05, 2020",76.98,77.26,76.98,77.07,75.85,447
"Feb 04, 2020",76.50,76.50,76.50,76.50,75.29,205
"Feb 03, 2020",74.97,75.00,74.97,75.00,73.81,400
"Jan 31, 2020",75.00,75.00,75.00,75.00,73.81,550
"Jan 30, 2020",77.70,77.70,74.20,74.56,73.38,1438
"Jan 29, 2020",75.82,75.93,75.82,75.82,74.62,1587
"Jan 28, 2020",76.00,76.13,75.51,75.51,74.31,8064
"Jan 27, 2020",76.00,76.84,75.75,76.00,74.79,4364
"Jan 24, 2020",76.24,76.60,76.21,76.60,75.38,1584
"Jan 23, 2020",75.72,75.72,75.72,75.72,74.52,149
"Jan 22, 2020",75.36,76.60,75.36,76.60,75.38,1141
"Jan 21, 2020",74.98,75.00,74.98,75.00,73.81,411
"Jan 17, 2020",75.21,75.24,75.21,75.24,74.05,200
"Jan 16, 2020",76.70,76.70,74.04,76.65,75.44,1150
"Jan 15, 2020",74.70,74.70,74.70,74.70,73.52,122
"Jan 14, 2020",74.49,75.00,74.49,74.78,73.59,710
"Jan 13, 2020",74.50,74.50,74.43,74.48,73.30,745
"Jan 10, 2020",74.51,74.51,74.07,74.11,72.94,1225
"Jan 09, 2020",72.50,72.51,72.50,72.51,71.36,505
"Jan 08, 2020",72.47,72.47,72.47,72.47,71.32,-
"Jan 07, 2020",72.47,72.47,72.47,72.47,71.32,230
"Jan 06, 2020",72.32,72.32,72.32,72.32,71.17,-
"Jan 03, 2020",72.07,72.32,72.07,72.32,71.17,466
"Jan 02, 2020",72.00,72.42,72.00,72.07,70.93,1105
"Dec 31, 2019",72.02,72.50,72.02,72.40,71.25,715
"Dec 30, 2019",72.50,72.50,72.24,72.24,71.10,324
"Dec 27, 2019",73.00,73.00,72.50,72.50,71.35,285
"Dec 26, 2019",72.84,72.84,72.84,72.84,71.68,206
"Dec 24, 2019",72.08,72.84,72.08,72.84,71.69,240
"Dec 23, 2019",72.41,72.41,72.41,72.41,71.26,100
"Dec 20, 2019",72.73,73.60,72.73,73.60,72.43,1085
"Dec 19, 2019",73.43,73.43,72.14,73.33,72.17,959
"Dec 18, 2019",70.21,73.28,70.21,73.28,72.12,1566
"Dec 17, 2019",72.00,72.00,72.00,72.00,70.86,301
"Dec 16, 2019",72.36,72.36,72.00,72.00,70.86,409
"Dec 16, 2019",1.04688 Dividend,1.04688 Dividend,1.04688 Dividend,1.04688 Dividend,1.04688 Dividend,1.04688 Dividend
"Dec 13, 2019",72.36,73.00,72.10,73.00,70.81,1183
"Dec 12, 2019",71.27,72.14,71.27,71.99,69.83,1849
"Dec 11, 2019",70.94,70.94,70.94,70.94,68.81,-
"Dec 10, 2019",70.94,70.94,70.94,70.94,68.81,-
"Dec 09, 2019",70.52,71.32,70.52,70.94,68.81,1237
"Dec 06, 2019",70.79,71.33,70.39,70.52,68.41,1200
"Dec 05, 2019",70.21,70.46,70.00,70.44,68.33,2415
"Dec 04, 2019",70.32,71.20,70.32,71.20,69.07,667
"Dec 03, 2019",70.00,70.25,70.00,70.25,68.14,625
"Dec 02, 2019",70.80,71.00,70.00,70.00,67.90,2365
"Nov 29, 2019",70.80,70.80,70.80,70.80,68.68,584
"Nov 27, 2019",70.83,71.45,70.83,71.45,69.31,250
"Nov 26, 2019",71.10,71.10,71.10,71.10,68.97,161
"Nov 25, 2019",70.80,70.80,70.80,70.80,68.68,167
"Nov 22, 2019",70.06,70.06,70.06,70.06,67.96,-
"Nov 21, 2019",70.06,70.06,70.06,70.06,67.96,-
