Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",44.21,47.12,44.19,46.72,46.72,6753900
"Apr 02, 2020",46.12,48.48,42.25,44.01,44.01,7679000
"Apr 01, 2020",50.75,51.33,46.00,47.04,47.04,8728800
"Mar 31, 2020",56.61,57.32,52.80,54.86,54.86,6507700
"Mar 30, 2020",57.57,58.00,54.81,56.27,56.27,4848900
"Mar 27, 2020",60.42,60.46,55.70,58.17,58.17,4837800
"Mar 26, 2020",62.69,65.49,58.40,62.10,62.10,8730100
"Mar 25, 2020",55.72,69.54,54.73,62.34,62.34,8662200
"Mar 24, 2020",54.45,57.18,52.56,54.73,54.73,7401800
"Mar 23, 2020",48.50,52.12,46.05,50.16,50.16,10694900
"Mar 20, 2020",58.97,63.41,46.16,48.14,48.14,9258400
"Mar 19, 2020",46.31,59.50,45.50,55.74,55.74,10392200
"Mar 18, 2020",54.50,55.54,43.52,44.92,44.92,12166900
"Mar 17, 2020",66.55,67.47,53.96,58.86,58.86,10561600
"Mar 16, 2020",78.88,78.89,65.32,65.79,65.79,5743600
"Mar 13, 2020",88.85,91.27,81.60,89.77,89.77,7038700
"Mar 12, 2020",92.52,95.74,82.76,83.49,83.49,7611300
"Mar 11, 2020",108.68,109.55,100.00,101.50,101.50,5926000
"Mar 10, 2020",107.00,112.49,102.78,111.44,111.44,6009900
"Mar 09, 2020",112.50,112.53,103.00,103.04,103.04,6489400
"Mar 06, 2020",116.96,119.69,115.05,119.06,119.06,3613100
"Mar 05, 2020",121.40,121.43,117.60,119.90,119.90,3553600
"Mar 04, 2020",123.32,124.44,120.09,123.49,123.49,3673600
"Mar 03, 2020",127.08,130.30,121.14,122.47,122.47,4913100
"Mar 02, 2020",123.45,127.33,120.35,127.22,127.22,3437900
"Feb 28, 2020",123.82,125.89,119.91,123.08,123.08,5790400
"Feb 27, 2020",130.04,132.54,125.02,125.80,125.80,3834700
"Feb 26, 2020",136.34,137.37,132.20,132.23,132.23,2228300
"Feb 25, 2020",140.78,141.04,134.81,135.28,135.28,4040700
"Feb 24, 2020",140.39,141.05,139.37,140.78,140.78,3097400
"Feb 21, 2020",139.85,142.77,139.85,142.25,142.25,3180200
"Feb 20, 2020",137.02,140.54,136.65,140.53,140.53,2202300
"Feb 19, 2020",138.87,138.87,135.42,137.01,137.01,2267800
"Feb 18, 2020",138.96,139.58,137.85,139.17,139.17,1594300
"Feb 14, 2020",138.86,139.27,137.87,138.92,138.92,1501100
"Feb 13, 2020",136.93,140.04,136.51,138.66,138.66,2557100
"Feb 13, 2020",2.1 Dividend,2.1 Dividend,2.1 Dividend,2.1 Dividend,2.1 Dividend,2.1 Dividend
"Feb 12, 2020",141.99,142.48,137.98,139.17,137.07,4957300
"Feb 11, 2020",143.50,144.30,139.87,142.08,139.94,3060400
"Feb 10, 2020",142.11,143.10,139.83,143.06,140.90,2893300
"Feb 07, 2020",140.32,141.04,139.29,141.02,138.89,1983500
"Feb 06, 2020",141.78,142.64,140.02,140.86,138.73,2151300
"Feb 05, 2020",137.27,140.63,137.25,140.47,138.35,2811900
"Feb 04, 2020",131.58,139.24,130.01,137.29,135.22,5060800
