Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",20.24,20.93,20.24,20.92,20.92,13100
"Apr 02, 2020",20.57,20.80,20.21,20.57,20.57,33700
"Apr 01, 2020",21.08,21.16,20.00,20.90,20.90,63600
"Mar 31, 2020",21.85,21.88,21.51,21.65,21.65,16800
"Mar 30, 2020",21.00,22.09,21.00,21.48,21.48,39300
"Mar 27, 2020",22.41,22.41,20.94,21.20,21.20,30400
"Mar 26, 2020",21.08,22.41,21.08,22.41,22.41,144100
"Mar 25, 2020",19.31,21.54,19.31,21.12,21.12,33200
"Mar 24, 2020",18.38,20.21,18.38,19.50,19.50,46500
"Mar 23, 2020",18.82,19.68,17.67,18.05,18.05,92500
"Mar 20, 2020",18.63,19.89,18.50,19.04,19.04,29200
"Mar 19, 2020",17.24,19.46,14.01,18.13,18.13,98500
"Mar 18, 2020",20.84,20.84,13.05,17.64,17.64,80300
"Mar 17, 2020",21.05,21.63,20.13,21.57,21.57,135600
"Mar 16, 2020",21.50,22.02,20.01,20.50,20.50,49300
"Mar 13, 2020",22.89,23.32,22.89,23.18,23.18,32000
"Mar 13, 2020",0.356 Dividend,0.356 Dividend,0.356 Dividend,0.356 Dividend,0.356 Dividend,0.356 Dividend
"Mar 12, 2020",24.42,24.50,21.75,22.76,22.40,75600
"Mar 11, 2020",25.07,25.42,25.02,25.42,25.02,60400
"Mar 10, 2020",25.11,25.45,25.05,25.24,24.85,50400
"Mar 09, 2020",24.79,25.33,24.77,25.00,24.61,59000
"Mar 06, 2020",25.37,25.48,25.07,25.10,24.71,18300
"Mar 05, 2020",25.31,25.50,25.31,25.37,24.97,30700
"Mar 04, 2020",25.55,25.55,25.35,25.35,24.95,20900
"Mar 03, 2020",25.49,25.85,25.31,25.35,24.95,7900
"Mar 02, 2020",25.16,25.55,25.16,25.46,25.06,25400
"Feb 28, 2020",25.40,25.40,25.16,25.16,24.77,147100
"Feb 27, 2020",25.57,25.59,25.31,25.40,25.00,26700
"Feb 26, 2020",25.64,25.70,25.45,25.57,25.17,16900
"Feb 25, 2020",25.72,25.72,25.59,25.61,25.21,65700
"Feb 24, 2020",25.61,25.74,25.57,25.59,25.19,16100
"Feb 21, 2020",25.78,25.87,25.74,25.74,25.34,25200
"Feb 20, 2020",25.87,25.89,25.72,25.79,25.39,29700
"Feb 19, 2020",25.89,25.89,25.69,25.70,25.30,15600
"Feb 18, 2020",25.84,25.90,25.81,25.90,25.49,4000
"Feb 14, 2020",25.78,25.94,25.78,25.94,25.53,11500
"Feb 13, 2020",25.91,25.92,25.83,25.90,25.49,6600
"Feb 12, 2020",25.76,25.94,25.76,25.89,25.49,5000
"Feb 11, 2020",25.86,25.93,25.86,25.89,25.49,6600
"Feb 10, 2020",25.87,25.87,25.85,25.86,25.46,6100
"Feb 07, 2020",25.87,25.87,25.85,25.87,25.47,7800
"Feb 06, 2020",25.78,25.87,25.77,25.87,25.47,8100
"Feb 05, 2020",25.87,25.87,25.82,25.87,25.47,9400
"Feb 04, 2020",25.88,25.88,25.82,25.86,25.46,10500
"Feb 03, 2020",25.82,25.88,25.80,25.88,25.48,11800
"Jan 31, 2020",25.74,25.83,25.64,25.82,25.42,35500
"Jan 30, 2020",25.65,25.74,25.65,25.72,25.32,11200
"Jan 29, 2020",25.63,25.65,25.63,25.65,25.25,8700
"Jan 28, 2020",25.58,25.64,25.58,25.63,25.23,3100
"Jan 27, 2020",25.55,25.63,25.51,25.63,25.23,6300
"Jan 24, 2020",25.65,25.65,25.61,25.61,25.21,5600
"Jan 23, 2020",25.63,25.65,25.61,25.65,25.25,6900
"Jan 22, 2020",25.65,25.67,25.63,25.64,25.24,9300
"Jan 21, 2020",25.63,25.65,25.58,25.65,25.25,9500
"Jan 17, 2020",25.53,25.64,25.53,25.64,25.24,5200
"Jan 16, 2020",25.51,25.63,25.51,25.63,25.23,22100
"Jan 15, 2020",25.62,25.63,25.55,25.59,25.19,15400
"Jan 14, 2020",25.55,25.62,25.55,25.62,25.22,22700
"Jan 13, 2020",25.62,25.62,25.59,25.62,25.22,56800
"Jan 10, 2020",25.55,25.63,25.55,25.61,25.21,91600
"Jan 09, 2020",25.54,25.63,25.53,25.62,25.22,7500
"Jan 08, 2020",25.50,25.72,25.50,25.67,25.27,21900
"Jan 07, 2020",25.62,25.63,25.58,25.58,25.18,15400
"Jan 06, 2020",25.62,25.69,25.51,25.62,25.22,20600
"Jan 03, 2020",25.49,25.62,25.47,25.55,25.15,12600
"Jan 02, 2020",25.35,25.49,25.32,25.48,25.08,17300
"Dec 31, 2019",25.35,25.35,25.21,25.21,24.82,21800
"Dec 30, 2019",25.27,25.37,25.25,25.34,24.94,17100
"Dec 27, 2019",25.25,25.26,25.22,25.25,24.86,8400
"Dec 26, 2019",25.23,25.25,25.23,25.25,24.86,2200
"Dec 24, 2019",25.27,25.27,25.22,25.22,24.83,7600
"Dec 23, 2019",25.25,25.28,25.25,25.27,24.87,8900
"Dec 20, 2019",25.20,25.27,25.20,25.25,24.86,5500
"Dec 19, 2019",25.19,25.21,25.19,25.21,24.82,5400
