Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",155.60,158.72,148.28,152.15,152.15,3766600
"Apr 02, 2020",154.05,160.50,153.55,156.27,156.27,3030000
"Apr 01, 2020",158.57,160.82,152.58,154.68,154.68,2973100
"Mar 31, 2020",167.43,169.88,162.16,163.26,163.26,2963000
"Mar 30, 2020",164.12,170.37,163.78,169.82,169.82,2731300
"Mar 27, 2020",165.00,169.29,160.61,162.88,162.88,3802500
"Mar 26, 2020",153.40,171.60,150.00,171.34,171.34,5194500
"Mar 25, 2020",156.44,159.69,148.11,151.82,151.82,4795500
"Mar 24, 2020",152.26,157.63,149.49,156.85,156.85,4685100
"Mar 23, 2020",148.01,148.01,137.15,143.69,143.69,6173700
"Mar 20, 2020",157.53,159.47,147.42,149.94,149.94,6449700
"Mar 19, 2020",151.36,177.80,151.36,158.50,158.50,6338300
"Mar 18, 2020",151.57,159.80,142.00,151.15,151.15,5860200
"Mar 17, 2020",154.00,160.66,152.48,157.71,157.71,6081100
"Mar 16, 2020",148.29,166.51,143.51,152.54,152.54,5324900
"Mar 13, 2020",160.62,166.71,152.93,166.51,166.51,5742800
"Mar 12, 2020",153.00,158.75,147.08,152.53,152.53,6357900
"Mar 11, 2020",169.32,171.17,162.65,165.11,165.11,5188300
"Mar 10, 2020",171.08,174.74,166.04,174.56,174.56,4349500
"Mar 09, 2020",165.40,170.88,160.10,164.11,164.11,5112200
"Mar 06, 2020",177.45,180.31,173.92,178.75,178.75,3284400
"Mar 05, 2020",185.09,187.46,180.92,182.56,182.56,3548200
"Mar 04, 2020",185.80,189.71,184.30,188.86,188.86,3875400
"Mar 03, 2020",189.77,191.90,180.62,182.22,182.22,3514000
"Mar 02, 2020",182.00,189.82,178.02,189.55,189.55,4317900
"Feb 28, 2020",180.26,183.20,175.30,180.59,180.59,5785200
"Feb 27, 2020",192.20,194.35,186.37,186.44,186.44,3040100
"Feb 26, 2020",198.67,201.45,194.79,195.67,195.67,2671100
"Feb 25, 2020",204.78,205.48,195.86,197.10,197.10,2883600
"Feb 24, 2020",204.47,207.87,203.45,204.36,204.36,2600400
"Feb 21, 2020",212.59,213.55,210.49,211.89,211.89,2088800
"Feb 20, 2020",215.88,216.32,211.61,213.90,213.90,1481700
"Feb 19, 2020",215.00,216.39,214.38,215.92,215.92,1806000
"Feb 18, 2020",212.50,214.06,211.20,213.76,213.76,1699400
"Feb 14, 2020",213.25,213.54,211.35,212.37,212.37,2096600
"Feb 13, 2020",209.87,213.54,209.34,212.40,212.40,1721200
"Feb 12, 2020",212.20,212.87,211.54,211.99,211.99,1801300
"Feb 11, 2020",213.38,213.98,211.76,212.14,212.14,1321000
"Feb 10, 2020",210.19,212.97,210.19,212.55,212.55,1421600
"Feb 07, 2020",213.34,213.39,211.09,211.58,211.58,1447700
"Feb 06, 2020",213.00,214.38,212.31,214.16,214.16,1611500
"Feb 05, 2020",213.89,214.46,210.41,212.22,212.22,2102500
"Feb 04, 2020",210.00,213.79,209.75,212.53,212.53,2242800
"Feb 03, 2020",205.34,208.42,205.25,207.80,207.80,2345700
"Jan 31, 2020",208.50,209.63,204.00,205.21,205.21,1793600
"Jan 30, 2020",207.50,208.93,205.20,208.37,208.37,1579600
"Jan 29, 2020",210.68,211.21,207.79,207.96,207.96,1491600
"Jan 28, 2020",207.87,210.96,207.25,210.24,210.24,1810200
"Jan 27, 2020",205.18,207.84,204.85,206.55,206.55,1381300
"Jan 24, 2020",211.00,211.59,208.05,208.57,208.57,2348900
"Jan 23, 2020",209.40,210.81,208.87,210.68,210.68,2368400
"Jan 22, 2020",210.20,211.86,209.35,209.41,209.41,1873600
"Jan 21, 2020",207.50,210.16,207.00,209.15,209.15,2687200
"Jan 17, 2020",210.00,210.65,208.35,209.20,209.20,2584500
"Jan 16, 2020",208.14,209.10,207.90,208.98,208.98,2691600
"Jan 15, 2020",208.00,208.44,206.73,207.26,207.26,1986000
"Jan 15, 2020",0.8 Dividend,0.8 Dividend,0.8 Dividend,0.8 Dividend,0.8 Dividend,0.8 Dividend
"Jan 14, 2020",209.55,211.00,207.03,207.73,206.93,2499100
"Jan 13, 2020",207.49,209.84,207.49,209.59,208.78,2202800
"Jan 10, 2020",206.93,208.31,206.73,207.66,206.86,1573100
"Jan 09, 2020",205.50,207.28,205.16,206.15,205.36,2910600
"Jan 08, 2020",204.00,205.45,203.53,204.33,203.54,2271300
"Jan 07, 2020",203.20,206.26,203.19,203.93,203.14,3097400
"Jan 06, 2020",208.27,208.79,206.81,208.43,207.63,2841400
"Jan 03, 2020",208.50,210.63,207.00,209.80,208.99,1802100
"Jan 02, 2020",210.86,211.92,208.81,210.15,209.34,2431100
"Dec 31, 2019",209.98,211.06,209.44,210.57,209.76,1371000
"Dec 30, 2019",212.24,212.24,209.05,210.64,209.83,1193900
"Dec 27, 2019",212.45,212.63,211.61,212.22,211.40,1292200
"Dec 26, 2019",211.61,212.12,211.26,212.05,211.23,1059800
"Dec 24, 2019",210.71,211.67,210.56,211.61,210.80,998500
"Dec 23, 2019",210.96,211.29,208.84,210.83,210.02,2220900
"Dec 20, 2019",211.11,213.25,209.07,211.10,210.29,4148800
"Dec 19, 2019",202.06,208.30,202.06,208.30,207.50,3759800
"Dec 18, 2019",203.60,206.17,203.51,205.76,204.97,3002800
"Dec 17, 2019",205.00,205.72,202.95,203.40,202.62,2377400
"Dec 16, 2019",207.12,208.66,204.97,205.00,204.21,2702400
"Dec 13, 2019",203.06,206.72,203.01,206.66,205.86,1648300
"Dec 12, 2019",202.16,204.43,201.24,203.92,203.13,1932600
"Dec 11, 2019",202.13,202.62,200.34,202.30,201.52,1669700
"Dec 10, 2019",202.03,202.26,200.87,201.88,201.10,1403000
"Dec 09, 2019",201.77,202.88,201.44,202.03,201.25,1976300
"Dec 06, 2019",201.40,202.82,200.49,202.55,201.77,1345700
"Dec 05, 2019",200.00,200.03,198.88,199.85,199.08,1816600
"Dec 04, 2019",199.76,200.39,199.24,199.58,198.81,1221800
"Dec 03, 2019",197.54,199.29,196.47,198.75,197.98,1243600
"Dec 02, 2019",201.44,201.69,198.05,199.59,198.82,1262300
"Nov 29, 2019",201.24,201.66,200.00,201.16,200.39,750600
"Nov 27, 2019",200.54,201.36,199.19,201.25,200.47,1205000
"Nov 26, 2019",198.36,201.00,197.77,200.92,200.15,2324500
"Nov 25, 2019",197.64,198.38,197.40,198.36,197.60,1951900
"Nov 22, 2019",198.05,198.42,195.10,196.66,195.90,1117900
"Nov 21, 2019",197.42,197.93,196.14,196.78,196.02,1217400
"Nov 20, 2019",198.73,199.76,196.77,197.71,196.95,1477300
"Nov 19, 2019",198.20,198.75,197.39,198.34,197.58,1342200
"Nov 18, 2019",197.43,198.95,196.76,198.02,197.26,1561000
"Nov 15, 2019",195.90,197.56,195.81,196.81,196.05,2426200
"Nov 14, 2019",194.00,196.41,193.83,196.25,195.49,1672900
"Nov 13, 2019",191.15,194.77,190.49,194.50,193.75,1817700
"Nov 12, 2019",190.17,191.65,189.87,191.43,190.69,1522800
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
