Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",302.06,303.47,289.71,293.61,293.61,3933700
"Apr 02, 2020",297.76,306.50,293.18,303.96,303.96,3589700
"Apr 01, 2020",307.00,309.61,298.32,301.21,301.21,3903000
"Mar 31, 2020",316.41,326.33,312.68,318.24,318.24,6413700
"Mar 30, 2020",308.89,322.97,308.01,318.39,318.39,4340200
"Mar 27, 2020",311.70,314.29,300.63,305.83,305.83,4862100
"Mar 26, 2020",305.99,324.43,305.69,322.67,322.67,4531000
"Mar 25, 2020",308.00,317.65,298.13,305.91,305.91,4830400
"Mar 24, 2020",322.96,326.99,301.59,310.00,310.00,6592200
"Mar 23, 2020",296.67,312.49,287.78,307.27,307.27,6016800
"Mar 20, 2020",312.92,324.80,293.77,295.34,295.34,7461800
"Mar 19, 2020",291.77,318.71,281.10,307.51,307.51,6023800
"Mar 18, 2020",290.00,296.87,255.13,294.61,294.61,7293300
"Mar 17, 2020",291.20,312.95,278.35,311.81,311.81,6189100
"Mar 16, 2020",288.36,307.11,283.25,286.03,286.03,7140100
"Mar 13, 2020",312.88,336.00,298.00,335.50,335.50,8935200
"Mar 12, 2020",290.41,310.13,283.00,285.00,285.00,7230200
"Mar 11, 2020",324.32,326.36,309.00,315.23,315.23,4869200
"Mar 10, 2020",318.98,332.94,309.31,332.38,332.38,5973700
"Mar 09, 2020",311.68,322.44,305.33,305.79,305.79,5291900
"Mar 06, 2020",340.45,344.16,326.60,336.77,336.77,5622900
"Mar 05, 2020",355.06,360.45,347.19,351.03,351.03,3199000
"Mar 04, 2020",354.38,364.27,350.08,363.85,363.85,4146300
"Mar 03, 2020",361.76,364.95,344.04,348.34,348.34,4204500
"Mar 02, 2020",349.81,360.75,342.61,360.28,360.28,5398100
"Feb 28, 2020",324.42,345.46,324.00,345.12,345.12,6469100
"Feb 27, 2020",340.00,352.24,337.27,337.52,337.52,4737700
"Feb 26, 2020",349.40,360.07,348.60,351.34,351.34,3489700
"Feb 25, 2020",361.00,363.97,346.28,347.80,347.80,4188100
"Feb 24, 2020",355.39,363.46,349.00,357.41,357.41,3924000
"Feb 21, 2020",378.02,378.34,368.75,372.95,372.95,2742800
"Feb 20, 2020",384.00,386.75,373.48,378.96,378.96,3789300
"Feb 19, 2020",383.83,385.00,381.48,383.28,383.28,2580400
"Feb 18, 2020",380.20,382.59,378.59,378.85,378.85,2074400
"Feb 14, 2020",376.28,379.83,375.85,379.67,379.67,1690300
"Feb 13, 2020",372.56,377.71,372.39,374.84,374.84,1917100
