Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",44.30,44.84,41.70,42.59,42.59,79261200
"Apr 02, 2020",43.40,45.28,43.10,44.49,44.49,79024100
"Apr 01, 2020",44.18,46.85,43.16,43.66,43.66,92083100
"Mar 31, 2020",47.93,48.53,45.16,45.48,45.48,83483700
"Mar 30, 2020",47.24,48.46,46.66,47.86,47.86,68486600
"Mar 27, 2020",46.32,47.98,45.90,46.58,46.58,74599200
"Mar 26, 2020",45.78,47.50,45.40,47.50,47.50,73680200
"Mar 25, 2020",46.79,47.88,44.43,44.63,44.63,93760400
"Mar 24, 2020",44.04,46.81,43.99,46.22,46.22,106794200
"Mar 23, 2020",40.62,42.32,38.95,41.64,41.64,101704700
"Mar 20, 2020",41.51,42.48,39.58,39.61,39.61,106859500
"Mar 19, 2020",39.56,41.70,37.69,39.82,39.82,88939000
"Mar 18, 2020",39.54,41.95,36.75,39.12,39.12,106949300
"Mar 17, 2020",40.19,42.88,38.30,41.88,41.88,92741900
"Mar 16, 2020",39.08,43.37,38.51,38.71,38.71,84545900
"Mar 13, 2020",42.20,43.91,39.60,43.90,43.90,86689700
"Mar 12, 2020",42.00,42.50,39.00,39.01,39.01,107461500
"Mar 11, 2020",44.19,45.97,43.80,45.70,45.70,101601100
"Mar 10, 2020",45.41,45.44,43.10,45.38,45.38,76228200
"Mar 09, 2020",43.03,46.34,42.51,43.27,43.27,80859800
"Mar 06, 2020",49.44,49.54,46.74,48.59,48.59,124590900
"Mar 05, 2020",48.68,49.72,47.51,48.11,48.11,98302700
"Mar 04, 2020",48.25,50.14,47.21,50.11,50.11,93311800
"Mar 03, 2020",49.03,50.20,45.67,46.75,46.75,141972300
"Mar 02, 2020",47.42,47.68,44.66,47.46,47.46,102324700
"Feb 28, 2020",41.36,46.15,41.04,45.48,45.48,100667700
"Feb 27, 2020",45.38,46.24,42.21,44.01,44.01,106416200
"Feb 26, 2020",47.70,49.29,47.07,47.49,47.49,86378400
"Feb 25, 2020",51.14,51.24,47.12,47.57,47.57,88699400
"Feb 24, 2020",48.18,50.28,47.49,49.12,49.12,86624100
"Feb 21, 2020",56.71,56.80,52.89,53.28,53.28,88271100
