Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",246.06,248.00,242.48,244.61,244.61,571700
"Apr 02, 2020",243.87,251.96,242.25,247.28,247.28,788600
"Apr 01, 2020",253.13,257.68,247.38,249.01,249.01,715700
"Mar 31, 2020",268.12,268.59,259.00,261.64,261.64,881800
"Mar 30, 2020",263.57,270.13,260.69,268.03,268.03,1142400
"Mar 27, 2020",262.21,263.71,251.81,252.62,252.62,1518300
"Mar 26, 2020",262.89,277.14,261.61,275.90,275.90,1018600
"Mar 25, 2020",260.67,272.34,251.95,262.07,262.07,1211300
"Mar 24, 2020",254.33,260.53,250.80,260.21,260.21,1427600
"Mar 23, 2020",225.33,235.30,222.67,233.15,233.15,1731500
"Mar 20, 2020",225.15,237.32,215.59,216.10,216.10,2316700
"Mar 19, 2020",205.81,219.24,200.59,214.03,214.03,1634600
"Mar 18, 2020",213.36,226.29,191.25,196.99,196.99,3131900
"Mar 17, 2020",231.55,239.98,225.02,238.34,238.34,1642500
"Mar 16, 2020",220.65,248.21,209.62,229.36,229.36,1496800
"Mar 13, 2020",257.06,257.86,233.84,256.95,256.95,2637200
"Mar 12, 2020",245.42,254.86,237.55,240.75,240.75,2779800
"Mar 11, 2020",272.51,274.33,260.56,264.14,264.14,1175900
"Mar 10, 2020",277.99,280.35,265.00,279.76,279.76,1699200
"Mar 09, 2020",265.45,276.37,263.86,263.91,263.91,1759600
"Mar 06, 2020",284.46,288.24,281.29,288.11,288.11,1148400
"Mar 05, 2020",291.04,295.94,286.04,288.25,288.25,1453900
"Mar 04, 2020",292.39,301.99,289.98,301.61,301.61,1289500
"Mar 03, 2020",292.93,296.85,282.22,284.30,284.30,1916300
"Mar 02, 2020",279.62,287.49,275.47,287.49,287.49,1081300
"Feb 28, 2020",267.81,277.46,265.98,276.71,276.71,1650000
"Feb 27, 2020",278.86,286.85,275.87,277.23,277.23,1373900
"Feb 26, 2020",289.45,292.31,285.59,286.32,286.32,861100
"Feb 25, 2020",295.55,295.93,284.44,284.59,284.59,1166700
"Feb 24, 2020",289.05,295.23,288.27,290.40,290.40,1347400
"Feb 21, 2020",310.20,310.83,304.73,306.00,306.00,1134600
"Feb 20, 2020",315.85,316.58,310.44,313.47,313.47,1118400
"Feb 19, 2020",311.15,317.63,311.00,317.39,317.39,1093900
"Feb 18, 2020",307.40,310.21,306.89,309.18,309.18,757100
"Feb 14, 2020",317.37,319.22,314.51,316.30,316.30,661400
"Feb 13, 2020",314.95,318.37,314.02,317.25,317.25,742200
"Feb 12, 2020",315.63,317.71,315.25,317.44,317.44,656100
"Feb 11, 2020",313.04,316.27,313.01,316.01,316.01,789900
"Feb 10, 2020",304.04,309.70,304.00,309.68,309.68,373000
"Feb 07, 2020",304.67,305.63,303.20,304.97,304.97,1775900
"Feb 06, 2020",307.53,309.61,306.62,309.55,309.55,698000
"Feb 05, 2020",307.35,307.35,303.05,306.32,306.32,1042000
"Feb 04, 2020",294.91,299.26,294.23,299.23,299.23,795300
"Feb 03, 2020",283.63,288.85,283.32,288.16,288.16,830800
"Jan 31, 2020",288.00,288.25,280.17,280.66,280.66,1272600
"Jan 30, 2020",290.79,294.70,290.54,294.38,294.38,794100
"Jan 29, 2020",296.07,298.29,293.71,296.14,296.14,965500
"Jan 28, 2020",286.23,290.26,285.16,290.18,290.18,1636100
"Jan 27, 2020",287.16,288.62,283.77,284.28,284.28,889100
"Jan 24, 2020",296.89,299.33,294.49,295.83,295.83,977800
"Jan 23, 2020",296.93,297.10,291.56,294.32,294.32,713000
"Jan 22, 2020",300.56,301.66,296.01,296.25,296.25,1108600
"Jan 21, 2020",298.11,301.25,297.47,298.40,298.40,573000
"Jan 17, 2020",300.90,301.05,299.27,300.04,300.04,743900
"Jan 16, 2020",302.55,302.94,299.55,301.08,301.08,547500
"Jan 15, 2020",301.60,302.95,299.75,300.08,300.08,505300
"Jan 14, 2020",299.15,305.90,298.47,302.55,302.55,609600
"Jan 13, 2020",298.68,301.62,297.50,301.45,301.45,405700
"Jan 10, 2020",300.05,300.51,295.56,296.18,296.18,447700
"Jan 09, 2020",303.28,303.91,300.27,301.38,301.38,579700
"Jan 08, 2020",300.66,303.19,299.94,301.89,301.89,536900
"Jan 07, 2020",298.67,301.22,297.41,298.79,298.79,477700
"Jan 06, 2020",293.17,295.72,292.43,295.58,295.58,617600
"Jan 03, 2020",298.04,300.75,297.66,297.95,297.95,410800
"Jan 02, 2020",301.27,303.32,300.61,302.83,302.83,573600
"Dec 31, 2019",294.98,296.49,293.36,295.94,295.94,298900
"Dec 30, 2019",296.42,296.70,293.65,294.89,294.89,338900
"Dec 27, 2019",297.45,298.50,296.15,296.67,296.67,317000
"Dec 26, 2019",295.04,296.55,294.23,296.34,296.34,191300
"Dec 24, 2019",293.99,295.19,291.30,294.93,294.93,219500
"Dec 23, 2019",295.50,297.42,295.45,296.14,296.14,424900
"Dec 20, 2019",292.75,294.36,292.31,293.59,293.59,824600
"Dec 19, 2019",290.65,291.83,289.14,291.82,291.82,410100
