Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",236.64,242.55,230.55,234.26,234.26,2896000
"Apr 02, 2020",222.40,237.95,221.45,237.06,237.06,4504900
"Apr 01, 2020",227.99,234.41,219.68,223.63,223.63,4185800
"Mar 31, 2020",238.00,252.71,236.06,237.10,237.10,5019100
"Mar 30, 2020",232.20,241.36,228.44,240.11,240.11,5234300
"Mar 27, 2020",233.00,242.09,230.00,230.69,230.69,3944800
"Mar 26, 2020",226.03,244.80,226.03,243.17,243.17,6021300
"Mar 25, 2020",212.19,244.00,209.22,217.55,217.55,6444200
"Mar 24, 2020",205.64,218.71,201.29,212.76,212.76,6297000
"Mar 23, 2020",192.88,195.97,177.75,193.47,193.47,4692100
"Mar 20, 2020",202.00,208.68,187.91,192.22,192.22,7404400
"Mar 20, 2020",3.25 Dividend,3.25 Dividend,3.25 Dividend,3.25 Dividend,3.25 Dividend,3.25 Dividend
"Mar 19, 2020",167.64,207.47,165.00,194.45,191.20,7443800
"Mar 18, 2020",185.66,187.48,155.67,167.87,165.06,9899300
"Mar 17, 2020",191.82,200.01,181.48,199.51,196.18,7066200
"Mar 16, 2020",208.18,218.80,180.23,187.58,184.44,7693500
"Mar 13, 2020",225.51,234.47,201.16,234.22,230.31,8471400
"Mar 12, 2020",226.99,242.76,216.32,218.78,215.12,6428100
"Mar 11, 2020",253.88,256.49,242.49,245.97,241.86,3603000
"Mar 10, 2020",256.59,263.68,243.40,262.90,258.51,5507100
"Mar 09, 2020",251.08,260.27,244.25,247.72,243.58,4393400
"Mar 06, 2020",266.98,270.93,262.50,269.45,264.95,3016900
"Mar 05, 2020",277.26,283.09,272.45,274.04,269.46,2437400
"Mar 04, 2020",277.54,285.72,274.77,285.45,280.68,2347700
"Mar 03, 2020",284.65,288.48,271.57,274.25,269.67,2993000
"Mar 02, 2020",276.76,285.40,271.15,284.97,280.21,3197600
"Feb 28, 2020",263.33,274.13,262.74,272.62,268.06,4460400
"Feb 27, 2020",280.30,285.31,273.54,273.95,269.37,3483700
"Feb 26, 2020",284.35,288.20,284.00,285.88,281.10,2307400
"Feb 25, 2020",294.11,295.73,281.07,282.68,277.96,3189200
"Feb 24, 2020",294.20,298.80,290.06,291.60,286.73,3684900
"Feb 21, 2020",308.50,309.45,302.29,304.50,299.41,2452200
"Feb 20, 2020",313.96,315.69,306.12,309.24,304.07,2552100
"Feb 19, 2020",313.00,316.83,311.70,315.69,310.41,2052500
"Feb 18, 2020",315.00,315.01,308.05,310.75,305.56,2669300
"Feb 14, 2020",324.84,325.70,317.10,317.77,312.46,1913700
