Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",134.45,136.19,131.66,134.31,134.31,6003400
"Apr 02, 2020",134.01,135.39,130.04,134.32,134.32,8150500
"Apr 01, 2020",138.32,139.06,133.10,134.06,134.06,8737600
"Mar 31, 2020",149.03,151.95,142.78,143.98,143.98,10429700
"Mar 30, 2020",147.72,153.00,146.56,149.85,149.85,7650400
"Mar 27, 2020",150.63,151.45,144.91,146.00,146.00,8273500
"Mar 26, 2020",148.30,155.08,147.73,154.73,154.73,8573100
"Mar 25, 2020",152.67,158.02,146.96,147.06,147.06,10639300
"Mar 24, 2020",144.63,154.14,143.18,153.64,153.64,11834400
"Mar 23, 2020",138.76,143.72,134.09,140.52,140.52,11898300
"Mar 20, 2020",140.42,146.20,134.60,139.35,139.35,12450100
"Mar 19, 2020",131.59,144.00,128.86,139.46,139.46,10444000
"Mar 18, 2020",125.54,133.42,115.29,132.24,132.24,12988200
"Mar 17, 2020",127.00,138.01,122.92,135.42,135.42,12191500
"Mar 16, 2020",134.01,141.55,123.39,124.30,124.30,13845300
"Mar 13, 2020",149.47,149.50,135.32,147.78,147.78,13765400
"Mar 12, 2020",144.34,151.23,140.10,140.59,140.59,13213000
"Mar 11, 2020",157.68,159.62,150.15,154.57,154.57,10341300
"Mar 10, 2020",157.23,161.47,151.00,161.34,161.34,11443900
"Mar 09, 2020",151.70,157.71,150.64,151.21,151.21,9657100
"Mar 06, 2020",165.67,167.57,158.54,164.08,164.08,9757700
"Mar 05, 2020",172.57,173.75,168.10,169.60,169.60,5797500
"Mar 04, 2020",172.25,175.81,169.63,175.69,175.69,5846300
"Mar 03, 2020",178.41,178.42,167.09,169.37,169.37,8323500
"Mar 02, 2020",172.20,176.79,168.59,176.76,176.76,7761000
"Feb 28, 2020",164.99,171.77,163.12,170.40,170.40,12643600
"Feb 27, 2020",172.21,178.33,170.05,172.15,172.15,9927300
"Feb 26, 2020",176.54,182.67,174.25,178.87,178.87,13923100
"Feb 25, 2020",188.47,189.98,179.43,181.27,181.27,11361100
"Feb 24, 2020",178.79,187.15,178.79,185.94,185.94,8463300
"Feb 21, 2020",191.84,192.04,186.72,189.50,189.50,5242100
"Feb 20, 2020",194.00,195.72,189.77,193.36,193.36,5451200
"Feb 19, 2020",192.00,193.92,191.80,192.87,192.87,3903200
"Feb 18, 2020",190.95,191.50,188.92,191.09,191.09,4957000
"Feb 14, 2020",189.35,190.25,188.10,189.95,189.95,3599400
"Feb 13, 2020",188.50,191.05,188.42,188.64,188.64,3132100
"Feb 12, 2020",189.71,190.52,186.77,189.46,189.46,4535400
"Feb 11, 2020",191.48,192.60,188.65,189.11,189.11,4299200
"Feb 10, 2020",186.17,189.27,185.56,189.12,189.12,3873500
"Feb 07, 2020",186.85,188.65,185.65,185.72,185.72,3713100
"Feb 06, 2020",186.83,187.56,184.24,186.73,186.73,4102700
"Feb 05, 2020",190.40,190.55,182.86,185.49,185.49,6162700
"Feb 04, 2020",188.00,189.69,186.65,188.34,188.34,3983200
"Feb 03, 2020",183.26,185.87,181.85,185.42,185.42,4755700
"Jan 31, 2020",184.86,186.03,180.79,182.31,182.31,4193300
"Jan 30, 2020",180.90,185.94,180.54,185.67,185.67,3715700
"Jan 29, 2020",184.00,184.10,181.62,181.77,181.77,2785500
"Jan 28, 2020",181.14,183.86,180.35,182.85,182.85,3445300
"Jan 27, 2020",178.77,181.73,177.30,180.71,180.71,4239400
"Jan 24, 2020",185.00,186.13,181.13,182.11,182.11,4653600
"Jan 23, 2020",183.21,184.30,181.30,183.98,183.98,4369000
"Jan 22, 2020",185.39,186.44,182.69,182.75,182.75,4781800
"Jan 21, 2020",181.51,186.00,181.50,185.27,185.27,6302400
"Jan 17, 2020",183.23,183.34,181.36,182.23,182.23,4577000
"Jan 16, 2020",182.23,183.11,180.96,182.69,182.69,3485300
"Jan 15, 2020",181.68,183.09,180.62,181.06,181.06,3886600
"Jan 14, 2020",183.50,183.85,182.04,182.12,182.12,4342300
"Jan 13, 2020",181.26,184.45,181.13,183.85,183.85,6202600
"Jan 10, 2020",179.84,180.68,178.69,180.20,180.20,5111800
"Jan 09, 2020",178.84,179.90,177.29,179.60,179.60,5952900
"Jan 08, 2020",175.23,178.85,174.75,177.33,177.33,7225100
"Jan 07, 2020",173.23,176.87,172.09,176.00,176.00,8272700
"Jan 06, 2020",165.00,173.67,164.45,173.45,173.45,8836200
"Jan 03, 2020",165.06,166.77,165.00,166.17,166.17,3205400
"Jan 02, 2020",163.92,167.07,163.58,166.99,166.99,5189300
"Dec 31, 2019",162.04,163.26,161.80,162.64,162.64,3273500
"Dec 30, 2019",164.86,164.94,161.20,162.44,162.44,3197100
"Dec 27, 2019",164.86,165.46,163.90,164.98,164.98,3409900
"Dec 26, 2019",163.40,164.53,163.27,164.51,164.51,2155500
"Dec 24, 2019",163.31,163.84,162.88,163.25,163.25,1238000
"Dec 23, 2019",164.04,164.87,163.35,163.74,163.74,4368600
"Dec 20, 2019",164.73,165.17,163.63,164.55,164.55,8586700
"Dec 19, 2019",161.59,163.34,160.83,163.33,163.33,4185400
"Dec 18, 2019",161.80,163.28,161.48,161.48,161.48,4144800
"Dec 17, 2019",162.00,162.37,159.74,161.63,161.63,4789600
"Dec 16, 2019",160.85,162.74,160.82,161.96,161.96,5370000
"Dec 13, 2019",158.86,161.49,158.55,161.13,161.13,5742300
"Dec 12, 2019",155.77,158.99,155.31,158.59,158.59,5353900
"Dec 11, 2019",156.84,156.88,155.48,156.39,156.39,4867500
"Dec 10, 2019",157.01,157.67,156.17,156.40,156.40,4074700
"Dec 09, 2019",157.38,158.90,157.06,157.48,157.48,3709000
"Dec 06, 2019",158.10,159.50,157.59,158.01,158.01,4751200
"Dec 05, 2019",155.74,158.92,155.25,158.22,158.22,7126600
"Dec 04, 2019",160.38,160.69,154.50,156.43,156.43,17803300
"Dec 03, 2019",156.96,161.85,156.19,161.57,161.57,6216400
"Dec 02, 2019",163.10,163.21,158.10,161.00,161.00,5117400
"Nov 29, 2019",161.61,163.41,161.32,162.89,162.89,2432500
"Nov 27, 2019",161.92,162.83,161.11,161.51,161.51,4012800
"Nov 26, 2019",161.56,162.61,161.31,162.54,162.54,5881400
"Nov 25, 2019",163.78,164.65,161.45,161.71,161.71,5509300
"Nov 22, 2019",162.98,163.49,161.38,162.81,162.81,3761900
"Nov 21, 2019",165.32,165.91,162.21,162.88,162.88,5724200
"Nov 20, 2019",163.44,166.34,162.25,164.20,164.20,8450300
