Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",39.82,40.29,38.54,39.06,39.06,21231100
"Apr 02, 2020",37.84,39.95,37.47,39.80,39.80,28180500
"Apr 02, 2020",0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend
"Apr 01, 2020",38.17,38.86,37.87,38.33,37.97,26790700
"Mar 31, 2020",40.13,40.42,39.11,39.31,38.94,26014200
"Mar 30, 2020",39.45,40.49,38.96,40.32,39.94,27120300
"Mar 27, 2020",39.21,40.15,38.41,38.82,38.46,31278600
"Mar 26, 2020",37.97,40.92,37.37,40.58,40.20,38473300
"Mar 25, 2020",38.65,39.95,37.50,37.67,37.32,42873900
"Mar 24, 2020",36.41,38.68,35.54,38.60,38.24,48235600
"Mar 23, 2020",35.51,35.82,33.74,34.60,34.28,39823400
"Mar 20, 2020",38.27,38.47,35.40,35.60,35.27,48582500
"Mar 19, 2020",37.05,39.32,36.15,37.71,37.36,58319700
"Mar 18, 2020",33.76,37.71,33.31,37.12,36.77,56904300
"Mar 17, 2020",34.70,36.25,33.60,35.50,35.17,41572400
"Mar 16, 2020",33.23,36.99,32.40,33.71,33.39,44211300
"Mar 13, 2020",35.18,37.68,33.33,37.64,37.29,53859600
"Mar 12, 2020",34.50,35.82,33.00,33.20,32.89,51855300
"Mar 11, 2020",39.02,39.16,36.37,37.05,36.70,63594300
"Mar 10, 2020",39.25,40.15,37.87,40.08,39.70,50536500
"Mar 09, 2020",36.90,39.56,36.29,37.96,37.60,61535300
"Mar 06, 2020",38.00,39.95,37.80,39.68,39.31,48605600
"Mar 05, 2020",40.17,40.51,39.29,39.57,39.20,30255900
"Mar 04, 2020",40.72,41.45,39.80,41.39,41.00,30022100
"Mar 03, 2020",41.26,41.90,39.71,40.04,39.66,49294700
"Mar 02, 2020",40.15,41.19,38.92,41.17,40.78,48864300
"Feb 28, 2020",38.70,40.55,38.35,39.93,39.55,80194000
"Feb 27, 2020",41.28,42.10,40.01,40.04,39.66,51442900
"Feb 26, 2020",42.97,43.38,41.94,42.16,41.76,38513200
"Feb 25, 2020",44.05,44.21,42.07,42.74,42.34,48024700
"Feb 24, 2020",45.00,45.68,44.00,44.00,43.59,35295900
"Feb 21, 2020",46.73,46.85,46.05,46.30,45.87,20028700
"Feb 20, 2020",46.09,46.96,45.90,46.85,46.41,20416700
"Feb 19, 2020",46.69,46.81,45.90,46.29,45.86,27626400
"Feb 18, 2020",46.82,46.85,46.29,46.59,46.15,18546300
"Feb 14, 2020",47.16,47.22,46.48,46.97,46.53,26747200
"Feb 13, 2020",47.15,47.67,46.58,47.32,46.88,47044700
"Feb 12, 2020",49.43,50.28,49.40,49.93,49.46,31686200
"Feb 11, 2020",49.39,49.71,48.86,49.13,48.67,23168300
"Feb 10, 2020",47.99,48.89,47.88,48.87,48.41,19012700
