Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",108.92,110.07,104.92,106.34,106.34,4538100
"Apr 02, 2020",105.37,110.32,105.14,110.00,110.00,6328700
"Apr 01, 2020",106.36,109.92,104.52,105.14,105.14,6112900
"Mar 31, 2020",112.00,113.81,110.17,110.93,110.93,6343300
"Mar 30, 2020",108.09,113.46,107.81,112.93,112.93,5564500
"Mar 27, 2020",108.58,111.50,107.65,108.03,108.03,6423000
"Mar 26, 2020",106.91,113.15,105.57,112.89,112.89,7153500
"Mar 25, 2020",105.48,112.48,102.83,105.85,105.85,8654000
"Mar 24, 2020",99.99,106.04,99.26,105.48,105.48,7973900
"Mar 23, 2020",94.60,97.74,90.56,94.77,94.77,9729400
"Mar 20, 2020",100.92,100.99,94.71,95.39,95.39,10546500
"Mar 19, 2020",102.33,103.69,98.24,100.34,100.34,8396500
"Mar 18, 2020",99.41,106.93,99.40,103.55,103.55,8772500
"Mar 17, 2020",100.61,107.40,97.10,106.65,106.65,9258300
"Mar 16, 2020",98.00,107.41,95.00,99.08,99.08,10568000
"Mar 13, 2020",108.68,109.16,100.81,107.95,107.95,12502100
"Mar 12, 2020",109.65,109.80,102.28,102.81,102.81,12512700
"Mar 11, 2020",121.01,122.58,116.38,117.97,117.97,8446500
"Mar 10, 2020",122.78,124.88,115.76,124.77,124.77,11410700
"Mar 09, 2020",120.16,122.41,117.28,117.81,117.81,10757500
"Mar 06, 2020",126.70,128.33,124.52,127.73,127.73,8193300
"Mar 05, 2020",130.50,132.29,128.45,129.55,129.55,5446200
"Mar 04, 2020",131.58,134.28,129.00,134.22,134.22,4996400
"Mar 03, 2020",134.48,136.10,127.80,128.90,128.90,7896100
"Mar 02, 2020",130.75,134.44,127.95,134.30,134.30,8531400
"Feb 28, 2020",129.98,131.09,126.36,130.15,130.15,13012200
"Feb 27, 2020",137.24,138.69,133.01,133.11,133.11,8421100
"Feb 26, 2020",142.90,144.06,139.60,139.75,139.75,5407900
"Feb 25, 2020",146.51,147.07,141.26,141.71,141.71,6211500
"Feb 24, 2020",145.51,148.05,145.38,146.43,146.43,5452400
"Feb 21, 2020",151.04,151.04,148.84,149.84,149.84,3536900
"Feb 20, 2020",150.81,151.62,149.51,151.22,151.22,2880500
"Feb 19, 2020",151.54,151.89,150.31,150.86,150.86,2732900
"Feb 18, 2020",149.79,151.38,149.64,151.10,151.10,3343000
"Feb 14, 2020",154.42,154.56,149.77,150.70,150.70,6099200
"Feb 13, 2020",154.37,154.83,153.41,154.31,154.31,3820700
"Feb 12, 2020",153.75,155.60,153.52,155.31,155.31,4437800
"Feb 11, 2020",155.12,155.22,152.73,153.48,153.48,3835100
"Feb 10, 2020",152.97,154.44,151.58,154.43,154.43,5239800
"Feb 07, 2020",154.55,155.54,152.92,153.41,153.41,6423400
"Feb 07, 2020",1.62 Dividend,1.62 Dividend,1.62 Dividend,1.62 Dividend,1.62 Dividend,1.62 Dividend
"Feb 06, 2020",156.82,158.75,155.42,156.76,155.14,8400500
"Feb 05, 2020",150.21,157.44,150.15,156.33,154.71,14386800
"Feb 04, 2020",147.78,149.38,146.88,149.11,147.57,5621000
"Feb 03, 2020",144.25,147.28,143.90,146.27,144.76,8887500
"Jan 31, 2020",142.90,144.05,140.79,143.73,142.24,18994600
"Jan 30, 2020",136.76,136.97,134.97,136.77,135.36,5057900
"Jan 29, 2020",139.17,139.58,137.60,137.69,136.27,3053800
"Jan 28, 2020",139.50,140.47,138.75,139.55,138.11,3451600
"Jan 27, 2020",138.50,140.07,138.10,138.62,137.19,4166600
"Jan 24, 2020",143.39,143.92,140.46,140.56,139.11,5580200
"Jan 23, 2020",144.20,144.41,142.15,142.87,141.39,5657800
"Jan 22, 2020",143.32,145.79,142.55,143.89,142.40,16470400
"Jan 21, 2020",137.81,139.35,137.60,139.17,137.73,7244100
"Jan 17, 2020",136.54,138.33,136.16,138.31,136.88,5623300
"Jan 16, 2020",137.32,138.19,137.01,137.98,136.55,4320900
"Jan 15, 2020",136.00,138.06,135.71,136.62,135.21,4045900
"Jan 14, 2020",136.28,137.14,135.55,135.82,134.42,3681000
"Jan 13, 2020",135.48,136.64,135.07,136.60,135.19,3531000
"Jan 10, 2020",137.00,137.87,136.31,136.69,135.28,3255400
"Jan 09, 2020",135.74,136.79,135.31,136.74,135.33,3730600
"Jan 08, 2020",134.51,135.86,133.92,135.31,133.91,4346000
"Jan 07, 2020",133.69,134.96,133.40,134.19,132.80,3090800
"Jan 06, 2020",133.42,134.24,133.20,134.10,132.71,2425500
"Jan 03, 2020",133.57,134.86,133.56,134.34,132.95,2373700
"Jan 02, 2020",135.00,135.92,134.77,135.42,134.02,3148600
"Dec 31, 2019",132.53,134.12,132.40,134.04,132.65,3777500
"Dec 30, 2019",135.20,135.30,132.50,132.81,131.44,4118900
"Dec 27, 2019",135.00,135.75,134.87,135.27,133.87,2752200
"Dec 26, 2019",134.98,135.31,134.65,134.91,133.52,2129700
"Dec 24, 2019",135.61,135.62,134.61,134.98,133.59,1202100
"Dec 23, 2019",135.78,136.15,135.00,135.55,134.15,2803200
"Dec 20, 2019",135.74,136.42,134.95,135.59,134.19,7111800
"Dec 19, 2019",134.46,134.73,134.19,134.56,133.17,3866500
"Dec 18, 2019",134.55,135.00,134.15,134.41,133.02,3101800
"Dec 17, 2019",134.28,134.69,133.46,134.22,132.83,2907200
"Dec 16, 2019",134.94,135.45,133.85,134.13,132.74,3049200
"Dec 13, 2019",134.75,135.50,134.01,134.21,132.82,2535000
"Dec 12, 2019",133.70,135.66,133.66,135.32,133.92,4824100
"Dec 11, 2019",134.11,134.51,133.67,133.76,132.38,3953300
"Dec 10, 2019",133.92,134.84,133.56,133.91,132.53,3480400
"Dec 09, 2019",133.35,134.59,133.26,133.92,132.54,2968500
"Dec 06, 2019",132.75,133.89,132.70,133.22,131.84,3437500
"Dec 05, 2019",132.99,133.24,131.63,131.91,130.55,3595400
"Dec 04, 2019",132.86,133.68,131.96,131.99,130.63,3530000
"Dec 03, 2019",132.00,132.44,130.69,132.12,130.75,3642500
"Dec 02, 2019",134.45,134.50,132.48,132.91,131.54,3067100
"Nov 29, 2019",133.60,134.52,133.03,134.45,133.06,1825300
"Nov 27, 2019",135.35,135.71,133.62,133.77,132.39,3280900
"Nov 26, 2019",136.15,136.15,134.77,135.09,133.69,3793200
"Nov 25, 2019",134.47,136.00,134.35,135.97,134.56,2590100
"Nov 22, 2019",134.19,134.65,133.59,134.34,132.95,3297500
"Nov 21, 2019",133.40,134.17,132.98,133.84,132.46,3345300
"Nov 20, 2019",134.06,134.46,132.75,133.20,131.82,4138200
"Nov 19, 2019",134.88,135.38,134.46,134.52,133.13,2995000
"Nov 18, 2019",134.30,134.48,133.23,134.31,132.92,3210400
"Nov 15, 2019",134.39,135.12,134.03,134.40,133.01,3262500
"Nov 14, 2019",134.13,134.33,133.33,134.00,132.62,4231300
"Nov 13, 2019",135.39,135.58,133.85,134.48,133.09,2918400
"Nov 12, 2019",135.87,136.66,135.02,135.59,134.19,3046500
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
