Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",53.85,55.13,52.73,54.13,54.13,23903100
"Apr 02, 2020",51.29,54.56,51.22,54.35,54.35,27810000
"Apr 01, 2020",52.50,54.69,51.43,51.88,51.88,29586600
"Mar 31, 2020",55.06,55.80,53.22,54.12,54.12,48074700
"Mar 30, 2020",52.99,56.10,52.83,55.49,55.49,31628600
"Mar 27, 2020",53.42,54.64,52.07,52.37,52.37,31633500
"Mar 26, 2020",51.74,55.95,51.66,55.54,55.54,41459800
"Mar 25, 2020",52.48,53.79,49.91,51.26,51.26,41106100
"Mar 24, 2020",53.14,54.64,51.35,52.40,52.40,50019800
"Mar 23, 2020",46.02,50.49,45.91,49.58,49.58,46698500
"Mar 20, 2020",46.51,49.42,45.47,45.83,45.83,52344000
"Mar 19, 2020",47.84,49.23,45.16,45.94,45.94,44538000
"Mar 18, 2020",46.71,50.05,45.20,47.61,47.61,49309900
"Mar 17, 2020",45.76,51.63,45.20,50.08,50.08,52085200
"Mar 16, 2020",47.51,52.25,43.63,44.61,44.61,53878900
"Mar 13, 2020",48.26,55.00,47.74,54.43,54.43,48805100
"Mar 12, 2020",47.99,50.09,45.37,45.54,45.54,50661700
"Mar 11, 2020",52.39,53.54,51.01,51.66,51.66,38563500
"Mar 10, 2020",52.76,54.00,50.43,53.98,53.98,36569000
"Mar 09, 2020",51.92,52.71,50.00,50.85,50.85,56197000
"Mar 06, 2020",55.18,56.01,54.54,55.77,55.77,36259200
"Mar 05, 2020",57.06,58.66,56.61,56.96,56.96,29099200
"Mar 04, 2020",57.01,58.71,56.16,58.68,58.68,29223100
"Mar 03, 2020",58.03,59.02,55.40,55.97,55.97,49740300
"Mar 02, 2020",55.79,58.22,54.52,58.18,58.18,43140300
"Feb 28, 2020",54.30,56.38,53.60,55.52,55.52,60728000
"Feb 27, 2020",57.93,58.51,55.80,55.83,55.83,42226900
"Feb 26, 2020",60.11,60.82,59.27,59.65,59.65,26190100
"Feb 25, 2020",61.99,62.28,59.46,59.73,59.73,34495700
"Feb 24, 2020",61.61,62.77,61.32,61.76,61.76,26903100
"Feb 21, 2020",65.18,65.25,64.04,64.34,64.34,20775900
"Feb 20, 2020",67.04,67.29,64.56,65.45,65.45,26452600
"Feb 19, 2020",66.39,67.20,66.18,67.11,67.11,13551200
"Feb 18, 2020",66.66,66.69,65.88,66.14,66.14,12758400
"Feb 14, 2020",67.52,67.86,66.82,67.27,67.27,13405500
"Feb 13, 2020",66.99,67.65,66.74,67.44,67.44,11602700
"Feb 12, 2020",67.60,68.09,67.31,67.46,67.46,15586600
"Feb 11, 2020",66.83,67.71,66.57,67.41,67.41,17975600
"Feb 10, 2020",65.56,66.40,65.44,66.39,66.39,22299300
"Feb 07, 2020",66.86,67.30,66.01,66.02,66.02,18134600
"Feb 06, 2020",67.30,67.40,66.77,67.09,67.09,17408000
"Feb 06, 2020",0.33 Dividend,0.33 Dividend,0.33 Dividend,0.33 Dividend,0.33 Dividend,0.33 Dividend
"Feb 05, 2020",66.69,67.60,66.13,67.34,67.01,23401400
"Feb 04, 2020",65.77,66.06,64.92,65.46,65.14,20970800
"Feb 03, 2020",64.46,65.04,64.30,64.42,64.10,16654600
"Jan 31, 2020",65.80,65.98,63.67,63.93,63.62,25268400
"Jan 30, 2020",65.64,66.50,64.93,66.47,66.14,18522400
"Jan 29, 2020",67.63,68.06,66.17,66.33,66.00,18055800
"Jan 28, 2020",66.50,67.58,65.94,67.31,66.98,30915400
"Jan 27, 2020",66.72,67.42,65.60,65.69,65.37,30764000
"Jan 24, 2020",66.57,69.29,66.46,68.47,68.13,84711000
"Jan 23, 2020",62.86,63.71,62.81,63.32,63.01,42778700
"Jan 22, 2020",61.04,62.85,60.97,62.73,62.42,29475100
"Jan 21, 2020",59.81,61.25,59.79,60.55,60.25,28358500
"Jan 17, 2020",59.98,60.00,59.24,59.60,59.31,21803400
"Jan 16, 2020",59.26,59.84,59.07,59.66,59.37,21365500
"Jan 15, 2020",59.30,59.65,58.75,58.94,58.65,18498800
"Jan 14, 2020",59.49,59.74,59.19,59.43,59.14,17051200
"Jan 13, 2020",59.17,59.78,59.08,59.59,59.30,16453300
"Jan 10, 2020",59.57,60.08,58.87,58.94,58.65,15200600
"Jan 09, 2020",59.05,59.51,58.83,59.30,59.01,18813300
"Jan 08, 2020",58.89,59.32,58.52,58.97,58.68,23133500
"Jan 07, 2020",59.78,59.80,58.89,58.93,58.64,21876100
"Jan 06, 2020",59.59,60.20,59.33,59.93,59.64,17755200
"Jan 03, 2020",59.81,60.70,59.81,60.10,59.81,15293900
"Jan 02, 2020",60.24,60.97,60.22,60.84,60.54,18056000
"Dec 31, 2019",59.62,59.93,59.36,59.85,59.56,14432900
"Dec 30, 2019",59.99,60.05,59.38,59.62,59.33,12750500
"Dec 27, 2019",59.91,60.48,59.90,60.08,59.79,14085800
"Dec 26, 2019",59.41,59.85,59.35,59.82,59.53,11480300
"Dec 24, 2019",59.25,59.48,59.16,59.41,59.12,6313200
"Dec 23, 2019",59.06,59.78,59.04,59.23,58.94,23593000
"Dec 20, 2019",58.32,59.05,57.89,58.95,58.66,49953000
"Dec 19, 2019",57.17,57.99,56.97,57.96,57.68,18865100
"Dec 18, 2019",57.39,57.46,56.94,57.17,56.89,28261000
"Dec 17, 2019",58.00,58.10,57.13,57.30,57.02,21653100
"Dec 16, 2019",58.21,58.57,57.65,57.70,57.42,19131200
"Dec 13, 2019",57.55,58.34,57.38,57.79,57.51,22795200
"Dec 12, 2019",56.75,58.05,56.61,57.55,57.27,27883300
"Dec 11, 2019",56.91,57.17,56.58,57.07,56.79,20051100
"Dec 10, 2019",56.71,56.83,56.44,56.59,56.31,16157900
"Dec 09, 2019",56.54,56.96,56.50,56.53,56.25,14298600
"Dec 06, 2019",56.66,56.99,56.42,56.81,56.53,16476800
"Dec 05, 2019",56.41,56.41,55.76,56.08,55.81,17673700
"Dec 04, 2019",56.66,56.66,55.86,56.02,55.75,18881400
"Dec 03, 2019",56.86,56.86,55.75,56.07,55.80,25737400
"Dec 02, 2019",58.55,58.69,57.47,57.66,57.38,19154500
"Nov 29, 2019",58.15,58.30,57.79,58.05,57.77,9481100
"Nov 27, 2019",58.53,58.59,57.91,58.51,58.22,18184200
"Nov 26, 2019",58.95,59.13,58.45,58.90,58.61,22338700
"Nov 25, 2019",58.00,58.84,58.00,58.81,58.52,15011700
"Nov 22, 2019",58.34,58.65,57.49,57.61,57.33,15690200
"Nov 21, 2019",57.49,58.30,57.41,58.22,57.93,16139000
"Nov 20, 2019",58.26,58.36,57.37,57.90,57.62,18542300
