Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",223.85,225.22,216.80,218.39,218.39,1553400
"Apr 02, 2020",216.10,228.34,215.55,225.22,225.22,1584400
"Apr 01, 2020",224.05,228.85,216.07,218.12,218.12,1646700
"Mar 31, 2020",236.29,238.42,229.62,230.00,230.00,1698100
"Mar 30, 2020",236.99,240.44,233.23,238.05,238.05,1321100
"Mar 27, 2020",240.00,247.54,226.68,229.69,229.69,2143700
"Mar 26, 2020",234.55,249.67,228.51,248.39,248.39,2245400
"Mar 25, 2020",229.78,240.74,223.54,232.58,232.58,2505000
"Mar 24, 2020",206.16,235.56,204.34,233.82,233.82,3329600
"Mar 23, 2020",202.34,202.34,187.68,194.72,194.72,3415600
"Mar 20, 2020",217.73,219.23,199.39,201.84,201.84,3858400
"Mar 19, 2020",224.36,224.99,210.52,215.89,215.89,2340900
"Mar 18, 2020",226.04,232.27,215.07,225.07,225.07,2103300
"Mar 17, 2020",228.51,240.78,216.18,239.17,239.17,2901100
"Mar 16, 2020",232.00,244.99,222.38,223.43,223.43,2642500
"Mar 13, 2020",250.00,261.40,235.00,261.25,261.25,2399200
"Mar 12, 2020",245.09,257.98,235.96,237.94,237.94,3430300
"Mar 11, 2020",263.92,266.29,256.08,261.12,261.12,1848500
"Mar 10, 2020",270.11,270.11,257.97,269.66,269.66,2541500
"Mar 09, 2020",258.26,269.23,250.00,260.04,260.04,2138600
"Mar 06, 2020",276.45,281.81,268.14,276.18,276.18,1913900
"Mar 05, 2020",276.14,290.22,275.14,287.18,287.18,2418800
"Mar 04, 2020",274.22,286.52,270.52,285.55,285.55,2551100
"Mar 03, 2020",280.96,284.66,264.18,268.24,268.24,2015100
"Mar 02, 2020",266.72,281.33,263.73,281.18,281.18,2520500
"Feb 28, 2020",259.62,266.12,255.59,265.85,265.85,2899400
"Feb 27, 2020",274.26,278.59,268.40,268.77,268.77,2246700
"Feb 26, 2020",286.28,290.93,278.67,280.09,280.09,2449200
"Feb 25, 2020",297.55,301.64,283.57,284.80,284.80,3430400
"Feb 24, 2020",288.44,292.70,278.01,286.43,286.43,1996800
