Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",155.10,157.38,152.19,153.83,153.83,41212700
"Apr 02, 2020",151.86,155.48,150.36,155.26,155.26,49630700
"Apr 01, 2020",153.00,157.75,150.82,152.11,152.11,57969900
"Mar 31, 2020",159.40,164.78,156.56,157.71,157.71,77927200
"Mar 30, 2020",152.44,160.60,150.01,160.23,160.23,63420300
"Mar 27, 2020",151.75,154.89,149.20,149.70,149.70,57042300
"Mar 26, 2020",148.40,156.66,148.37,156.11,156.11,64568100
"Mar 25, 2020",148.91,154.33,144.44,146.92,146.92,75638200
"Mar 24, 2020",143.75,149.60,141.27,148.34,148.34,82516700
"Mar 23, 2020",137.01,140.57,132.52,135.98,135.98,78975200
"Mar 20, 2020",146.00,147.10,135.86,137.35,137.35,84866200
"Mar 19, 2020",142.77,150.15,139.00,142.71,142.71,85922700
"Mar 18, 2020",138.00,146.00,135.02,140.40,140.40,81593200
"Mar 17, 2020",140.00,147.50,135.00,146.57,146.57,81059800
"Mar 16, 2020",140.00,149.35,135.00,135.42,135.42,87905900
"Mar 13, 2020",147.50,161.91,140.73,158.83,158.83,92727400
"Mar 12, 2020",145.30,153.47,138.58,139.06,139.06,93226400
"Mar 11, 2020",157.13,157.70,151.15,153.63,153.63,56371600
"Mar 10, 2020",158.16,161.03,152.58,160.92,160.92,65354400
"Mar 09, 2020",151.00,157.75,150.00,150.62,150.62,70419300
"Mar 06, 2020",162.61,163.11,156.00,161.57,161.57,72821100
"Mar 05, 2020",166.05,170.87,165.69,166.27,166.27,47817300
"Mar 04, 2020",168.49,170.70,165.62,170.55,170.55,49814400
"Mar 03, 2020",173.80,175.00,162.26,164.51,164.51,71677000
"Mar 02, 2020",165.31,172.92,162.31,172.79,172.79,71030800
"Feb 28, 2020",152.41,163.71,152.00,162.01,162.01,97073600
"Feb 27, 2020",163.32,167.03,157.98,158.18,158.18,93174900
"Feb 26, 2020",169.71,173.26,168.21,170.17,170.17,56206100
"Feb 25, 2020",174.20,174.84,167.65,168.07,168.07,68073300
"Feb 24, 2020",167.77,174.55,163.23,170.89,170.89,68311100
"Feb 21, 2020",183.17,183.50,177.25,178.59,178.59,48572600
"Feb 20, 2020",186.95,187.25,181.10,184.42,184.42,36862400
"Feb 19, 2020",188.06,188.18,186.47,187.28,187.28,29997500
"Feb 19, 2020",0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend,0.51 Dividend
"Feb 18, 2020",185.61,187.70,185.50,187.23,186.72,27792200
"Feb 14, 2020",183.25,185.41,182.65,185.35,184.85,23149500
"Feb 13, 2020",183.08,186.23,182.87,183.71,183.21,35295800
"Feb 12, 2020",185.58,185.85,181.85,184.71,184.21,47062900
"Feb 11, 2020",190.65,190.70,183.50,184.44,183.94,53159900
"Feb 10, 2020",183.58,188.84,183.25,188.70,188.19,35844300
"Feb 07, 2020",182.85,185.63,182.48,183.89,183.39,33529100
"Feb 06, 2020",180.97,183.82,180.06,183.63,183.13,27751400
"Feb 05, 2020",184.03,184.20,178.41,179.90,179.41,39186300
"Feb 04, 2020",177.14,180.64,176.31,180.12,179.63,36433300
"Feb 03, 2020",170.43,174.50,170.40,174.38,173.90,30149100
"Jan 31, 2020",172.21,172.40,169.58,170.23,169.77,36142700
"Jan 30, 2020",174.05,174.05,170.79,172.78,172.31,51597500
"Jan 29, 2020",167.84,168.75,165.69,168.04,167.58,34754500
"Jan 28, 2020",163.78,165.76,163.07,165.46,165.01,24899900
"Jan 27, 2020",161.15,163.38,160.20,162.28,161.84,32078100
"Jan 24, 2020",167.51,167.53,164.45,165.04,164.59,24918100
"Jan 23, 2020",166.19,166.80,165.27,166.72,166.27,19680800
"Jan 22, 2020",167.40,167.49,165.68,165.70,165.25,24138800
"Jan 21, 2020",166.68,168.19,166.43,166.50,166.05,29517200
"Jan 17, 2020",167.42,167.47,165.43,167.10,166.64,34371700
"Jan 16, 2020",164.35,166.24,164.03,166.17,165.72,23865400
"Jan 15, 2020",162.62,163.94,162.57,163.18,162.74,21417900
"Jan 14, 2020",163.39,163.60,161.72,162.13,161.69,23477400
"Jan 13, 2020",161.76,163.31,161.26,163.28,162.84,21626500
"Jan 10, 2020",162.82,163.22,161.18,161.34,160.90,20725900
"Jan 09, 2020",161.84,162.22,161.03,162.09,161.65,21385000
"Jan 08, 2020",158.93,160.80,157.95,160.09,159.65,27746500
"Jan 07, 2020",159.32,159.67,157.32,157.58,157.15,21634100
"Jan 06, 2020",157.08,159.10,156.51,159.03,158.60,20813700
"Jan 03, 2020",158.32,159.95,158.06,158.62,158.19,21116200
"Jan 02, 2020",158.78,160.73,158.33,160.62,160.18,22622100
"Dec 31, 2019",156.77,157.77,156.45,157.70,157.27,18369400
"Dec 30, 2019",158.99,159.02,156.73,157.59,157.16,16348400
"Dec 27, 2019",159.45,159.55,158.22,158.96,158.53,18412800
"Dec 26, 2019",157.56,158.73,157.40,158.67,158.24,14520600
"Dec 24, 2019",157.48,157.71,157.12,157.38,156.95,8989200
"Dec 23, 2019",158.12,158.12,157.27,157.41,156.98,17718200
"Dec 20, 2019",157.35,158.49,156.29,157.41,156.98,53477500
"Dec 19, 2019",154.00,155.77,153.75,155.71,155.29,24958900
"Dec 18, 2019",154.30,155.48,154.18,154.37,153.95,24129200
"Dec 17, 2019",155.45,155.71,154.45,154.69,154.27,25425600
"Dec 16, 2019",155.11,155.90,154.82,155.53,155.11,24144200
"Dec 13, 2019",153.00,154.89,152.83,154.53,154.11,23845400
"Dec 12, 2019",151.65,153.44,151.02,153.24,152.82,24612100
"Dec 11, 2019",151.54,151.87,150.33,151.70,151.29,18856600
"Dec 10, 2019",151.29,151.89,150.76,151.13,150.72,16476100
"Dec 09, 2019",151.07,152.21,150.91,151.36,150.95,16687400
"Dec 06, 2019",150.99,151.87,150.27,151.75,151.34,16403500
"Dec 05, 2019",150.05,150.32,149.48,149.93,149.52,17869100
"Dec 04, 2019",150.14,150.18,149.20,149.85,149.44,17574700
"Dec 03, 2019",147.49,149.43,146.65,149.31,148.90,24066000
"Dec 02, 2019",151.81,151.83,148.32,149.55,149.14,27418400
"Nov 29, 2019",152.10,152.30,151.28,151.38,150.97,11977300
"Nov 27, 2019",152.33,152.50,151.52,152.32,151.91,15184400
"Nov 26, 2019",151.36,152.42,151.32,152.03,151.62,24620100
"Nov 25, 2019",150.00,151.35,149.92,151.23,150.82,22420900
"Nov 22, 2019",150.07,150.30,148.82,149.59,149.18,15901800
"Nov 21, 2019",149.40,149.80,148.50,149.48,149.07,18576100
