Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",40.97,41.86,40.55,41.22,41.22,28483300
"Apr 02, 2020",39.79,41.59,39.52,41.09,41.09,31457700
"Apr 01, 2020",40.55,42.30,39.33,39.89,39.89,37452800
"Mar 31, 2020",44.40,45.17,41.91,42.06,42.06,36723700
"Mar 30, 2020",44.17,45.57,43.15,44.52,44.52,33763900
"Mar 27, 2020",43.25,45.28,42.31,43.48,43.48,39791500
"Mar 26, 2020",44.90,45.75,43.33,44.79,44.79,62450700
"Mar 25, 2020",43.91,44.88,40.03,42.50,42.50,54091000
"Mar 24, 2020",41.82,44.42,41.14,43.27,43.27,45588000
"Mar 23, 2020",36.99,39.47,35.69,38.25,38.25,45286000
"Mar 20, 2020",37.77,38.59,35.84,36.11,36.11,37667400
"Mar 19, 2020",34.66,37.30,33.65,36.29,36.29,31015200
"Mar 18, 2020",34.26,36.56,31.13,34.69,34.69,36519000
"Mar 17, 2020",35.49,39.13,34.02,37.38,37.38,34869000
"Mar 16, 2020",37.35,39.14,34.45,34.47,34.47,36879100
"Mar 13, 2020",41.57,43.02,38.35,42.99,42.99,35264800
"Mar 12, 2020",39.40,42.54,38.00,38.81,38.81,40117200
"Mar 11, 2020",46.20,46.32,42.85,43.72,43.72,38483800
"Mar 10, 2020",48.15,48.26,45.29,47.86,47.86,31652900
"Mar 09, 2020",45.48,48.60,44.92,45.97,45.97,31260800
"Mar 06, 2020",52.20,53.19,50.00,51.47,51.47,30313700
"Mar 05, 2020",53.45,55.61,53.34,53.72,53.72,26223000
"Mar 04, 2020",53.02,55.38,52.21,55.29,55.29,28222000
"Mar 03, 2020",54.60,55.40,51.10,51.80,51.80,36893200
"Mar 02, 2020",53.20,54.69,52.10,54.59,54.59,33272700
"Feb 28, 2020",48.65,52.92,48.39,52.56,52.56,40288600
"Feb 27, 2020",50.63,52.85,49.99,50.58,50.58,36349200
"Feb 26, 2020",52.65,54.27,51.88,52.37,52.37,28075600
"Feb 25, 2020",54.84,55.45,51.55,52.10,52.10,41894200
"Feb 24, 2020",53.31,55.46,52.61,55.01,55.01,33321100
"Feb 21, 2020",58.63,58.73,55.89,56.99,56.99,27038900
"Feb 20, 2020",59.88,59.99,57.69,59.00,59.00,20797100
"Feb 19, 2020",58.58,60.25,58.56,59.99,59.99,23335500
"Feb 18, 2020",57.07,58.04,56.62,57.75,57.75,21513200
"Feb 14, 2020",60.16,60.56,58.26,58.50,58.50,20920200
"Feb 13, 2020",59.01,60.63,58.86,59.33,59.33,23679700
"Feb 12, 2020",59.04,61.19,58.90,59.27,59.27,47180800
"Feb 11, 2020",57.88,58.84,56.33,57.25,57.25,26776900
"Feb 10, 2020",56.30,57.34,56.20,57.33,57.33,15929000
"Feb 07, 2020",57.97,58.00,56.77,56.88,56.88,20891100
"Feb 06, 2020",58.08,59.17,57.41,58.68,58.68,23358700
"Feb 05, 2020",57.02,57.26,55.82,56.77,56.77,19795300
"Feb 04, 2020",55.29,56.02,54.94,55.50,55.50,19998600
"Feb 03, 2020",53.25,54.11,53.00,53.78,53.78,20481000
"Jan 31, 2020",55.15,55.20,52.70,53.09,53.09,28550800
"Jan 30, 2020",54.18,55.07,53.22,55.03,55.03,30783800
"Jan 29, 2020",55.99,57.19,55.29,55.30,55.30,19278300
"Jan 28, 2020",56.25,56.78,55.24,56.47,56.47,18544900
"Jan 27, 2020",55.15,55.99,54.62,55.41,55.41,27310100
"Jan 24, 2020",60.00,60.02,57.24,57.76,57.76,28555300
"Jan 23, 2020",60.33,60.56,59.03,59.20,59.20,26146100
"Jan 22, 2020",59.52,60.25,58.85,59.17,59.17,22604400
"Jan 21, 2020",57.37,59.18,57.27,58.97,58.97,24821700
"Jan 17, 2020",58.02,58.12,57.01,57.66,57.66,20549200
"Jan 16, 2020",56.80,57.84,56.76,57.68,57.68,22732700
"Jan 15, 2020",57.03,57.12,55.84,56.17,56.17,21638600
"Jan 14, 2020",57.80,58.30,56.46,57.52,57.52,26454300
"Jan 13, 2020",57.01,57.78,56.86,57.45,57.45,16163000
