Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",258.85,261.16,246.67,249.57,249.57,2848800
"Apr 02, 2020",265.00,272.62,249.25,259.00,259.00,4418700
"Apr 01, 2020",274.39,278.80,268.68,273.07,273.07,2424000
"Mar 31, 2020",289.59,296.17,281.31,286.58,286.58,3393300
"Mar 30, 2020",277.77,292.70,275.20,286.39,286.39,2368600
"Mar 27, 2020",284.13,284.13,269.46,274.00,274.00,3076200
"Mar 26, 2020",269.69,295.00,267.99,294.73,294.73,3731000
"Mar 25, 2020",272.35,278.95,257.32,264.67,264.67,3088500
"Mar 24, 2020",275.58,283.60,268.54,272.00,272.00,3371000
"Mar 23, 2020",254.90,260.39,240.16,255.32,255.32,2825100
"Mar 20, 2020",276.06,284.68,252.25,254.70,254.70,3502300
"Mar 19, 2020",276.46,290.00,258.01,277.66,277.66,2792000
"Mar 18, 2020",266.00,279.94,238.93,278.16,278.16,4428200
"Mar 17, 2020",271.41,302.98,270.02,287.42,287.42,3908100
"Mar 16, 2020",251.01,283.84,250.00,265.43,265.43,3389100
"Mar 13, 2020",277.41,288.50,264.84,287.67,287.67,3038300
"Mar 12, 2020",270.04,287.13,261.61,262.12,262.12,3877800
"Mar 11, 2020",304.98,310.27,283.81,290.63,290.63,2908500
"Mar 10, 2020",302.38,313.00,291.62,312.80,312.80,3919000
"Mar 09, 2020",294.39,306.84,288.00,292.09,292.09,3436300
"Mar 06, 2020",319.39,323.51,300.80,317.24,317.24,4109000
"Mar 05, 2020",337.49,343.03,326.27,329.33,329.33,1959500
"Mar 04, 2020",336.74,345.22,331.63,345.07,345.07,1575400
"Mar 03, 2020",344.39,350.70,325.13,329.63,329.63,2952200
"Mar 02, 2020",333.83,344.48,326.32,344.40,344.40,2700000
"Feb 28, 2020",310.00,327.00,307.10,326.09,326.09,3202500
"Feb 27, 2020",323.69,331.43,317.77,320.10,320.10,2276000
"Feb 26, 2020",331.00,342.51,330.25,334.27,334.27,1616400
"Feb 25, 2020",338.56,342.08,327.57,329.72,329.72,1839200
"Feb 24, 2020",327.34,336.50,324.19,333.56,333.56,2016900
"Feb 21, 2020",350.48,351.75,338.78,344.48,344.48,2348600
"Feb 20, 2020",357.72,361.98,345.41,352.94,352.94,1948100
"Feb 19, 2020",358.75,362.95,357.40,357.72,357.72,1306800
"Feb 18, 2020",356.00,358.76,354.04,357.49,357.49,1288900
