Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",49.30,50.05,48.95,49.40,49.40,13359700
"Apr 02, 2020",48.18,49.89,48.10,49.80,49.80,16434400
"Apr 01, 2020",46.55,48.99,46.04,48.71,48.71,17918200
"Mar 31, 2020",51.12,51.18,48.00,48.33,48.33,15802000
"Mar 30, 2020",50.40,51.59,49.59,50.36,50.36,20611900
"Mar 27, 2020",49.09,51.60,48.56,49.83,49.83,20025300
"Mar 26, 2020",46.38,50.74,46.19,50.48,50.48,22417900
"Mar 25, 2020",47.10,48.74,45.48,45.94,45.94,25625800
"Mar 24, 2020",45.33,48.01,45.30,47.84,47.84,19323700
"Mar 23, 2020",45.00,46.49,43.89,44.19,44.19,23063700
"Mar 20, 2020",45.02,46.70,44.51,45.65,45.65,26340800
"Mar 19, 2020",46.47,47.97,44.87,45.07,45.07,20159100
"Mar 18, 2020",43.67,47.80,42.56,47.27,47.27,29557000
"Mar 17, 2020",43.62,47.71,41.66,46.86,46.86,25588900
"Mar 16, 2020",42.51,47.57,41.26,42.72,42.72,27493700
"Mar 13, 2020",44.45,47.99,43.42,47.93,47.93,28339400
"Mar 12, 2020",41.12,43.40,39.71,39.80,39.80,24123800
"Mar 11, 2020",46.81,47.48,44.27,44.72,44.72,24139200
"Mar 10, 2020",47.45,48.91,46.16,48.58,48.58,27067700
"Mar 09, 2020",44.95,47.57,44.66,46.01,46.01,25949300
"Mar 06, 2020",46.57,48.30,46.46,47.37,47.37,24581400
"Mar 05, 2020",49.23,49.68,47.75,48.00,48.00,15843000
"Mar 04, 2020",49.85,50.59,48.83,50.54,50.54,14813700
"Mar 03, 2020",50.62,51.84,48.25,48.85,48.85,21830500
"Mar 02, 2020",49.73,50.90,48.67,50.90,50.90,17328500
"Feb 28, 2020",49.24,49.89,47.90,49.46,49.46,24427100
"Feb 27, 2020",50.88,53.46,50.76,50.78,50.78,16161100
"Feb 26, 2020",51.31,53.14,51.24,52.05,52.05,16413100
"Feb 25, 2020",53.07,53.22,50.80,50.96,50.96,12202600
"Feb 24, 2020",53.10,53.53,52.51,52.65,52.65,10992500
"Feb 21, 2020",55.08,55.34,54.44,54.68,54.68,9078600
"Feb 20, 2020",55.40,55.87,54.88,55.51,55.51,6114600
"Feb 19, 2020",55.59,55.77,55.39,55.44,55.44,6819200
"Feb 18, 2020",55.42,55.76,55.10,55.45,55.45,7185700
"Feb 14, 2020",55.38,55.84,55.24,55.47,55.47,7496800
"Feb 13, 2020",55.31,55.64,55.01,55.31,55.31,8480100
"Feb 12, 2020",55.55,55.89,55.25,55.73,55.73,7541100
"Feb 11, 2020",55.17,55.54,55.11,55.15,55.15,8466600
"Feb 10, 2020",54.72,55.07,54.45,54.99,54.99,7198200
"Feb 07, 2020",54.27,54.97,54.19,54.72,54.72,7864800
"Feb 06, 2020",55.00,55.35,54.71,54.71,54.71,8832000
"Feb 05, 2020",54.67,55.03,54.58,54.74,54.74,9612900
"Feb 04, 2020",53.75,54.56,53.75,54.04,54.04,9769800
"Feb 03, 2020",52.73,53.41,52.69,53.09,53.09,8892500
"Jan 31, 2020",53.34,53.49,52.29,52.45,52.45,8884700
"Jan 30, 2020",52.82,53.33,52.28,53.31,53.31,7176200
"Jan 29, 2020",53.78,53.94,53.18,53.20,53.20,6332500
"Jan 28, 2020",52.86,53.68,52.66,53.46,53.46,8620300
