Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",104.76,105.55,103.83,105.19,105.19,954300
"Apr 02, 2020",103.84,106.07,103.22,104.99,104.99,1026700
"Apr 01, 2020",107.12,107.94,104.84,105.53,105.53,1070500
"Mar 31, 2020",111.14,113.24,110.21,110.50,110.50,1138600
"Mar 30, 2020",112.09,113.13,110.84,112.90,112.90,605100
"Mar 27, 2020",110.51,112.97,108.81,110.28,110.28,881300
"Mar 26, 2020",109.60,115.33,109.60,115.25,115.25,1978300
"Mar 25, 2020",104.46,108.99,102.50,106.40,106.40,1012200
"Mar 24, 2020",107.02,107.47,103.77,105.97,105.97,1608000
"Mar 23, 2020",97.99,100.99,97.14,98.32,98.32,1974900
"Mar 20, 2020",96.54,99.02,93.80,94.30,94.30,1372400
"Mar 19, 2020",92.50,96.17,90.90,94.13,94.13,1753800
"Mar 18, 2020",95.23,98.06,93.23,96.95,96.95,1067200
"Mar 17, 2020",97.70,102.99,95.34,102.96,102.96,1561500
"Mar 16, 2020",93.43,103.11,93.42,97.49,97.49,1344500
"Mar 13, 2020",107.71,108.55,100.23,108.35,108.35,1819600
"Mar 12, 2020",105.82,107.75,100.68,101.44,101.44,1746100
"Mar 11, 2020",115.31,116.02,111.00,112.62,112.62,1626600
"Mar 10, 2020",117.48,118.57,113.77,117.99,117.99,1521900
"Mar 09, 2020",113.61,116.19,110.55,111.50,111.50,1571800
"Mar 06, 2020",120.27,122.40,119.68,121.49,121.49,1255800
"Mar 05, 2020",122.54,123.82,120.22,121.28,121.28,1395200
"Mar 04, 2020",124.98,125.75,123.35,125.66,125.66,840200
"Mar 03, 2020",127.24,129.14,122.96,123.80,123.80,907000
"Mar 02, 2020",124.13,126.65,121.85,126.53,126.53,931600
"Feb 28, 2020",121.22,124.19,120.39,123.57,123.57,1394300
"Feb 27, 2020",125.22,128.27,124.53,124.81,124.81,1581300
"Feb 26, 2020",128.68,129.82,126.70,126.90,126.90,802800
"Feb 25, 2020",130.92,131.12,127.56,127.78,127.78,837300
"Feb 24, 2020",130.33,131.92,130.24,130.92,130.92,676500
"Feb 21, 2020",137.25,137.46,135.94,136.63,136.63,379400
"Feb 20, 2020",138.85,139.40,137.63,138.43,138.43,524000
"Feb 19, 2020",138.49,139.91,138.45,139.70,139.70,499500
"Feb 18, 2020",137.04,138.01,137.01,137.76,137.76,457000
"Feb 14, 2020",137.01,137.87,136.78,137.44,137.44,289800
"Feb 13, 2020",136.28,137.70,136.27,137.45,137.45,365800
"Feb 12, 2020",138.39,138.51,137.61,138.16,138.16,464800
"Feb 11, 2020",136.50,137.32,136.19,136.55,136.55,454100
"Feb 10, 2020",134.68,135.37,134.68,135.23,135.23,381200
"Feb 07, 2020",135.95,136.02,134.64,135.06,135.06,511700
"Feb 06, 2020",136.09,136.91,135.70,136.49,136.49,497800
"Feb 05, 2020",137.49,137.50,136.31,137.42,137.42,663700
"Feb 04, 2020",134.86,136.08,134.68,135.48,135.48,418400
"Feb 03, 2020",131.82,132.91,131.65,132.64,132.64,536300
"Jan 31, 2020",132.10,132.18,130.19,130.77,130.77,1023600
"Jan 30, 2020",130.37,131.31,130.05,130.97,130.97,1631500
"Jan 29, 2020",131.88,132.40,131.37,131.65,131.65,1368500
"Jan 28, 2020",132.47,132.71,131.03,132.46,132.46,2188800
"Jan 27, 2020",134.87,140.45,134.74,136.25,136.25,1275600
"Jan 24, 2020",139.67,140.10,138.70,139.06,139.06,595700
"Jan 23, 2020",138.41,138.55,136.69,138.14,138.14,622100
"Jan 22, 2020",140.35,140.67,139.41,139.58,139.58,473100
"Jan 21, 2020",138.90,140.19,138.90,139.54,139.54,579500
"Jan 17, 2020",139.04,139.99,138.75,139.96,139.96,507500
"Jan 16, 2020",136.67,137.33,135.91,137.29,137.29,1074900
"Jan 15, 2020",137.33,137.68,136.19,136.40,136.40,491700
"Jan 14, 2020",137.50,137.93,137.03,137.25,137.25,342100
"Jan 13, 2020",137.65,138.54,137.33,138.33,138.33,555500
"Jan 10, 2020",137.55,138.07,136.79,136.98,136.98,464000
"Jan 09, 2020",136.49,137.29,136.12,137.13,137.13,457800
"Jan 08, 2020",133.90,135.52,133.76,135.08,135.08,513300
"Jan 07, 2020",134.08,134.35,133.44,133.62,133.62,621200
"Jan 06, 2020",133.16,134.22,133.13,134.20,134.20,442900
"Jan 03, 2020",133.30,134.92,133.30,133.98,133.98,507800
"Jan 02, 2020",135.42,137.14,135.40,136.81,136.81,2967500
"Dec 31, 2019",133.17,134.08,133.10,133.99,133.99,299300
"Dec 30, 2019",134.66,134.66,132.97,133.39,133.39,257200
