Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",358.03,363.79,345.00,357.65,357.65,2608700
"Apr 02, 2020",350.00,365.94,334.55,346.30,346.30,5205500
"Apr 01, 2020",402.99,406.00,381.53,384.67,384.67,2272700
"Mar 31, 2020",428.08,439.59,414.00,416.93,416.93,1950100
"Mar 30, 2020",423.49,434.89,412.01,430.38,430.38,1598800
"Mar 27, 2020",427.61,433.36,412.02,421.62,421.62,2569300
"Mar 26, 2020",454.40,470.48,435.30,447.41,447.41,3093800
"Mar 25, 2020",435.94,470.57,432.11,446.60,446.60,3563200
"Mar 24, 2020",412.76,432.99,406.67,430.00,430.00,3504700
"Mar 23, 2020",346.54,384.18,335.12,375.39,375.39,3650900
"Mar 20, 2020",345.00,372.54,342.00,346.06,346.06,4295700
"Mar 19, 2020",336.16,345.73,316.00,332.50,332.50,3247200
"Mar 18, 2020",326.34,358.56,305.30,336.83,336.83,3522400
"Mar 17, 2020",330.02,358.00,307.67,355.09,355.09,4240800
"Mar 16, 2020",339.00,362.00,321.50,322.29,322.29,4179900
"Mar 13, 2020",404.00,406.42,363.01,390.90,390.90,3314400
"Mar 12, 2020",371.00,403.57,366.10,377.78,377.78,4419400
"Mar 11, 2020",435.25,442.00,406.33,422.31,422.31,2812600
"Mar 10, 2020",445.00,450.50,420.63,450.34,450.34,2864100
"Mar 09, 2020",430.82,446.08,416.51,418.32,418.32,2986600
"Mar 06, 2020",480.00,491.20,459.15,472.07,472.07,2913500
"Mar 05, 2020",495.00,512.38,491.25,498.22,498.22,2460200
"Mar 04, 2020",489.00,514.00,486.00,512.23,512.23,2694500
"Mar 03, 2020",501.48,503.00,467.52,476.94,476.94,3157200
"Mar 02, 2020",483.20,488.75,461.60,488.40,488.40,3255500
"Feb 28, 2020",422.64,463.31,420.50,463.31,463.31,3474600
"Feb 27, 2020",452.28,467.93,427.93,438.37,438.37,3716800
"Feb 26, 2020",459.25,484.00,459.04,471.18,471.18,2532000
"Feb 25, 2020",500.00,502.43,456.46,466.46,466.46,3408400
"Feb 24, 2020",482.00,504.05,476.00,490.96,490.96,3288000
"Feb 21, 2020",531.24,534.60,511.61,520.66,520.66,1925800
"Feb 20, 2020",542.69,547.18,507.40,535.58,535.58,2466900
"Feb 19, 2020",544.05,549.68,538.64,543.21,543.21,1785800
"Feb 18, 2020",534.00,548.88,532.00,536.41,536.41,2446400
"Feb 14, 2020",541.00,542.20,523.33,531.22,531.22,2208200
"Feb 13, 2020",533.01,554.78,530.71,532.97,532.97,4522500
"Feb 12, 2020",568.90,593.89,529.00,531.25,531.25,9779400
"Feb 11, 2020",494.07,499.88,489.11,492.75,492.75,2693000
"Feb 10, 2020",479.11,491.69,476.53,491.69,491.69,1865000
"Feb 07, 2020",472.00,481.73,466.78,478.69,478.69,1194400
"Feb 06, 2020",473.16,475.73,462.50,472.98,472.98,1673200
"Feb 05, 2020",493.50,495.00,467.96,475.56,475.56,2131700
"Feb 04, 2020",476.39,487.68,471.79,485.46,485.46,1779800
"Feb 03, 2020",468.25,474.88,457.25,469.39,469.39,1853100
"Jan 31, 2020",480.58,482.87,463.02,465.66,465.66,2180200
"Jan 30, 2020",470.50,478.15,464.66,476.88,476.88,1507100
"Jan 29, 2020",473.39,480.05,470.45,471.67,471.67,1808500
"Jan 28, 2020",453.50,468.67,451.10,467.66,467.66,1536100
"Jan 27, 2020",447.62,459.90,436.74,451.11,451.11,2247400
"Jan 24, 2020",474.00,476.51,457.83,465.48,465.48,2141100
"Jan 23, 2020",464.77,473.00,460.00,469.25,469.25,2445000
"Jan 22, 2020",470.00,476.79,463.17,464.76,464.76,2358400
"Jan 21, 2020",454.99,472.86,454.09,465.44,465.44,2139300
"Jan 17, 2020",452.73,458.91,452.00,454.88,454.88,1869200
"Jan 16, 2020",452.74,453.78,446.64,451.30,451.30,1466900
"Jan 15, 2020",441.92,453.00,441.22,448.51,448.51,1632900
"Jan 14, 2020",442.77,445.92,430.50,441.22,441.22,1505500
"Jan 13, 2020",434.99,446.74,433.75,440.25,440.25,1999800
"Jan 10, 2020",432.49,438.56,427.67,429.17,429.17,1804100
"Jan 09, 2020",423.10,431.71,421.79,430.20,430.20,1784400
"Jan 08, 2020",413.93,422.55,411.86,418.10,418.10,1550100
"Jan 07, 2020",415.75,422.48,410.12,414.50,414.50,1552900
"Jan 06, 2020",398.59,413.52,395.42,413.33,413.33,1686000
"Jan 03, 2020",401.60,408.40,397.00,404.29,404.29,1031700
"Jan 02, 2020",403.99,408.24,398.36,407.81,407.81,1396700
"Dec 31, 2019",394.96,403.94,391.01,397.58,397.58,1122200
"Dec 30, 2019",408.38,409.32,392.11,396.36,396.36,1826900
