Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",58.00,58.53,56.77,57.48,57.48,667800
"Apr 02, 2020",58.37,59.30,57.91,58.91,58.91,1107900
"Apr 01, 2020",57.93,58.43,56.65,56.85,56.85,1110900
"Mar 31, 2020",59.27,60.50,58.61,59.18,59.18,1057900
"Mar 30, 2020",59.94,60.45,59.14,60.17,60.17,1215200
"Mar 27, 2020",59.60,60.60,58.72,59.32,59.32,1943400
"Mar 26, 2020",58.66,60.51,58.00,60.50,60.50,1465400
"Mar 25, 2020",58.38,59.33,56.32,57.68,57.68,1225000
"Mar 24, 2020",56.30,57.00,55.56,57.00,57.00,2281900
"Mar 23, 2020",53.94,54.40,51.58,52.90,52.90,1592600
"Mar 20, 2020",56.48,56.90,52.82,53.06,53.06,1613000
"Mar 19, 2020",54.86,56.04,53.60,55.40,55.40,2382900
"Mar 18, 2020",54.78,58.10,52.08,54.79,54.79,3626500
"Mar 17, 2020",53.41,55.37,52.65,55.20,55.20,1702400
"Mar 16, 2020",52.00,53.86,50.94,51.68,51.68,1458900
"Mar 13, 2020",56.35,56.67,53.29,56.32,56.32,2012300
"Mar 12, 2020",54.53,55.47,51.50,52.57,52.57,2072100
"Mar 11, 2020",58.95,59.35,57.44,57.79,57.79,1349800
"Mar 10, 2020",61.09,61.15,59.06,60.33,60.33,3117300
"Mar 09, 2020",58.19,60.47,58.00,58.53,58.53,1374800
"Mar 06, 2020",62.80,63.24,62.16,63.12,63.12,1165600
"Mar 05, 2020",63.85,63.99,62.92,63.44,63.44,1259900
"Mar 04, 2020",63.78,64.95,63.57,64.79,64.79,1223800
"Mar 03, 2020",63.77,64.51,62.56,63.18,63.18,1714500
"Mar 02, 2020",63.60,64.26,62.31,64.16,64.16,2117900
"Feb 28, 2020",59.49,62.46,59.35,62.20,62.20,2723300
"Feb 27, 2020",61.91,62.72,60.88,60.89,60.89,2006000
"Feb 26, 2020",64.36,64.83,63.78,63.94,63.94,1553400
"Feb 25, 2020",65.25,65.50,63.13,63.58,63.58,2226400
"Feb 24, 2020",64.00,64.58,63.51,63.93,63.93,1413800
"Feb 21, 2020",66.95,67.00,65.75,65.94,65.94,906900
"Feb 20, 2020",66.91,67.17,66.03,66.74,66.74,1326100
"Feb 19, 2020",66.96,67.37,66.87,67.07,67.07,1234900
"Feb 18, 2020",66.42,67.09,66.10,66.64,66.64,2345700
"Feb 14, 2020",69.48,69.53,68.46,68.83,68.83,1485200
"Feb 13, 2020",69.92,69.92,69.51,69.60,69.60,910300
"Feb 12, 2020",70.30,70.79,70.30,70.77,70.77,587900
"Feb 11, 2020",70.63,70.85,70.19,70.32,70.32,852000
"Feb 10, 2020",70.13,70.21,69.63,70.17,70.17,929300
"Feb 07, 2020",71.00,71.25,69.71,70.09,70.09,1462400
"Feb 06, 2020",70.97,71.55,70.97,71.55,71.55,662600
"Feb 05, 2020",70.66,71.06,70.35,70.51,70.51,1799000
"Feb 04, 2020",72.17,73.86,71.16,73.00,73.00,1578700
"Feb 03, 2020",70.29,70.90,70.25,70.48,70.48,1814800
"Jan 31, 2020",70.99,70.99,69.91,70.18,70.18,957400
"Jan 30, 2020",70.63,71.31,70.21,71.14,71.14,870900
"Jan 29, 2020",71.90,72.02,71.65,71.80,71.80,613000
"Jan 28, 2020",71.70,72.21,71.35,72.02,72.02,812600
"Jan 27, 2020",71.44,71.70,71.15,71.31,71.31,1267300
"Jan 24, 2020",72.64,72.68,71.48,71.88,71.88,678300
"Jan 23, 2020",72.75,72.75,72.02,72.59,72.59,579700
"Jan 22, 2020",72.57,72.68,72.17,72.38,72.38,760800
"Jan 21, 2020",72.50,72.50,72.11,72.13,72.13,967200
"Jan 17, 2020",72.72,72.72,72.16,72.48,72.48,780500
"Jan 16, 2020",72.23,72.72,72.20,72.62,72.62,1158900
"Jan 15, 2020",71.60,72.12,71.45,71.60,71.60,1085900
"Jan 14, 2020",72.94,72.95,72.01,72.47,72.47,1940800
"Jan 13, 2020",71.39,71.70,71.08,71.64,71.64,1272300
"Jan 10, 2020",71.46,71.46,70.74,70.86,70.86,1120500
"Jan 09, 2020",71.40,71.66,70.59,71.03,71.03,2377300
"Jan 08, 2020",70.80,71.12,70.37,70.46,70.46,1640200
"Jan 07, 2020",70.51,70.58,69.81,70.20,70.20,1316200
"Jan 06, 2020",68.25,69.20,68.22,69.11,69.11,755500
"Jan 03, 2020",68.50,68.65,67.96,68.08,68.08,518600
"Jan 02, 2020",68.30,69.06,68.28,69.06,69.06,856500
"Dec 31, 2019",67.72,68.03,67.51,68.00,68.00,549700
"Dec 30, 2019",67.78,67.79,67.25,67.72,67.72,993900
"Dec 27, 2019",68.03,68.10,67.73,67.78,67.78,351100
"Dec 26, 2019",68.00,68.03,67.85,68.02,68.02,518000
"Dec 24, 2019",67.98,68.00,67.76,67.76,67.76,264500
"Dec 23, 2019",67.81,68.17,67.60,68.08,68.08,601400
"Dec 20, 2019",67.24,67.91,66.92,67.90,67.90,1594400
"Dec 19, 2019",68.06,68.21,67.82,67.88,67.88,667600
