Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",47.79,48.15,46.78,47.06,47.06,5486200
"Apr 02, 2020",46.92,48.22,46.61,48.13,48.13,6174700
"Apr 01, 2020",46.83,47.56,46.30,46.51,46.51,8755200
"Mar 31, 2020",47.80,49.03,47.66,47.79,47.79,9595700
"Mar 30, 2020",47.18,48.16,46.77,47.82,47.82,8428300
"Mar 27, 2020",47.23,48.09,46.51,46.91,46.91,12158500
"Mar 26, 2020",49.10,50.46,48.92,49.87,49.87,10577500
"Mar 25, 2020",49.30,50.05,48.05,49.00,49.00,9796600
"Mar 24, 2020",48.00,48.92,47.50,48.87,48.87,12216200
"Mar 23, 2020",45.12,45.61,43.52,45.26,45.26,10508600
"Mar 20, 2020",48.02,48.28,44.48,44.53,44.53,14157700
"Mar 19, 2020",43.74,45.18,42.70,43.89,43.89,11182600
"Mar 19, 2020",0.417 Dividend,0.417 Dividend,0.417 Dividend,0.417 Dividend,0.417 Dividend,0.417 Dividend
"Mar 18, 2020",43.80,46.09,43.26,44.37,43.95,15018500
"Mar 17, 2020",45.75,48.56,45.03,48.54,48.08,13415700
"Mar 16, 2020",46.34,48.35,44.90,44.90,44.48,16628200
"Mar 13, 2020",51.90,52.46,49.29,52.23,51.74,14948700
"Mar 12, 2020",49.66,50.99,48.51,48.69,48.23,15942200
"Mar 11, 2020",53.11,53.56,52.09,52.24,51.75,14498000
"Mar 10, 2020",53.71,54.62,52.49,54.51,54.00,11698700
"Mar 09, 2020",51.55,54.14,51.06,51.83,51.34,13781100
"Mar 06, 2020",54.60,55.08,53.97,55.07,54.55,12971200
"Mar 05, 2020",56.11,56.39,55.25,55.73,55.21,10004200
"Mar 04, 2020",55.97,57.09,55.55,57.08,56.54,9878200
"Mar 03, 2020",56.30,56.37,54.04,54.88,54.36,14661800
"Mar 02, 2020",54.37,56.01,53.83,55.98,55.45,13797700
"Feb 28, 2020",51.35,54.05,51.00,53.84,53.33,13607700
"Feb 27, 2020",54.20,54.60,53.27,53.29,52.79,11878900
"Feb 26, 2020",54.49,55.41,54.38,55.03,54.51,10969300
"Feb 25, 2020",55.33,55.47,53.83,53.86,53.35,12670700
"Feb 24, 2020",53.55,54.69,53.18,54.12,53.61,9968800
"Feb 21, 2020",56.65,56.65,55.52,55.59,55.07,6816600
"Feb 20, 2020",56.94,57.04,55.81,56.48,55.95,7192900
"Feb 19, 2020",57.25,57.94,57.00,57.64,57.10,7866300
"Feb 18, 2020",56.10,56.56,55.63,56.18,55.65,10989000
"Feb 14, 2020",59.02,59.17,57.87,58.19,57.64,6932400
"Feb 13, 2020",59.13,59.70,58.74,59.33,58.77,6460100
"Feb 12, 2020",59.25,59.75,58.90,59.63,59.07,5962900
"Feb 11, 2020",57.95,58.90,57.81,58.66,58.11,6523200
"Feb 10, 2020",56.44,57.05,56.34,57.02,56.48,4281200
"Feb 07, 2020",57.14,57.14,56.06,56.20,55.67,6808400
"Feb 06, 2020",58.27,58.28,57.28,58.02,57.47,4236300
"Feb 05, 2020",58.10,58.15,57.17,57.92,57.38,6594400
"Feb 04, 2020",56.92,57.64,56.90,57.52,56.98,12746600
"Feb 03, 2020",54.35,54.94,54.14,54.77,54.26,9596000
"Jan 31, 2020",55.43,55.48,53.60,53.94,53.43,13467200
"Jan 30, 2020",55.08,56.04,55.06,55.80,55.28,10295700
"Jan 29, 2020",57.52,57.52,56.85,57.19,56.65,7693400
"Jan 28, 2020",55.73,57.12,55.48,57.09,56.55,8124400
"Jan 27, 2020",55.62,55.99,55.06,55.26,54.74,9675500
"Jan 24, 2020",58.09,58.14,57.46,57.73,57.19,10402200
"Jan 23, 2020",57.86,58.07,56.62,57.48,56.94,9999200
"Jan 22, 2020",58.90,58.94,58.32,58.35,57.80,8124500
"Jan 21, 2020",57.99,59.00,57.47,58.24,57.69,9873700
"Jan 17, 2020",58.64,58.75,58.01,58.58,58.03,8125700
"Jan 16, 2020",59.20,59.69,58.30,58.75,58.20,11215700
"Jan 15, 2020",59.67,59.70,58.26,58.39,57.84,10075100
"Jan 14, 2020",60.16,60.64,59.92,60.32,59.75,6715200
"Jan 13, 2020",60.15,60.16,59.45,60.06,59.50,6613700
"Jan 10, 2020",59.70,59.70,58.77,58.86,58.31,4807700
"Jan 09, 2020",59.69,59.71,58.70,59.23,58.67,5112700
"Jan 08, 2020",58.19,58.98,58.11,58.75,58.20,5381500
"Jan 07, 2020",57.45,58.60,56.74,58.32,57.77,7444300
"Jan 06, 2020",57.60,57.69,57.13,57.39,56.85,8897200
"Jan 03, 2020",58.97,58.98,58.04,58.06,57.51,10546400
"Jan 02, 2020",59.60,60.12,59.60,60.04,59.48,8432600
"Dec 31, 2019",57.68,58.13,57.46,58.10,57.55,2950200
"Dec 30, 2019",58.66,58.69,57.62,57.85,57.31,3519900
"Dec 27, 2019",58.53,58.71,58.33,58.46,57.91,2847800
"Dec 26, 2019",57.80,58.35,57.76,58.25,57.70,2490400
"Dec 24, 2019",57.99,58.09,57.55,57.76,57.22,2692200
"Dec 23, 2019",58.03,58.34,57.95,58.22,57.67,4022000
"Dec 20, 2019",57.78,58.30,57.32,57.93,57.39,8043800
"Dec 19, 2019",58.50,58.50,57.88,57.96,57.42,7228700
"Dec 19, 2019",0.416889 Dividend,0.416889 Dividend,0.416889 Dividend,0.416889 Dividend,0.416889 Dividend,0.416889 Dividend
"Dec 18, 2019",59.60,59.64,58.72,59.10,58.13,10021200
"Dec 17, 2019",59.71,59.71,58.78,59.23,58.26,8407500
"Dec 16, 2019",58.29,58.70,58.29,58.54,57.58,5779400
"Dec 13, 2019",59.05,59.52,58.25,58.25,57.30,9886900
"Dec 12, 2019",57.25,58.62,57.02,58.61,57.65,15788700
"Dec 11, 2019",55.04,56.20,55.03,55.90,54.98,11028000
"Dec 10, 2019",54.68,55.06,54.33,54.52,53.63,4364800
"Dec 09, 2019",55.05,55.19,54.32,54.46,53.57,6541900
"Dec 06, 2019",54.50,55.03,54.50,54.94,54.04,5429100
"Dec 05, 2019",53.62,54.54,53.49,54.40,53.51,7624300
"Dec 04, 2019",53.27,53.57,53.11,53.18,52.31,3905200
"Dec 03, 2019",52.42,52.93,52.18,52.78,51.92,5468100
"Dec 02, 2019",53.55,53.59,52.78,52.98,52.11,4475800
"Nov 29, 2019",53.06,53.16,52.80,53.09,52.22,3391700
"Nov 27, 2019",54.03,54.06,53.54,53.89,53.01,2786100
"Nov 26, 2019",53.50,53.79,53.38,53.63,52.75,5672800
"Nov 25, 2019",53.09,53.94,52.80,53.76,52.88,5021500
"Nov 22, 2019",52.92,53.16,52.74,52.79,51.92,4172300
"Nov 21, 2019",53.50,53.51,52.94,52.98,52.11,6036700
"Nov 20, 2019",53.55,53.78,53.21,53.50,52.62,5264800
"Nov 19, 2019",54.05,54.14,53.68,53.76,52.88,4731100
"Nov 18, 2019",53.39,53.96,53.39,53.42,52.54,4774400
"Nov 15, 2019",53.01,53.39,52.88,53.29,52.42,5986400
"Nov 14, 2019",52.50,52.73,52.13,52.48,51.62,5308600
"Nov 13, 2019",52.58,52.94,52.15,52.88,52.01,5336200
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
