Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",102.44,103.64,98.85,99.98,99.98,6587300
"Apr 02, 2020",96.26,102.22,96.10,102.02,102.02,8353400
"Apr 01, 2020",96.10,100.37,96.07,96.89,96.89,8229700
"Mar 31, 2020",102.02,103.19,99.48,99.93,99.93,8968000
"Mar 30, 2020",100.40,103.44,100.30,102.02,102.02,6950800
"Mar 27, 2020",104.00,105.00,100.07,100.50,100.50,7579200
"Mar 26, 2020",99.40,108.84,99.01,107.76,107.76,10441400
"Mar 25, 2020",104.33,105.83,98.51,99.16,99.16,11862100
"Mar 24, 2020",102.15,105.68,99.46,105.36,105.36,9385700
"Mar 23, 2020",97.35,101.96,94.92,98.44,98.44,9680700
"Mar 20, 2020",104.50,105.50,97.10,97.60,97.60,10253200
"Mar 19, 2020",99.39,105.00,97.12,101.57,101.57,9298500
"Mar 18, 2020",100.05,105.82,94.15,100.00,100.00,16413900
"Mar 17, 2020",96.03,107.64,95.11,106.15,106.15,16243500
"Mar 16, 2020",95.88,104.50,93.09,93.50,93.50,12389200
"Mar 13, 2020",103.31,107.47,98.46,106.04,106.04,16040100
"Mar 12, 2020",99.42,104.73,96.55,97.53,97.53,15158500
"Mar 11, 2020",109.54,111.44,105.79,106.50,106.50,9636500
"Mar 10, 2020",108.83,112.14,104.75,112.12,112.12,9206200
"Mar 09, 2020",105.11,110.08,104.42,105.04,105.04,8454600
"Mar 06, 2020",111.09,113.87,110.14,113.16,113.16,6386200
"Mar 05, 2020",115.17,117.21,113.71,114.72,114.72,6162300
"Mar 04, 2020",115.77,119.09,114.34,119.05,119.05,5556500
"Mar 03, 2020",118.38,120.12,112.21,113.81,113.81,9217300
"Mar 02, 2020",115.16,119.07,113.32,118.97,118.97,7207500
"Feb 28, 2020",109.45,116.12,108.61,114.14,114.14,11432800
"Feb 27, 2020",116.35,118.49,113.07,113.13,113.13,8687300
"Feb 26, 2020",119.29,120.64,117.63,118.79,118.79,5778000
"Feb 25, 2020",122.90,123.03,118.02,118.38,118.38,6347200
"Feb 24, 2020",124.01,125.26,121.25,121.44,121.44,7483800
"Feb 21, 2020",130.76,130.83,127.96,128.52,128.52,4121000
"Feb 20, 2020",132.61,133.26,130.34,131.47,131.47,2487800
"Feb 19, 2020",132.90,134.30,132.21,133.13,133.13,3931600
"Feb 18, 2020",131.10,131.78,130.59,131.24,131.24,3094400
"Feb 14, 2020",133.48,133.62,131.27,132.21,132.21,2605200
"Feb 13, 2020",131.88,133.39,131.16,132.81,132.81,4268700
"Feb 12, 2020",131.65,132.94,131.64,132.42,132.42,2839100
"Feb 11, 2020",130.47,131.98,130.13,130.70,130.70,2986800
"Feb 10, 2020",127.55,129.70,127.30,129.65,129.65,2882500
"Feb 07, 2020",131.25,131.25,128.51,128.70,128.70,4331700
"Feb 06, 2020",133.00,133.00,131.48,132.52,132.52,3686600
"Feb 05, 2020",128.66,132.91,128.66,132.44,132.44,7281800
"Feb 04, 2020",126.00,127.32,125.36,126.47,126.47,4434700
"Feb 03, 2020",121.06,123.68,121.06,123.40,123.40,5396400
"Jan 31, 2020",123.36,123.64,119.96,120.65,120.65,5782500
"Jan 30, 2020",123.22,124.67,122.22,124.42,124.42,5521300
"Jan 30, 2020",0.9 Dividend,0.9 Dividend,0.9 Dividend,0.9 Dividend,0.9 Dividend,0.9 Dividend
"Jan 29, 2020",127.55,128.51,125.44,125.49,124.59,4535000
"Jan 28, 2020",127.15,128.31,126.76,128.04,127.12,4397500
"Jan 27, 2020",128.65,129.25,126.24,126.31,125.40,5890900
"Jan 24, 2020",134.80,135.44,129.75,130.52,129.58,5606800
"Jan 23, 2020",131.42,134.41,129.65,134.25,133.29,8598700
"Jan 22, 2020",132.02,135.70,131.82,133.34,132.38,8899700
"Jan 21, 2020",131.09,132.19,130.58,130.86,129.92,8631500
"Jan 17, 2020",130.76,132.04,130.44,131.70,130.76,5487100
"Jan 16, 2020",130.00,130.23,129.35,130.16,129.23,5475900
"Jan 15, 2020",130.43,130.43,128.86,129.17,128.24,3392300
"Jan 14, 2020",129.95,131.86,129.83,130.67,129.73,4626200
"Jan 13, 2020",130.57,130.74,129.77,129.95,129.02,4313200
"Jan 10, 2020",131.81,131.81,129.82,130.00,129.07,3234000
"Jan 09, 2020",130.70,131.74,130.24,131.33,130.39,3526600
"Jan 08, 2020",129.34,130.57,129.06,129.76,128.83,3546900
"Jan 07, 2020",129.15,130.90,128.42,129.41,128.48,7184100
"Jan 06, 2020",127.06,127.33,125.90,126.96,126.05,4345400
"Jan 03, 2020",127.46,129.25,127.23,127.85,126.93,4057200
"Jan 02, 2020",129.13,129.61,127.77,129.57,128.64,4614000
"Dec 31, 2019",127.25,128.39,127.06,128.29,127.37,2813300
"Dec 30, 2019",128.20,128.47,127.04,127.66,126.74,2283700
"Dec 27, 2019",128.86,128.92,128.09,128.57,127.65,1800600
"Dec 26, 2019",128.71,128.75,128.05,128.48,127.56,2339900
"Dec 24, 2019",128.73,128.85,127.89,128.53,127.61,1403400
"Dec 23, 2019",129.00,129.17,128.16,128.55,127.63,3095000
"Dec 20, 2019",127.25,129.04,125.85,128.95,128.03,9321400
"Dec 19, 2019",126.34,126.48,125.00,126.40,125.49,3961500
"Dec 18, 2019",127.39,127.39,126.00,126.35,125.44,5776200
"Dec 17, 2019",127.84,128.00,125.97,127.09,126.18,4354200
"Dec 16, 2019",127.58,128.67,127.07,127.07,126.16,4973100
"Dec 13, 2019",125.96,127.47,125.39,126.64,125.73,3451500
"Dec 12, 2019",123.80,126.98,123.03,126.07,125.17,5412700
"Dec 11, 2019",121.28,123.84,121.20,123.72,122.83,2959800
"Dec 10, 2019",122.19,122.99,121.17,121.37,120.50,4043400
"Dec 09, 2019",122.26,122.49,121.87,122.00,121.13,2801300
"Dec 06, 2019",121.95,122.70,121.88,122.37,121.49,3815900
"Dec 05, 2019",120.57,120.81,119.77,120.74,119.87,3260400
"Dec 04, 2019",119.98,121.47,119.41,120.28,119.42,4537600
"Dec 03, 2019",117.15,117.97,116.06,117.75,116.91,5307100
"Dec 02, 2019",120.12,120.19,117.91,118.79,117.94,4733500
"Nov 29, 2019",121.15,121.64,119.99,120.21,119.35,3498900
"Nov 27, 2019",119.91,121.81,119.50,121.73,120.86,4876200
"Nov 26, 2019",119.04,119.50,117.89,119.13,118.28,7099700
"Nov 25, 2019",117.79,119.47,117.71,119.01,118.16,3726400
"Nov 22, 2019",116.73,117.53,116.55,117.01,116.17,3008900
"Nov 21, 2019",116.20,116.35,114.59,116.10,115.27,5447700
"Nov 20, 2019",117.25,117.70,115.49,116.23,115.40,4368600
"Nov 19, 2019",118.48,118.48,116.98,117.84,116.99,3860600
"Nov 18, 2019",117.92,118.29,117.17,117.89,117.04,5337700
"Nov 15, 2019",118.57,118.76,117.56,118.00,117.15,4496800
"Nov 14, 2019",118.19,118.36,116.78,117.57,116.73,4568500
"Nov 13, 2019",118.06,118.96,117.61,118.42,117.57,4928800
"Nov 12, 2019",118.18,119.91,118.18,119.02,118.17,4761100
