Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",117.86,119.80,114.73,116.97,116.97,1330900
"Apr 02, 2020",114.57,119.00,112.25,118.20,118.20,1273600
"Apr 01, 2020",116.88,120.77,114.20,116.00,116.00,1454300
"Mar 31, 2020",120.32,124.75,120.01,121.10,121.10,1581800
"Mar 30, 2020",116.46,123.00,116.10,120.52,120.52,1403200
"Mar 27, 2020",119.47,120.21,112.57,115.74,115.74,2095200
"Mar 26, 2020",116.74,127.87,116.60,124.72,124.72,1978800
"Mar 25, 2020",114.00,123.28,112.07,116.20,116.20,1924500
"Mar 24, 2020",113.58,115.79,106.08,112.53,112.53,1678800
"Mar 23, 2020",104.67,109.36,99.27,105.74,105.74,1675800
"Mar 20, 2020",103.85,113.19,102.22,105.72,105.72,2554300
"Mar 19, 2020",91.76,105.68,86.81,100.19,100.19,2388200
"Mar 18, 2020",90.00,93.56,87.82,93.01,93.01,1676600
"Mar 17, 2020",97.41,99.32,86.00,95.84,95.84,2296500
"Mar 16, 2020",96.56,103.51,95.24,95.94,95.94,1812200
"Mar 13, 2020",103.52,108.08,97.06,107.88,107.88,2184100
"Mar 12, 2020",96.74,101.33,96.38,97.85,97.85,2690800
"Mar 11, 2020",110.67,112.21,104.27,106.01,106.01,1827400
"Mar 10, 2020",113.93,114.49,106.20,113.84,113.84,2155900
"Mar 09, 2020",107.26,112.52,105.65,109.45,109.45,2654000
"Mar 06, 2020",117.76,119.53,114.56,117.13,117.13,1952900
"Mar 05, 2020",122.22,124.20,120.28,121.88,121.88,1937100
"Mar 04, 2020",122.49,128.20,121.75,125.57,125.57,2274000
"Mar 03, 2020",121.96,126.40,116.62,120.59,120.59,2415500
"Mar 02, 2020",120.84,122.77,116.67,121.74,121.74,3551200
"Feb 28, 2020",122.63,128.52,116.00,120.52,120.52,5873300
"Feb 27, 2020",140.07,143.04,135.45,135.63,135.63,3042500
"Feb 26, 2020",148.70,150.27,143.27,144.27,144.27,1478600
"Feb 25, 2020",153.05,153.28,145.68,147.04,147.04,1368100
"Feb 24, 2020",152.66,153.43,149.32,151.69,151.69,1457500
"Feb 21, 2020",159.23,160.59,158.16,159.87,159.87,1381500
"Feb 20, 2020",162.34,163.12,158.08,162.20,162.20,1136400
"Feb 19, 2020",161.50,163.17,161.25,162.33,162.33,711800
"Feb 18, 2020",160.49,161.20,159.22,160.36,160.36,678300
"Feb 14, 2020",159.07,161.97,159.00,161.82,161.82,1389000
"Feb 13, 2020",158.17,159.12,156.45,159.01,159.01,1031200
"Feb 12, 2020",157.19,159.37,157.00,158.87,158.87,1004200
"Feb 11, 2020",159.00,159.78,155.94,156.19,156.19,1339500
"Feb 10, 2020",154.34,158.38,153.51,157.87,157.87,829500
"Feb 07, 2020",156.67,156.69,154.63,156.27,156.27,847200
"Feb 06, 2020",156.48,158.73,155.23,157.50,157.50,1539100
"Feb 05, 2020",155.10,156.89,151.25,151.56,151.56,1159000
"Feb 04, 2020",151.50,154.27,150.62,153.60,153.60,946200
"Feb 03, 2020",148.50,149.94,148.28,149.32,149.32,658100
"Jan 31, 2020",150.59,150.59,146.44,148.06,148.06,1151600
"Jan 30, 2020",147.49,151.63,146.44,151.23,151.23,990300
"Jan 29, 2020",149.79,150.50,147.94,148.40,148.40,693900
"Jan 28, 2020",146.14,149.37,146.14,148.81,148.81,819100
"Jan 27, 2020",147.75,147.75,145.24,145.24,145.24,1092700
"Jan 24, 2020",153.78,157.35,150.25,150.63,150.63,1070700
"Jan 23, 2020",150.11,153.81,149.40,153.08,153.08,1085500
"Jan 22, 2020",150.74,152.43,149.84,149.96,149.96,1125600
"Jan 21, 2020",151.00,151.35,148.29,148.68,148.68,1158300
"Jan 17, 2020",153.45,153.81,150.69,151.36,151.36,792600
"Jan 16, 2020",151.00,153.77,151.00,152.20,152.20,1088800
"Jan 15, 2020",152.74,152.88,149.42,149.64,149.64,988500
"Jan 14, 2020",152.44,155.18,151.70,152.09,152.09,1178600
"Jan 13, 2020",150.81,152.26,149.52,152.00,152.00,1187900
"Jan 10, 2020",152.52,152.69,149.53,149.87,149.87,1050000
"Jan 09, 2020",153.00,153.98,150.15,151.80,151.80,1200400
"Jan 08, 2020",151.35,151.93,147.60,151.55,151.55,1598400
"Jan 07, 2020",153.69,155.23,149.87,150.34,150.34,1259400
"Jan 06, 2020",153.00,154.14,151.54,154.06,154.06,779800
"Jan 03, 2020",153.02,155.71,152.89,154.02,154.02,1058200
"Jan 02, 2020",153.74,155.71,152.62,155.64,155.64,1095700
"Dec 31, 2019",152.13,153.25,151.43,151.79,151.79,689300
"Dec 30, 2019",154.16,154.16,151.40,152.43,152.43,782400
"Dec 27, 2019",153.96,154.61,152.90,154.16,154.16,695200
"Dec 26, 2019",152.20,153.67,152.18,153.46,153.46,596800
"Dec 24, 2019",152.68,152.80,150.31,151.02,151.02,422700
"Dec 23, 2019",151.22,152.80,150.63,152.68,152.68,771000
"Dec 20, 2019",148.93,151.30,148.65,151.04,151.04,1704900
"Dec 19, 2019",148.75,149.50,147.90,148.68,148.68,939400
"Dec 18, 2019",149.00,151.15,148.55,149.00,149.00,1387100
"Dec 17, 2019",151.48,151.48,148.80,148.94,148.94,1253500
"Dec 16, 2019",151.76,152.00,150.03,150.89,150.89,1262800
"Dec 13, 2019",155.69,155.88,151.25,151.30,151.30,1263000
"Dec 12, 2019",150.50,156.25,149.22,156.14,156.14,1809200
"Dec 11, 2019",148.53,151.03,148.40,150.91,150.91,1108400
"Dec 10, 2019",150.76,152.15,148.16,148.73,148.73,1213700
"Dec 09, 2019",147.00,150.32,146.86,149.43,149.43,1513400
"Dec 06, 2019",148.81,149.06,146.36,147.08,147.08,1270000
"Dec 05, 2019",152.69,153.16,147.89,148.32,148.32,1206800
"Dec 04, 2019",150.56,152.22,149.30,151.09,151.09,1439300
"Dec 03, 2019",149.77,150.72,146.44,149.41,149.41,3496100
"Dec 02, 2019",155.51,155.75,150.39,153.85,153.85,1954200
"Nov 29, 2019",160.27,160.91,155.50,155.62,155.62,1304400
"Nov 27, 2019",169.81,172.34,160.05,161.15,161.15,4774500
"Nov 26, 2019",170.00,171.62,164.32,164.90,164.90,2523200
"Nov 25, 2019",167.00,170.08,166.18,168.73,168.73,1165800
"Nov 22, 2019",166.12,166.97,163.37,165.86,165.86,1373900
"Nov 21, 2019",169.28,169.71,165.46,165.70,165.70,798100
"Nov 20, 2019",171.59,172.53,168.57,169.62,169.62,813900
"Nov 19, 2019",169.06,173.37,168.49,172.82,172.82,1226700
"Nov 18, 2019",168.00,168.78,166.47,167.36,167.36,892500
"Nov 15, 2019",167.34,168.77,165.57,168.37,168.37,720800
"Nov 14, 2019",164.83,166.61,163.51,165.95,165.95,724800
"Nov 13, 2019",166.82,168.50,165.37,165.83,165.83,812900
"Nov 12, 2019",166.33,169.33,166.18,167.97,167.97,1115300
"Nov 11, 2019",164.11,166.57,163.53,165.73,165.73,659700
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
