Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",70.21,71.65,68.37,68.75,68.75,2175500
"Apr 02, 2020",66.85,72.31,66.76,71.67,71.67,2065000
"Apr 01, 2020",69.91,70.59,65.90,67.73,67.73,1976800
"Mar 31, 2020",76.75,76.75,72.48,72.83,72.83,2555900
"Mar 30, 2020",76.02,78.77,74.66,78.17,78.17,2469800
"Mar 27, 2020",70.87,77.02,70.44,74.24,74.24,1829800
"Mar 26, 2020",67.14,73.69,66.64,72.79,72.79,2056100
"Mar 25, 2020",64.13,69.12,61.59,67.54,67.54,2397400
"Mar 24, 2020",63.40,65.49,60.30,65.29,65.29,2620500
"Mar 23, 2020",63.08,64.94,58.74,61.37,61.37,3118300
"Mar 20, 2020",71.50,71.64,62.01,62.93,62.93,3145800
"Mar 19, 2020",76.75,78.16,70.95,71.88,71.88,3094900
"Mar 18, 2020",71.94,77.38,70.18,76.15,76.15,2533300
"Mar 17, 2020",67.71,79.18,66.86,77.69,77.69,3871900
"Mar 16, 2020",70.02,72.33,64.93,65.95,65.95,3280500
"Mar 13, 2020",75.66,76.51,71.20,76.15,76.15,2490900
"Mar 12, 2020",75.50,76.82,71.04,72.40,72.40,2952100
"Mar 11, 2020",80.96,81.86,79.59,80.87,80.87,2733800
"Mar 10, 2020",81.99,83.59,79.16,82.59,82.59,2920800
"Mar 10, 2020",0.495 Dividend,0.495 Dividend,0.495 Dividend,0.495 Dividend,0.495 Dividend,0.495 Dividend
"Mar 09, 2020",82.00,83.37,80.02,81.60,81.10,4268200
"Mar 06, 2020",83.81,85.69,81.30,85.35,84.83,3040900
"Mar 05, 2020",85.60,87.12,85.11,86.05,85.53,2061800
"Mar 04, 2020",83.74,87.66,83.74,87.07,86.54,1952700
"Mar 03, 2020",84.17,86.00,82.96,83.16,82.66,2231900
"Mar 02, 2020",79.29,84.46,79.15,84.42,83.91,2835700
"Feb 28, 2020",80.08,80.28,77.19,79.00,78.52,4615000
"Feb 27, 2020",85.15,85.81,81.57,81.57,81.08,2564000
"Feb 26, 2020",84.73,86.47,84.04,85.21,84.69,2840800
"Feb 25, 2020",84.90,85.32,83.32,83.56,83.05,2612800
"Feb 24, 2020",85.00,85.62,84.54,84.82,84.31,1700500
"Feb 21, 2020",85.66,86.42,85.23,85.34,84.82,2212900
"Feb 20, 2020",85.55,85.92,85.10,85.66,85.14,1999000
"Feb 19, 2020",86.64,86.71,85.77,85.88,85.36,1598600
"Feb 18, 2020",87.16,87.33,86.50,86.75,86.22,2305800
"Feb 14, 2020",86.00,86.87,85.80,86.79,86.26,1754300
"Feb 13, 2020",84.57,85.85,84.37,85.75,85.23,1069600
"Feb 12, 2020",83.96,84.74,83.80,84.57,84.06,1155400
"Feb 11, 2020",84.16,84.48,83.87,84.27,83.76,1498100
"Feb 10, 2020",83.75,84.03,83.25,83.98,83.47,1220500
"Feb 07, 2020",83.45,83.76,83.27,83.60,83.09,1597900
"Feb 06, 2020",82.72,83.35,82.57,83.17,82.67,1388300
"Feb 05, 2020",82.11,82.74,81.94,82.68,82.18,1071200
"Feb 04, 2020",82.65,83.02,82.11,82.27,81.77,1595500
"Feb 03, 2020",82.23,82.71,82.08,82.63,82.13,1105700
"Jan 31, 2020",81.81,82.41,81.61,82.05,81.55,2038400
"Jan 30, 2020",80.97,81.94,80.77,81.90,81.40,1086100
"Jan 29, 2020",80.73,81.07,80.44,81.02,80.53,1493400
"Jan 28, 2020",80.20,80.67,79.97,80.32,79.83,1350700
"Jan 27, 2020",80.33,80.84,79.75,80.11,79.62,1774800
"Jan 24, 2020",80.25,80.83,80.03,80.39,79.90,1185800
"Jan 23, 2020",79.94,80.36,79.69,80.30,79.81,1269800
"Jan 22, 2020",80.14,80.44,79.88,79.91,79.43,2366300
"Jan 21, 2020",79.75,80.06,79.36,80.03,79.54,1732700
"Jan 17, 2020",79.24,79.90,79.16,79.75,79.27,1552800
"Jan 16, 2020",78.70,79.30,78.70,79.21,78.73,2065900
"Jan 15, 2020",77.80,78.33,77.58,78.20,77.73,1732400
"Jan 14, 2020",77.59,77.87,77.11,77.61,77.14,1439700
"Jan 13, 2020",77.02,77.76,77.02,77.63,77.16,1280800
"Jan 10, 2020",76.80,77.30,76.70,77.01,76.54,1073900
"Jan 09, 2020",76.24,76.68,76.07,76.59,76.13,1460700
"Jan 08, 2020",76.81,76.81,76.19,76.30,75.84,1034700
"Jan 07, 2020",75.88,76.44,75.54,76.43,75.97,1227200
"Jan 06, 2020",76.08,76.39,75.91,76.15,75.69,1381600
"Jan 03, 2020",75.84,76.55,75.84,76.08,75.62,1239900
"Jan 02, 2020",76.94,77.10,75.76,76.05,75.59,1460900
"Dec 31, 2019",76.54,77.04,76.49,76.80,76.33,1388900
"Dec 30, 2019",76.05,76.59,76.05,76.56,76.10,1106200
"Dec 27, 2019",75.94,76.33,75.59,76.30,75.84,1659800
"Dec 26, 2019",75.84,75.91,75.31,75.64,75.18,639900
"Dec 24, 2019",75.66,75.88,75.33,75.75,75.29,476200
"Dec 23, 2019",76.56,76.56,75.47,75.64,75.18,961500
"Dec 20, 2019",75.72,77.01,75.51,76.57,76.11,4155900
"Dec 19, 2019",76.07,76.48,75.43,75.45,74.99,6537400
"Dec 18, 2019",75.57,76.14,75.03,76.03,75.57,2484500
"Dec 17, 2019",75.75,76.37,75.54,75.61,75.15,1494000
"Dec 16, 2019",75.05,75.80,74.91,75.76,75.30,1505900
"Dec 13, 2019",74.47,75.18,73.96,75.02,74.56,972200
"Dec 12, 2019",74.78,75.19,74.40,74.71,74.26,1173800
"Dec 11, 2019",75.00,75.18,74.37,74.95,74.50,1485600
"Dec 10, 2019",74.46,75.03,74.29,74.59,74.14,1685700
"Dec 10, 2019",0.495 Dividend,0.495 Dividend,0.495 Dividend,0.495 Dividend,0.495 Dividend,0.495 Dividend
"Dec 09, 2019",75.28,75.29,74.74,74.95,74.00,1551700
"Dec 06, 2019",74.91,75.55,74.72,75.19,74.24,1314900
"Dec 05, 2019",74.20,75.09,74.14,75.09,74.14,1635800
"Dec 04, 2019",73.54,74.50,73.51,74.36,73.42,962200
"Dec 03, 2019",73.94,74.18,73.65,73.81,72.88,851000
"Dec 02, 2019",74.06,74.42,73.67,73.68,72.75,1369500
"Nov 29, 2019",74.44,74.69,74.25,74.33,73.39,703300
"Nov 27, 2019",74.14,74.32,73.70,74.18,73.24,1382700
"Nov 26, 2019",73.88,74.44,73.56,74.13,73.19,1775300
"Nov 25, 2019",74.94,74.99,73.99,74.17,73.23,1431200
"Nov 22, 2019",75.00,75.29,74.27,74.95,74.00,1614200
"Nov 21, 2019",75.44,75.51,74.76,75.19,74.24,1533600
"Nov 20, 2019",75.41,75.85,74.73,75.47,74.52,1718700
"Nov 19, 2019",75.50,76.13,75.03,75.45,74.50,1534800
"Nov 18, 2019",76.69,77.02,75.65,75.73,74.77,1571500
"Nov 15, 2019",76.49,76.83,76.26,76.62,75.65,1683600
"Nov 14, 2019",75.57,76.57,75.46,76.53,75.56,2614100
"Nov 13, 2019",74.51,75.93,74.41,75.58,74.63,1615500
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
