Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",75.83,76.72,71.20,72.50,72.50,3963900
"Apr 02, 2020",73.63,77.58,72.39,76.79,76.79,4959900
"Apr 01, 2020",77.45,78.91,73.82,74.57,74.57,3570100
"Mar 31, 2020",82.68,83.49,79.24,79.98,79.98,6247300
"Mar 30, 2020",84.87,86.45,79.83,83.71,83.71,5390500
"Mar 27, 2020",79.79,86.59,79.13,83.40,83.40,3255200
"Mar 26, 2020",73.48,82.88,73.25,81.80,81.80,3903500
"Mar 25, 2020",71.38,76.31,69.35,73.29,73.29,5448600
"Mar 24, 2020",71.66,73.78,68.09,72.05,72.05,4937500
"Mar 23, 2020",71.02,71.84,65.14,70.00,70.00,5499800
"Mar 20, 2020",80.95,81.10,70.26,71.45,71.45,5611000
"Mar 19, 2020",88.00,88.06,79.57,80.81,80.81,4741700
"Mar 18, 2020",85.02,92.86,81.01,88.28,88.28,5517900
"Mar 17, 2020",83.64,95.77,83.49,91.20,91.20,6641800
"Mar 16, 2020",78.57,86.18,77.76,81.66,81.66,5564600
"Mar 13, 2020",86.43,87.15,81.71,86.47,86.47,5127500
"Mar 12, 2020",83.00,85.97,73.53,82.54,82.54,7534000
"Mar 11, 2020",92.91,92.96,88.04,89.72,89.72,4213600
"Mar 10, 2020",98.32,98.33,91.23,94.72,94.72,5729000
"Mar 09, 2020",92.81,99.39,92.52,94.96,94.96,6660600
"Mar 06, 2020",95.90,97.72,93.85,97.70,97.70,5815300
"Mar 05, 2020",98.37,100.18,97.72,98.79,98.79,5285700
"Mar 04, 2020",96.37,100.65,96.37,99.82,99.82,4027200
"Mar 03, 2020",95.00,97.80,94.05,95.45,95.45,6823000
"Mar 02, 2020",89.55,95.31,89.34,95.09,95.09,4936200
"Feb 28, 2020",90.03,90.03,86.42,89.26,89.26,6763800
"Feb 27, 2020",97.31,97.51,91.79,91.86,91.86,5865600
"Feb 26, 2020",98.40,99.02,97.39,97.43,97.43,3258500
"Feb 25, 2020",100.23,100.62,97.94,98.17,98.17,3356500
"Feb 24, 2020",101.63,102.30,100.03,100.04,100.04,3279600
"Feb 21, 2020",102.05,103.14,101.61,101.71,101.71,3361300
"Feb 20, 2020",102.95,103.99,102.04,102.38,102.38,3344500
"Feb 19, 2020",104.15,104.39,103.44,103.50,103.50,1910000
"Feb 18, 2020",104.08,104.63,103.84,104.33,104.33,2121900
"Feb 14, 2020",103.15,103.88,102.92,103.76,103.76,1377000
"Feb 13, 2020",102.20,103.18,101.66,102.85,102.85,2555100
"Feb 12, 2020",101.78,102.35,101.35,101.79,101.79,1503500
"Feb 11, 2020",102.00,102.42,101.76,102.22,102.22,1498000
"Feb 10, 2020",101.67,101.98,101.21,101.92,101.92,1541000
"Feb 07, 2020",102.04,102.19,101.24,101.34,101.34,2260700
"Feb 07, 2020",0.7 Dividend,0.7 Dividend,0.7 Dividend,0.7 Dividend,0.7 Dividend,0.7 Dividend
"Feb 06, 2020",101.98,102.72,101.98,102.25,101.55,2752700
"Feb 05, 2020",102.73,103.10,101.97,102.12,101.42,4064600
"Feb 04, 2020",103.82,104.97,102.85,102.87,102.17,3203200
"Feb 03, 2020",104.47,104.70,103.86,104.22,103.51,3671500
"Jan 31, 2020",104.00,104.43,103.61,104.22,103.51,2457800
"Jan 30, 2020",102.73,104.13,102.41,104.10,103.39,1952900
"Jan 29, 2020",102.34,103.14,101.86,102.81,102.11,1643600
"Jan 28, 2020",101.83,102.55,101.71,102.19,101.49,1572400
"Jan 27, 2020",102.13,102.75,101.59,101.78,101.08,2294900
"Jan 24, 2020",100.97,102.36,100.79,102.16,101.46,3189000
"Jan 23, 2020",100.03,101.03,100.01,100.97,100.28,2402200
"Jan 22, 2020",100.00,100.40,99.80,100.00,99.32,2985100
"Jan 21, 2020",98.81,99.85,98.51,99.34,98.66,4731400
"Jan 17, 2020",97.42,98.66,97.06,98.56,97.89,4554800
"Jan 16, 2020",96.69,97.53,96.64,97.31,96.64,2175900
"Jan 15, 2020",95.70,96.67,95.52,96.60,95.94,4114400
"Jan 14, 2020",94.55,94.98,94.05,94.98,94.33,2717500
"Jan 13, 2020",94.39,95.10,94.39,94.63,93.98,2383800
"Jan 10, 2020",94.20,94.66,94.02,94.34,93.69,1452800
"Jan 09, 2020",93.27,94.14,93.26,93.88,93.24,2141900
