Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",118.39,118.80,112.60,113.32,113.32,1186900
"Apr 02, 2020",111.54,118.45,110.95,117.64,117.64,944800
"Apr 01, 2020",115.00,117.99,110.56,112.80,112.80,1355700
"Mar 31, 2020",124.92,126.50,117.19,119.56,119.56,2831000
"Mar 30, 2020",122.86,127.27,121.87,126.72,126.72,1584200
"Mar 27, 2020",116.77,125.03,115.00,120.77,120.77,1169900
"Mar 26, 2020",108.53,121.87,108.53,119.32,119.32,1634100
"Mar 25, 2020",103.77,114.27,101.35,110.45,110.45,1757000
"Mar 24, 2020",100.71,105.28,96.63,103.95,103.95,2167300
"Mar 23, 2020",100.38,100.38,92.00,97.07,97.07,2780900
"Mar 20, 2020",115.12,115.12,98.25,100.69,100.69,3441000
"Mar 19, 2020",129.00,130.26,114.06,115.12,115.12,2393300
"Mar 18, 2020",129.61,133.22,122.63,130.08,130.08,2661200
"Mar 17, 2020",121.33,140.29,120.50,138.50,138.50,2364400
"Mar 16, 2020",115.50,132.36,115.35,118.81,118.81,2367600
"Mar 13, 2020",121.36,128.33,116.54,128.29,128.29,1667000
"Mar 12, 2020",122.21,127.45,114.28,117.97,117.97,2494900
"Mar 11, 2020",135.35,136.63,128.28,129.67,129.67,2157100
"Mar 10, 2020",138.15,140.75,131.30,137.71,137.71,2185400
"Mar 09, 2020",133.15,139.78,132.65,137.19,137.19,2322200
"Mar 06, 2020",136.01,141.70,134.63,141.00,141.00,1492800
"Mar 05, 2020",138.52,140.49,136.70,139.36,139.36,1218400
"Mar 04, 2020",133.07,140.33,133.07,140.31,140.31,1528700
"Mar 03, 2020",131.22,134.75,130.60,131.42,131.42,1639200
"Mar 02, 2020",124.33,130.94,124.08,130.84,130.84,1860400
"Feb 28, 2020",124.11,125.80,120.62,123.66,123.66,3988800
"Feb 27, 2020",132.77,134.39,127.72,127.78,127.78,1277700
"Feb 26, 2020",132.95,134.93,132.59,133.04,133.04,1118600
"Feb 25, 2020",136.71,136.85,132.77,133.09,133.09,1056500
"Feb 24, 2020",136.85,137.75,135.95,136.53,136.53,1219400
"Feb 21, 2020",137.41,138.14,137.12,137.77,137.77,1222200
"Feb 20, 2020",138.32,138.67,136.50,137.30,137.30,1022400
"Feb 19, 2020",139.07,141.37,138.24,138.70,138.70,1288700
"Feb 18, 2020",140.34,140.57,139.26,139.26,139.26,1478400
"Feb 14, 2020",137.52,139.65,137.01,139.32,139.32,1091200
"Feb 13, 2020",135.70,137.23,135.55,136.95,136.95,814200
"Feb 12, 2020",134.52,136.11,134.50,135.70,135.70,996000
"Feb 11, 2020",135.53,135.99,135.10,135.34,135.34,746800
"Feb 10, 2020",134.71,135.55,134.45,135.21,135.21,1400000
"Feb 07, 2020",135.88,136.13,134.39,134.45,134.45,938200
"Feb 06, 2020",134.62,135.29,134.17,135.00,135.00,669000
"Feb 06, 2020",0.5 Dividend,0.5 Dividend,0.5 Dividend,0.5 Dividend,0.5 Dividend,0.5 Dividend
"Feb 05, 2020",134.56,135.67,134.09,135.07,134.57,923300
"Feb 04, 2020",135.95,136.81,134.82,134.84,134.34,1193000
"Feb 03, 2020",136.33,136.95,136.15,136.52,136.01,1253800
"Jan 31, 2020",136.91,137.73,135.44,136.20,135.70,1300500
"Jan 30, 2020",135.82,137.12,135.60,136.77,136.26,922700
"Jan 29, 2020",136.00,136.41,135.28,136.04,135.54,608400
"Jan 28, 2020",135.53,136.39,135.07,135.80,135.30,904200
"Jan 27, 2020",136.00,136.83,134.93,135.25,134.75,703400
"Jan 24, 2020",135.29,136.41,135.20,135.78,135.28,813800
"Jan 23, 2020",134.03,135.53,133.81,135.29,134.79,933300
"Jan 22, 2020",133.80,134.81,133.27,134.05,133.55,1255000
"Jan 21, 2020",130.49,133.40,130.20,133.22,132.73,1666700
"Jan 17, 2020",128.83,130.59,128.81,130.44,129.96,1338400
"Jan 16, 2020",127.00,128.73,126.83,128.57,128.09,984200
"Jan 15, 2020",125.00,127.03,124.88,126.88,126.41,912600
"Jan 14, 2020",124.00,124.57,123.51,124.57,124.11,886100
"Jan 13, 2020",122.77,124.03,122.77,123.74,123.28,961800
"Jan 10, 2020",122.20,122.74,122.15,122.56,122.11,754700
"Jan 09, 2020",120.49,122.22,120.15,122.13,121.68,803600
"Jan 08, 2020",119.55,121.19,119.23,120.49,120.04,1096700
"Jan 07, 2020",120.43,120.97,119.91,120.00,119.56,841000
"Jan 06, 2020",120.99,121.75,120.49,120.75,120.30,765800
"Jan 03, 2020",120.44,122.12,120.44,120.98,120.53,869300
"Jan 02, 2020",123.00,123.16,119.58,120.20,119.76,1618900
"Dec 31, 2019",123.25,123.82,122.34,122.85,122.40,766800
"Dec 30, 2019",122.59,123.29,122.52,123.05,122.59,737800
"Dec 27, 2019",122.06,122.97,121.81,122.96,122.50,575500
"Dec 26, 2019",121.50,122.29,121.41,121.88,121.43,309600
"Dec 24, 2019",121.10,122.02,120.78,121.62,121.17,243400
"Dec 23, 2019",122.83,123.11,120.67,121.39,120.94,1073100
"Dec 20, 2019",122.59,123.56,121.67,122.72,122.27,1914600
"Dec 19, 2019",121.39,122.09,120.77,121.66,121.21,1111300
"Dec 18, 2019",120.88,121.55,119.85,121.23,120.78,1115600
"Dec 17, 2019",121.42,121.75,120.71,120.90,120.45,1091700
"Dec 16, 2019",119.43,120.96,118.93,120.90,120.45,1020500
"Dec 13, 2019",118.04,119.58,117.34,119.20,118.76,1023900
"Dec 12, 2019",120.60,120.78,117.97,118.43,117.99,1249200
"Dec 11, 2019",120.00,120.97,119.00,120.90,120.45,1118200
"Dec 10, 2019",122.64,123.33,122.13,122.35,121.90,767200
"Dec 09, 2019",123.03,123.30,122.23,122.48,122.03,537400
"Dec 06, 2019",123.13,123.67,122.61,122.67,122.22,635000
"Dec 05, 2019",121.90,123.38,121.90,123.38,122.92,790300
"Dec 04, 2019",120.65,122.61,120.44,122.49,122.04,900400
"Dec 03, 2019",120.77,121.67,120.44,121.19,120.74,722100
"Dec 02, 2019",120.94,121.29,120.09,120.30,119.85,758900
"Nov 29, 2019",121.49,122.47,120.94,121.03,120.58,458200
"Nov 27, 2019",120.96,121.70,120.78,121.27,120.82,822200
"Nov 26, 2019",119.56,121.06,119.34,121.03,120.58,1102800
"Nov 25, 2019",118.98,119.78,118.31,119.31,118.87,646200
"Nov 22, 2019",119.65,119.73,118.09,119.04,118.60,1117600
"Nov 21, 2019",120.78,120.80,119.15,119.34,118.90,901600
"Nov 20, 2019",119.15,120.69,119.11,120.57,120.12,1547300
"Nov 19, 2019",118.24,119.64,117.73,119.13,118.69,945500
"Nov 18, 2019",118.63,119.92,118.20,118.68,118.24,750700
"Nov 15, 2019",117.98,118.31,116.79,118.24,117.80,713100
"Nov 14, 2019",117.39,118.74,116.78,117.85,117.41,580400
"Nov 13, 2019",116.06,117.17,115.24,116.93,116.50,813800
"Nov 12, 2019",115.39,116.33,114.96,115.38,114.95,745500
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
