Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",70.46,71.44,68.62,69.55,69.55,3388500
"Apr 02, 2020",68.85,72.58,68.55,71.06,71.06,3533000
"Apr 01, 2020",69.05,70.82,67.84,69.93,69.93,4381200
"Mar 31, 2020",75.66,76.22,71.90,72.19,72.19,4531400
"Mar 30, 2020",74.29,78.02,74.25,76.81,76.81,5701400
"Mar 27, 2020",70.10,75.92,69.40,73.07,73.07,4217000
"Mar 26, 2020",67.31,73.50,67.01,72.44,72.44,4741300
"Mar 25, 2020",64.83,70.81,64.03,67.34,67.34,4987600
"Mar 24, 2020",62.82,67.41,62.02,65.67,65.67,6514400
"Mar 23, 2020",67.11,67.11,57.79,59.39,59.39,8042700
"Mar 20, 2020",72.02,72.04,66.35,67.22,67.22,9964200
"Mar 19, 2020",79.93,80.02,71.07,71.85,71.85,7855600
"Mar 18, 2020",75.18,80.65,73.48,80.26,80.26,6562700
"Mar 17, 2020",70.26,82.70,70.19,80.48,80.48,8190800
"Mar 16, 2020",71.28,77.00,67.88,68.65,68.65,6506700
"Mar 13, 2020",76.00,78.36,71.32,78.29,78.29,7362700
"Mar 12, 2020",74.50,76.99,69.80,71.31,71.31,6777600
"Mar 11, 2020",81.25,81.45,77.92,78.95,78.95,4258300
"Mar 10, 2020",83.07,84.12,79.06,83.22,83.22,4869600
"Mar 09, 2020",82.36,84.42,79.55,81.33,81.33,6171300
"Mar 06, 2020",84.90,87.09,83.53,86.70,86.70,4520400
"Mar 05, 2020",87.37,88.79,86.17,87.17,87.17,3880800
"Mar 04, 2020",84.23,89.06,84.23,89.03,89.03,4571600
"Mar 03, 2020",83.76,85.94,82.93,83.38,83.38,5624500
"Mar 02, 2020",78.67,84.32,78.45,84.18,84.18,5612300
"Feb 28, 2020",79.80,79.80,76.39,78.18,78.18,8247000
"Feb 27, 2020",85.42,85.72,81.19,81.28,81.28,4549200
"Feb 27, 2020",0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend,0.94 Dividend
"Feb 26, 2020",88.20,88.80,86.72,86.77,85.83,3902100
"Feb 25, 2020",89.80,90.14,87.55,87.79,86.84,3879900
"Feb 24, 2020",89.04,90.89,88.85,89.80,88.83,4665600
"Feb 21, 2020",89.05,89.75,88.91,89.38,88.41,3126400
"Feb 20, 2020",87.80,89.32,87.72,89.25,88.28,3034800
"Feb 19, 2020",88.98,89.20,87.66,87.84,86.89,2665800
"Feb 18, 2020",87.89,89.01,87.31,88.98,88.02,3419500
"Feb 14, 2020",86.39,87.61,86.20,87.46,86.51,2881300
"Feb 13, 2020",85.75,86.91,85.75,86.24,85.31,3571400
"Feb 12, 2020",85.00,86.18,84.85,85.78,84.85,3463800
"Feb 11, 2020",85.25,86.22,84.86,85.22,84.30,3759800
"Feb 10, 2020",84.81,85.00,84.21,84.59,83.67,2329800
"Feb 07, 2020",85.44,85.63,84.76,84.81,83.89,2276700
"Feb 06, 2020",85.10,85.69,84.77,85.27,84.35,1594300
"Feb 05, 2020",84.44,85.22,84.12,84.92,84.00,2604600
"Feb 04, 2020",85.99,86.05,84.53,84.56,83.64,3025800
"Feb 03, 2020",85.95,86.14,85.63,85.84,84.91,2030800
"Jan 31, 2020",86.36,86.61,85.23,85.75,84.82,3968300
"Jan 30, 2020",85.34,86.69,84.93,86.48,85.54,3380500
"Jan 29, 2020",84.59,85.46,84.44,85.39,84.46,2973100
"Jan 28, 2020",83.45,84.62,83.43,84.52,83.60,2718800
"Jan 27, 2020",83.95,84.20,83.19,83.32,82.42,2226000
"Jan 24, 2020",84.04,84.34,83.47,84.00,83.09,2640800
"Jan 23, 2020",83.69,84.14,83.40,84.07,83.16,2270900
"Jan 22, 2020",84.26,84.42,83.67,83.69,82.78,2279400
"Jan 21, 2020",84.00,84.30,83.04,84.03,83.12,4520000
"Jan 17, 2020",83.74,84.09,82.84,84.05,83.14,3610800
"Jan 16, 2020",83.00,83.74,82.81,83.51,82.61,2657700
"Jan 15, 2020",82.16,82.99,82.13,82.99,82.09,2749400
"Jan 14, 2020",81.98,82.19,81.26,81.95,81.06,2872000
"Jan 13, 2020",82.08,82.41,81.94,82.05,81.16,1726600
"Jan 10, 2020",82.06,82.63,81.97,82.07,81.18,2420200
"Jan 09, 2020",81.53,82.06,81.51,81.92,81.03,2206500
"Jan 08, 2020",82.42,82.48,81.56,81.69,80.81,2591100
"Jan 07, 2020",82.18,82.48,81.96,82.21,81.32,2555100
"Jan 06, 2020",81.85,82.65,81.85,82.39,81.50,2164400
"Jan 03, 2020",81.81,82.55,81.73,81.76,80.87,2840700
"Jan 02, 2020",82.88,82.94,81.51,81.96,81.07,3004200
"Dec 31, 2019",82.27,82.86,82.06,82.82,81.92,2856600
"Dec 30, 2019",81.76,82.08,81.61,82.08,81.19,1845300
"Dec 27, 2019",81.45,82.02,81.25,82.00,81.11,1989300
"Dec 26, 2019",81.37,81.47,81.08,81.46,80.58,1481200
"Dec 24, 2019",81.49,81.49,80.73,81.36,80.48,1027700
"Dec 23, 2019",82.30,82.40,81.03,81.43,80.55,3486000
"Dec 20, 2019",82.29,82.39,81.34,82.32,81.43,7757300
"Dec 19, 2019",81.55,81.97,81.01,81.80,80.91,3947500
"Dec 18, 2019",81.84,82.15,80.56,81.45,80.57,4609800
"Dec 17, 2019",81.71,82.23,81.51,81.56,80.68,3863500
"Dec 16, 2019",81.05,81.64,80.67,81.64,80.76,3767000
"Dec 13, 2019",80.50,81.21,80.28,80.88,80.00,3413400
"Dec 12, 2019",80.79,81.18,80.36,80.69,79.82,3370800
"Dec 11, 2019",80.48,80.99,80.31,80.90,80.02,3455200
"Dec 10, 2019",79.92,80.43,79.79,80.09,79.22,3081500
"Dec 09, 2019",80.98,81.12,79.77,79.92,79.05,4341700
"Dec 06, 2019",80.94,81.49,80.88,81.00,80.12,3275600
"Dec 05, 2019",81.17,81.34,80.60,81.19,80.31,3606700
"Dec 05, 2019",0.9175 Dividend,0.9175 Dividend,0.9175 Dividend,0.9175 Dividend,0.9175 Dividend,0.9175 Dividend
"Dec 04, 2019",81.71,82.49,81.61,82.25,80.45,4844400
"Dec 03, 2019",82.22,82.58,81.51,81.94,80.15,4842700
"Dec 02, 2019",82.87,82.95,81.99,82.00,80.21,3602900
"Nov 29, 2019",83.39,83.65,82.79,83.11,81.29,1872600
"Nov 27, 2019",83.48,83.70,83.01,83.08,81.26,2145800
"Nov 26, 2019",83.35,83.85,83.03,83.46,81.63,4119600
"Nov 25, 2019",83.55,83.93,82.97,83.23,81.41,2687700
"Nov 22, 2019",83.20,83.35,82.36,83.24,81.42,2383900
"Nov 21, 2019",82.99,83.16,82.61,83.02,81.20,2555400
"Nov 20, 2019",82.55,83.06,82.29,82.90,81.09,2722500
"Nov 19, 2019",82.33,82.68,81.74,82.42,80.62,2383300
"Nov 18, 2019",82.26,83.16,82.22,82.58,80.77,3707900
"Nov 15, 2019",81.51,82.16,81.39,82.11,80.31,2859500
"Nov 14, 2019",80.88,81.81,80.84,81.56,79.78,3297000
"Nov 13, 2019",80.02,81.03,79.91,80.84,79.07,1950400
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
