Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",92.35,92.90,89.75,90.48,90.48,267800
"Apr 02, 2020",91.34,93.57,90.29,91.79,91.79,82400
"Apr 01, 2020",91.18,91.83,88.81,91.39,91.39,40600
"Mar 31, 2020",97.57,97.57,92.01,92.01,92.01,202000
"Mar 30, 2020",97.39,98.70,94.96,98.40,98.40,29600
"Mar 27, 2020",93.87,96.56,91.29,95.22,95.22,80900
"Mar 26, 2020",89.91,94.79,89.74,93.77,93.77,75600
"Mar 25, 2020",84.70,91.73,84.45,87.72,87.72,120200
"Mar 24, 2020",82.14,87.03,81.45,84.52,84.52,89300
"Mar 23, 2020",82.61,85.00,75.93,76.88,76.88,53000
"Mar 20, 2020",89.39,90.48,85.29,85.41,85.41,18900
"Mar 19, 2020",97.18,98.32,88.58,88.59,88.59,1215800
"Mar 18, 2020",96.73,101.78,90.30,90.30,90.30,541500
"Mar 17, 2020",92.90,104.00,92.67,100.73,100.73,55900
"Mar 16, 2020",93.56,97.43,86.59,88.11,88.11,80900
"Mar 13, 2020",90.79,99.17,90.45,98.87,98.87,256700
"Mar 12, 2020",100.00,110.00,89.01,89.01,89.01,112500
"Mar 11, 2020",102.89,103.69,100.50,100.50,100.50,135600
"Mar 10, 2020",106.08,106.73,102.34,105.67,105.67,84700
"Mar 09, 2020",104.66,106.81,102.16,104.01,104.01,99700
"Mar 06, 2020",108.13,109.44,106.60,109.07,109.07,104200
"Mar 05, 2020",109.93,110.84,108.95,110.02,110.02,92000
"Mar 04, 2020",107.67,111.27,106.09,111.27,111.27,361200
"Mar 03, 2020",106.42,108.48,105.11,106.02,106.02,219600
"Mar 02, 2020",100.61,106.82,100.61,106.79,106.79,85400
"Feb 28, 2020",103.43,103.43,99.88,100.15,100.15,291100
"Feb 27, 2020",108.34,108.42,104.24,104.31,104.31,165700
"Feb 26, 2020",109.97,111.99,109.97,110.11,110.11,229400
"Feb 25, 2020",112.83,113.70,110.93,111.20,111.20,154000
"Feb 24, 2020",112.76,113.82,112.32,113.19,113.19,37400
"Feb 21, 2020",112.67,113.02,112.45,112.76,112.76,68900
"Feb 20, 2020",111.24,112.59,111.24,112.59,112.59,36700
"Feb 19, 2020",112.25,112.50,111.31,111.41,111.41,216500
"Feb 18, 2020",111.61,112.40,111.03,112.40,112.40,58200
"Feb 14, 2020",109.10,111.25,109.10,111.18,111.18,47800
"Feb 13, 2020",110.21,110.66,109.79,110.08,110.08,95300
"Feb 12, 2020",110.47,110.47,109.00,109.79,109.79,34100
"Feb 11, 2020",109.31,109.94,108.95,109.02,109.02,10000
"Feb 10, 2020",108.92,109.07,108.27,108.57,108.57,24400
"Feb 07, 2020",109.20,109.43,108.70,108.72,108.72,18700
"Feb 06, 2020",109.80,109.80,108.69,109.30,109.30,21400
"Feb 05, 2020",110.08,110.08,108.43,108.79,108.79,50900
"Feb 04, 2020",111.18,111.18,108.63,108.63,108.63,13800
"Feb 03, 2020",109.90,109.94,109.09,109.68,109.68,6300
"Jan 31, 2020",110.34,110.38,109.21,109.73,109.73,39300
"Jan 30, 2020",109.08,110.39,109.08,110.34,110.34,109400
"Jan 29, 2020",108.69,109.28,108.18,109.23,109.23,44400
"Jan 28, 2020",107.64,108.50,107.64,108.50,108.50,18800
"Jan 27, 2020",107.92,108.30,107.38,107.52,107.52,18700
"Jan 24, 2020",108.17,108.22,107.61,108.12,108.12,134200
"Jan 23, 2020",108.00,108.17,107.35,108.03,108.03,114200
