Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",87.82,89.37,86.26,87.13,87.13,1815600
"Apr 02, 2020",87.07,91.98,86.75,89.17,89.17,1636300
"Apr 01, 2020",92.02,92.02,85.53,88.08,88.08,2145300
"Mar 31, 2020",98.14,99.23,94.91,94.97,94.97,1916700
"Mar 30, 2020",98.41,100.26,96.00,99.43,99.43,1480100
"Mar 27, 2020",94.77,100.55,91.28,97.53,97.53,1704100
"Mar 26, 2020",91.69,99.08,91.05,97.98,97.98,1607000
"Mar 25, 2020",85.89,96.71,84.00,92.48,92.48,2268200
"Mar 24, 2020",80.51,87.17,79.14,86.52,86.52,2128300
"Mar 23, 2020",81.36,84.77,74.57,76.81,76.81,2192800
"Mar 20, 2020",86.61,87.67,81.19,83.00,83.00,4536900
"Mar 19, 2020",76.90,86.25,73.82,85.41,85.41,2920400
"Mar 18, 2020",83.84,83.84,71.21,77.00,77.00,2669900
"Mar 17, 2020",85.17,89.61,83.26,88.38,88.38,3017400
"Mar 16, 2020",81.00,91.61,79.92,83.03,83.03,2782100
"Mar 13, 2020",95.17,96.44,89.58,96.44,96.44,2238600
"Mar 13, 2020",1.013 Dividend,1.013 Dividend,1.013 Dividend,1.013 Dividend,1.013 Dividend,1.013 Dividend
"Mar 12, 2020",95.97,99.19,87.45,91.18,90.17,2626600
"Mar 11, 2020",106.00,106.66,102.60,104.11,102.95,3070700
"Mar 10, 2020",104.51,108.14,100.86,108.01,106.81,3275200
"Mar 09, 2020",109.50,109.50,101.68,102.53,101.39,3072400
"Mar 06, 2020",112.90,116.62,110.57,116.12,114.83,2678100
"Mar 05, 2020",117.31,117.79,114.70,116.26,114.97,2002500
"Mar 04, 2020",114.39,119.35,114.05,119.31,117.98,1837900
"Mar 03, 2020",116.66,119.49,112.06,113.02,111.76,3049400
"Mar 02, 2020",113.07,116.86,111.40,116.64,115.34,2517000
"Feb 28, 2020",116.31,116.31,110.20,111.67,110.43,2907800
"Feb 27, 2020",124.02,124.38,117.93,118.01,116.70,2247800
"Feb 26, 2020",128.37,129.04,124.68,124.73,123.34,1499900
"Feb 25, 2020",132.83,133.27,128.08,128.12,126.70,1444500
"Feb 24, 2020",134.63,135.66,132.78,132.86,131.38,2081800
"Feb 21, 2020",133.99,135.67,133.84,134.96,133.46,1715500
"Feb 20, 2020",134.02,134.26,132.92,133.95,132.46,1117000
"Feb 19, 2020",134.28,134.93,134.02,134.07,132.58,941400
"Feb 18, 2020",134.54,135.35,134.28,134.65,133.15,1269300
"Feb 14, 2020",133.78,134.49,133.36,134.02,132.53,1625000
"Feb 13, 2020",133.67,134.11,133.07,133.55,132.07,1733300
"Feb 12, 2020",133.81,134.41,133.40,133.75,132.26,858100
"Feb 11, 2020",133.69,134.27,133.28,134.02,132.53,819000
"Feb 10, 2020",133.73,133.81,132.92,133.46,131.98,805800
"Feb 07, 2020",134.49,134.81,133.52,133.61,132.13,850100
"Feb 06, 2020",134.91,135.51,133.93,134.21,132.72,1238700
"Feb 05, 2020",134.00,134.81,132.99,134.45,132.96,1510700
"Feb 04, 2020",133.63,134.31,133.10,133.10,131.62,1405800
"Feb 03, 2020",132.94,133.80,132.70,133.78,132.29,962300
"Jan 31, 2020",133.08,133.58,132.10,132.61,131.14,1234600
"Jan 30, 2020",131.97,133.29,131.41,133.15,131.67,1459000
"Jan 29, 2020",132.46,132.87,131.94,131.95,130.48,1029500
"Jan 28, 2020",132.33,133.58,132.15,132.46,130.99,812800
"Jan 27, 2020",132.92,133.65,131.72,132.29,130.82,938100
"Jan 24, 2020",133.71,134.31,132.22,132.76,131.29,1248900
"Jan 23, 2020",132.59,134.12,132.35,133.90,132.41,1117400
"Jan 22, 2020",134.05,134.72,132.58,132.62,131.15,1421800
"Jan 21, 2020",133.93,134.44,133.05,133.93,132.44,1284100
"Jan 17, 2020",133.00,133.97,132.56,133.83,132.34,1015400
"Jan 16, 2020",132.23,132.99,132.08,132.92,131.44,641800
"Jan 15, 2020",130.72,132.29,130.65,131.99,130.52,907900
"Jan 14, 2020",129.65,130.28,128.81,130.26,128.81,1179900
"Jan 13, 2020",129.24,130.11,129.17,129.59,128.15,1010800
"Jan 10, 2020",129.00,129.44,128.76,128.94,127.51,1214400
"Jan 09, 2020",128.33,129.05,128.33,128.66,127.23,807500
"Jan 08, 2020",128.79,128.99,128.21,128.48,127.05,716100
"Jan 07, 2020",129.09,129.09,127.62,128.55,127.12,733800
"Jan 06, 2020",128.96,129.43,128.12,128.98,127.55,955500
"Jan 03, 2020",128.42,129.66,128.40,129.01,127.58,1163900
"Jan 02, 2020",130.00,130.00,127.75,128.70,127.27,933600
"Dec 31, 2019",129.27,129.96,129.12,129.87,128.43,837800
"Dec 30, 2019",128.65,129.04,128.17,129.02,127.59,1364400
"Dec 27, 2019",128.50,128.91,128.12,128.88,127.45,695200
"Dec 26, 2019",128.33,128.64,127.87,128.55,127.12,602300
"Dec 24, 2019",128.71,128.79,127.94,128.16,126.74,340100
"Dec 23, 2019",130.05,130.25,128.23,128.76,127.33,871100
"Dec 20, 2019",130.33,130.70,129.43,129.86,128.42,3450000
"Dec 19, 2019",129.40,130.25,128.86,129.66,128.22,1504600
"Dec 18, 2019",128.98,129.56,128.13,129.30,127.86,1432100
"Dec 17, 2019",127.19,129.26,127.19,128.67,127.24,2211500
"Dec 16, 2019",125.98,127.54,125.57,127.48,126.06,1421900
"Dec 13, 2019",123.88,125.09,123.13,124.86,123.47,846300
"Dec 13, 2019",1.0125 Dividend,1.0125 Dividend,1.0125 Dividend,1.0125 Dividend,1.0125 Dividend,1.0125 Dividend
"Dec 12, 2019",125.28,125.64,124.37,124.93,122.54,938700
"Dec 11, 2019",124.79,125.43,124.43,125.34,122.94,925400
"Dec 10, 2019",124.80,125.60,124.44,124.92,122.53,809900
"Dec 09, 2019",125.28,125.72,124.86,125.30,122.90,896000
"Dec 06, 2019",125.17,125.86,124.77,125.23,122.84,810200
"Dec 05, 2019",125.08,125.66,124.71,125.36,122.96,901500
"Dec 04, 2019",123.61,125.57,123.61,125.26,122.86,1236300
"Dec 03, 2019",123.74,124.20,123.27,124.01,121.64,889600
"Dec 02, 2019",124.35,124.91,123.36,123.38,121.02,1244000
"Nov 29, 2019",125.03,125.63,124.39,124.94,122.55,683200
"Nov 27, 2019",124.26,125.06,123.78,124.97,122.58,885800
"Nov 26, 2019",124.06,124.57,123.65,124.25,121.87,1792200
"Nov 25, 2019",123.79,124.33,123.20,124.08,121.71,2053900
"Nov 22, 2019",123.38,124.13,122.52,123.44,121.08,810400
"Nov 21, 2019",123.92,124.26,122.98,123.37,121.01,973400
"Nov 20, 2019",123.77,124.33,123.38,124.10,121.73,737600
"Nov 19, 2019",123.20,123.86,122.30,123.63,121.27,1116300
"Nov 18, 2019",124.00,124.93,123.21,123.50,121.14,1487300
"Nov 15, 2019",123.59,123.91,123.04,123.84,121.47,1042400
"Nov 14, 2019",122.81,123.94,122.62,123.71,121.34,1236600
"Nov 13, 2019",120.64,123.02,120.64,122.62,120.27,1131600
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
