Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",25.69,25.72,25.28,25.62,25.62,295895
"Apr 02, 2020",25.59,25.87,25.33,25.55,25.55,139588
"Apr 01, 2020",25.65,25.74,25.39,25.63,25.63,219107
"Mar 31, 2020",26.00,26.35,25.75,25.98,25.98,168556
"Mar 30, 2020",25.60,25.90,25.58,25.85,25.85,111919
"Mar 27, 2020",25.32,25.84,25.10,25.66,25.66,208847
"Mar 26, 2020",25.75,25.75,25.05,25.75,25.75,240732
"Mar 25, 2020",24.74,25.92,24.38,25.27,25.27,248583
"Mar 24, 2020",23.44,24.98,23.44,24.53,24.53,245845
"Mar 23, 2020",24.10,24.10,22.52,22.67,22.67,242289
"Mar 20, 2020",24.60,25.25,23.86,23.90,23.90,303620
"Mar 19, 2020",22.66,24.90,22.66,24.60,24.60,378321
"Mar 18, 2020",25.05,25.34,22.10,22.90,22.90,414486
"Mar 17, 2020",25.02,25.99,24.85,25.40,25.40,236409
"Mar 16, 2020",25.41,25.97,24.90,24.95,24.95,253653
"Mar 13, 2020",25.67,26.25,25.45,26.25,26.25,142885
"Mar 12, 2020",25.65,26.08,25.00,25.44,25.44,296685
"Mar 11, 2020",26.79,26.79,26.30,26.53,26.53,95823
"Mar 10, 2020",27.05,27.43,26.56,26.79,26.79,80847
"Mar 09, 2020",27.00,27.25,26.39,26.81,26.81,134293
"Mar 06, 2020",27.60,27.71,27.35,27.49,27.49,145013
"Mar 05, 2020",27.41,27.94,27.41,27.77,27.77,82790
"Mar 04, 2020",27.60,27.85,27.47,27.74,27.74,82243
"Mar 03, 2020",27.27,28.05,27.20,27.32,27.32,60307
"Mar 02, 2020",27.08,27.27,26.92,27.18,27.18,158050
"Feb 28, 2020",27.00,27.21,26.68,26.84,26.84,221035
"Feb 27, 2020",27.32,27.45,27.07,27.26,27.26,123946
"Feb 26, 2020",27.31,27.45,26.93,27.39,27.39,162629
"Feb 25, 2020",27.86,27.86,27.09,27.16,27.16,235271
"Feb 24, 2020",27.80,27.91,27.52,27.66,27.66,52732
"Feb 21, 2020",28.19,28.19,27.85,27.89,27.89,142976
"Feb 20, 2020",28.00,28.12,27.85,28.05,28.05,89034
"Feb 19, 2020",28.22,28.22,27.96,27.96,27.96,138407
"Feb 18, 2020",28.27,28.28,28.15,28.15,28.15,92372
"Feb 14, 2020",28.27,28.30,28.18,28.20,28.20,38554
"Feb 13, 2020",28.23,28.36,28.15,28.18,28.18,55021
"Feb 13, 2020",0.359375 Dividend,0.359375 Dividend,0.359375 Dividend,0.359375 Dividend,0.359375 Dividend,0.359375 Dividend
"Feb 12, 2020",28.75,28.75,28.51,28.51,28.15,62533
"Feb 11, 2020",28.75,28.81,28.65,28.67,28.31,82882
"Feb 10, 2020",28.72,28.75,28.62,28.75,28.39,60285
"Feb 07, 2020",28.58,28.80,28.51,28.67,28.31,85262
"Feb 06, 2020",28.42,28.58,28.39,28.57,28.21,48511
"Feb 05, 2020",28.45,28.47,28.35,28.42,28.06,68862
"Feb 04, 2020",28.35,28.49,28.27,28.37,28.01,49152
"Feb 03, 2020",28.29,28.35,28.23,28.35,27.99,44949
"Jan 31, 2020",28.40,28.56,28.18,28.25,27.89,130629
"Jan 30, 2020",28.23,28.39,28.22,28.39,28.03,62376
"Jan 29, 2020",28.16,28.24,28.14,28.21,27.85,78341
"Jan 28, 2020",28.12,28.15,28.04,28.12,27.77,44567
"Jan 27, 2020",28.06,28.12,27.94,28.07,27.72,89189
"Jan 24, 2020",28.15,28.15,28.01,28.13,27.78,43337
"Jan 23, 2020",28.15,28.17,28.05,28.17,27.81,54654
"Jan 22, 2020",28.07,28.17,28.06,28.16,27.81,48448
"Jan 21, 2020",28.12,28.12,28.05,28.10,27.75,48874
"Jan 17, 2020",28.01,28.05,27.85,27.97,27.62,64630
"Jan 16, 2020",28.10,28.10,28.01,28.03,27.68,63534
"Jan 15, 2020",28.22,28.25,28.05,28.09,27.74,103033
"Jan 14, 2020",28.23,28.24,28.17,28.22,27.86,64449
"Jan 13, 2020",28.20,28.20,28.09,28.17,27.81,53864
"Jan 10, 2020",28.15,28.18,28.10,28.13,27.78,62958
"Jan 09, 2020",28.14,28.20,28.05,28.10,27.75,84471
"Jan 08, 2020",28.05,28.09,28.00,28.04,27.69,96021
"Jan 07, 2020",28.00,28.03,27.95,28.02,27.67,58742
"Jan 06, 2020",28.01,28.05,27.92,27.98,27.63,62998
"Jan 03, 2020",27.89,28.00,27.81,27.89,27.54,77026
"Jan 02, 2020",27.76,27.85,27.73,27.82,27.47,360486
"Dec 31, 2019",27.88,27.90,27.71,27.71,27.36,112160
"Dec 30, 2019",27.89,27.89,27.78,27.87,27.52,58458
"Dec 27, 2019",27.90,27.90,27.69,27.86,27.51,46336
"Dec 26, 2019",27.83,27.89,27.74,27.77,27.42,78926
"Dec 24, 2019",27.89,27.98,27.88,27.95,27.60,23986
"Dec 23, 2019",27.78,27.92,27.62,27.85,27.50,44978
"Dec 20, 2019",27.74,27.74,27.67,27.70,27.35,46830
"Dec 19, 2019",27.72,27.75,27.65,27.67,27.32,165573
"Dec 18, 2019",27.73,27.80,27.64,27.68,27.33,235600
"Dec 17, 2019",27.74,27.74,27.64,27.65,27.30,205796
"Dec 16, 2019",27.74,27.74,27.61,27.70,27.35,84908
"Dec 13, 2019",27.50,27.70,27.49,27.60,27.25,206819
"Dec 12, 2019",27.46,27.54,27.32,27.50,27.15,98581
"Dec 11, 2019",27.29,27.55,27.28,27.51,27.16,53645
"Dec 10, 2019",27.25,27.30,27.13,27.29,26.95,73855
"Dec 09, 2019",27.15,27.30,27.12,27.15,26.81,86299
"Dec 06, 2019",27.02,27.15,26.83,27.12,26.78,86186
"Dec 05, 2019",27.06,27.10,26.94,27.02,26.68,103713
"Dec 04, 2019",27.10,27.10,26.98,27.05,26.71,110116
"Dec 03, 2019",26.91,27.06,26.85,27.01,26.67,96744
