Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",78.33,79.34,75.58,76.02,76.02,2905900
"Apr 02, 2020",76.43,79.96,76.24,79.39,79.39,3665500
"Apr 01, 2020",77.92,79.75,76.36,77.57,77.57,4600700
"Mar 31, 2020",82.37,83.96,80.51,80.88,80.88,5115500
"Mar 30, 2020",81.35,83.94,80.57,83.46,83.46,5300800
"Mar 27, 2020",78.03,83.69,77.95,80.19,80.19,5091300
"Mar 26, 2020",75.18,81.93,75.01,81.19,81.19,6163700
"Mar 25, 2020",71.19,78.55,70.19,74.71,74.71,6573700
"Mar 24, 2020",67.01,71.91,66.13,71.50,71.50,6516900
"Mar 23, 2020",66.39,67.93,62.13,64.15,64.15,7060100
"Mar 20, 2020",75.85,76.00,68.10,68.40,68.40,8975700
"Mar 19, 2020",79.12,79.17,74.00,75.05,75.05,6361700
"Mar 18, 2020",81.01,82.98,77.17,79.28,79.28,6426500
"Mar 17, 2020",78.58,86.55,78.15,86.00,86.00,6712800
"Mar 16, 2020",79.30,84.65,76.00,76.58,76.58,7118500
"Mar 13, 2020",85.01,85.86,80.00,85.77,85.77,6156000
"Mar 12, 2020",85.51,86.36,76.00,80.48,80.48,7684400
"Mar 11, 2020",92.89,93.17,89.79,90.94,90.94,6268200
"Mar 10, 2020",95.64,96.62,91.41,95.05,95.05,6386600
"Mar 09, 2020",94.50,96.70,92.85,94.58,94.58,5616000
"Mar 06, 2020",97.45,99.50,95.58,99.05,99.05,5522600
"Mar 05, 2020",100.37,101.49,99.00,100.13,100.13,4327400
"Mar 04, 2020",96.69,101.69,96.59,101.65,101.65,4284200
"Mar 03, 2020",96.56,98.71,94.81,95.61,95.61,5060500
"Mar 02, 2020",91.65,96.94,91.54,96.67,96.67,6803600
"Feb 28, 2020",93.30,93.30,89.39,91.70,91.70,7910900
"Feb 27, 2020",98.09,99.30,94.96,94.99,94.99,4784000
"Feb 26, 2020",99.29,100.49,98.82,98.94,98.94,3152200
"Feb 25, 2020",102.51,102.68,99.02,99.27,99.27,4093000
"Feb 24, 2020",102.08,103.79,101.72,102.30,102.30,5282900
"Feb 21, 2020",101.33,102.99,101.30,102.43,102.43,3520000
"Feb 20, 2020",101.17,101.84,101.01,101.43,101.43,2711000
"Feb 19, 2020",102.22,102.38,101.37,101.42,101.42,2809100
"Feb 18, 2020",101.65,102.44,101.53,102.02,102.02,6256900
"Feb 14, 2020",100.16,101.77,100.09,101.28,101.28,6300400
"Feb 13, 2020",97.81,100.39,97.56,100.11,100.11,5132500
"Feb 13, 2020",0.945 Dividend,0.945 Dividend,0.945 Dividend,0.945 Dividend,0.945 Dividend,0.945 Dividend
"Feb 12, 2020",96.98,98.24,96.93,97.92,96.97,4377700
"Feb 11, 2020",96.37,97.24,96.29,96.99,96.05,2993100
"Feb 10, 2020",96.36,96.41,95.71,96.23,95.30,2647800
"Feb 07, 2020",97.25,97.29,96.19,96.27,95.34,2747900
"Feb 06, 2020",97.01,97.39,96.81,96.93,95.99,1611100
