Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",78.22,78.93,76.99,77.90,77.90,3904500
"Apr 02, 2020",76.00,79.63,76.00,78.93,78.93,3021800
"Apr 01, 2020",75.71,78.44,75.25,77.61,77.61,6352500
"Mar 31, 2020",79.75,80.00,77.34,78.00,78.00,3389300
"Mar 30, 2020",79.72,81.09,78.04,80.73,80.73,2557200
"Mar 27, 2020",74.26,79.72,74.01,77.90,77.90,2291500
"Mar 26, 2020",70.62,76.73,70.20,75.92,75.92,2771000
"Mar 25, 2020",69.35,74.46,67.80,70.93,70.93,3122100
"Mar 24, 2020",67.50,71.21,64.58,70.51,70.51,3372200
"Mar 23, 2020",72.50,72.69,62.03,65.35,65.35,5017900
"Mar 20, 2020",81.24,81.50,71.07,72.59,72.59,4902400
"Mar 19, 2020",92.56,92.56,79.56,80.09,80.09,5082100
"Mar 18, 2020",88.91,93.88,86.43,92.20,92.20,4117600
"Mar 17, 2020",81.42,94.63,81.42,93.88,93.88,5432000
"Mar 16, 2020",82.65,86.64,78.82,79.55,79.55,5037300
"Mar 13, 2020",86.34,89.16,84.02,88.07,88.07,5699300
"Mar 12, 2020",80.63,86.01,78.43,83.79,83.79,6073000
"Mar 11, 2020",87.57,88.00,84.69,86.50,86.50,4162800
"Mar 10, 2020",89.41,91.53,87.40,89.40,89.40,4040400
"Mar 09, 2020",85.55,89.93,83.52,88.66,88.66,5398100
"Mar 06, 2020",85.29,88.50,85.16,87.90,87.90,4705400
"Mar 05, 2020",86.65,88.08,86.07,87.58,87.58,2282900
"Mar 04, 2020",84.81,88.34,84.81,88.01,88.01,2415100
"Mar 03, 2020",84.39,86.43,83.57,83.84,83.84,3129700
"Mar 02, 2020",79.59,84.82,79.28,84.53,84.53,3615400
"Feb 28, 2020",81.26,81.28,77.80,78.82,78.82,5357400
"Feb 27, 2020",87.35,87.89,83.17,83.19,83.19,2752600
"Feb 26, 2020",88.43,89.15,87.67,87.69,87.69,2455200
"Feb 25, 2020",89.20,89.40,88.02,88.25,88.25,2328700
"Feb 24, 2020",89.46,90.13,88.60,88.89,88.89,2393400
"Feb 21, 2020",91.21,91.68,89.27,90.18,90.18,3976900
"Feb 20, 2020",93.87,94.65,93.63,94.58,94.58,1319000
"Feb 19, 2020",94.27,94.58,93.74,93.88,93.88,1029900
"Feb 18, 2020",93.72,94.58,93.63,94.35,94.35,2172700
"Feb 18, 2020",0.765 Dividend,0.765 Dividend,0.765 Dividend,0.765 Dividend,0.765 Dividend,0.765 Dividend
"Feb 14, 2020",93.92,94.48,93.75,94.30,93.54,1249200
"Feb 13, 2020",92.80,93.74,92.23,93.64,92.88,1244300
"Feb 12, 2020",92.79,93.15,92.45,92.87,92.12,1552200
"Feb 11, 2020",93.29,93.62,93.01,93.18,92.42,1141700
"Feb 10, 2020",92.81,93.09,92.29,93.08,92.32,1029900
"Feb 07, 2020",93.78,93.96,92.78,92.78,92.03,1098300
"Feb 06, 2020",93.57,93.96,93.23,93.47,92.71,1212700
"Feb 05, 2020",92.40,93.49,92.18,93.40,92.64,1270800
"Feb 04, 2020",93.73,94.06,92.50,92.54,91.79,1631900
"Feb 03, 2020",94.16,94.32,93.34,93.85,93.09,1434400
"Jan 31, 2020",94.64,95.10,93.55,94.00,93.24,3781500
"Jan 30, 2020",94.50,94.93,93.91,94.74,93.97,1429700
"Jan 29, 2020",94.07,94.62,93.55,94.44,93.67,1640800
"Jan 28, 2020",93.47,94.68,93.47,94.18,93.42,1496500
"Jan 27, 2020",93.71,94.16,93.13,93.41,92.65,1999400
"Jan 24, 2020",92.56,93.72,92.52,93.61,92.85,1455900
"Jan 23, 2020",91.20,92.79,91.20,92.77,92.02,1741900
"Jan 22, 2020",91.20,91.60,91.01,91.16,90.42,1581700
"Jan 21, 2020",90.37,90.87,89.88,90.83,90.09,2140900
"Jan 17, 2020",89.17,90.42,88.93,90.24,89.51,2538400
"Jan 16, 2020",89.08,89.32,88.96,89.17,88.45,1707100
"Jan 15, 2020",88.06,89.20,87.95,88.96,88.24,1944200
"Jan 14, 2020",87.83,88.06,87.13,87.78,87.07,2134500
"Jan 13, 2020",87.47,88.19,87.29,87.79,87.08,1351800
"Jan 10, 2020",87.10,87.75,87.07,87.49,86.78,1453400
"Jan 09, 2020",86.82,87.25,86.71,86.88,86.18,1523200
"Jan 08, 2020",87.08,87.38,86.69,86.97,86.26,2255000
"Jan 07, 2020",88.00,88.58,87.18,87.67,86.96,1897700
"Jan 06, 2020",88.67,89.06,88.10,88.34,87.62,1395300
"Jan 03, 2020",88.56,89.23,88.46,88.63,87.91,1379600
"Jan 02, 2020",90.55,90.65,88.47,88.86,88.14,1335100
"Dec 31, 2019",90.19,90.49,89.82,90.47,89.74,1153600
"Dec 30, 2019",89.70,90.19,89.55,90.19,89.46,1264100
"Dec 27, 2019",89.66,89.99,89.51,89.94,89.21,836600
"Dec 26, 2019",89.74,89.82,89.16,89.65,88.92,717500
"Dec 24, 2019",89.75,89.82,89.24,89.67,88.94,350700
"Dec 23, 2019",90.84,91.10,89.42,89.78,89.05,1345700
"Dec 20, 2019",90.14,91.14,89.78,90.63,89.89,3551200
"Dec 19, 2019",89.07,89.75,88.94,89.70,88.97,2234300
"Dec 18, 2019",88.94,89.23,88.46,89.00,88.28,1810200
"Dec 17, 2019",88.32,89.41,88.19,88.53,87.81,1681000
"Dec 16, 2019",88.05,88.36,87.49,88.23,87.51,2829900
"Dec 13, 2019",87.21,88.10,86.92,87.83,87.12,2174800
"Dec 12, 2019",87.42,87.86,87.02,87.52,86.81,1838100
"Dec 11, 2019",87.00,87.65,86.82,87.59,86.88,1817600
"Dec 10, 2019",86.65,87.19,86.43,86.80,86.10,1517500
"Dec 09, 2019",86.80,86.82,86.32,86.56,85.86,1458600
"Dec 06, 2019",86.54,87.19,86.47,86.79,86.09,1007800
"Dec 05, 2019",86.60,86.76,86.25,86.69,85.99,1072900
"Dec 04, 2019",85.94,86.92,85.94,86.78,86.08,1356800
"Dec 03, 2019",85.90,86.49,85.60,86.29,85.59,1535600
"Dec 02, 2019",86.50,86.64,85.47,85.55,84.86,1329300
"Nov 29, 2019",87.09,87.78,86.63,86.89,86.19,747300
"Nov 27, 2019",86.46,86.88,86.30,86.73,86.03,1007700
"Nov 26, 2019",86.09,86.50,85.86,86.44,85.74,2063300
"Nov 25, 2019",86.10,86.40,85.67,86.04,85.34,1110700
"Nov 22, 2019",86.67,86.95,85.69,86.19,85.49,1874700
"Nov 21, 2019",86.50,87.03,86.32,86.82,86.12,1441600
"Nov 20, 2019",87.19,87.50,86.55,87.31,86.60,1377800
"Nov 19, 2019",87.20,87.25,86.30,86.88,86.18,1860700
"Nov 18, 2019",87.99,88.66,87.29,87.47,86.76,1137100
"Nov 15, 2019",87.30,87.74,87.16,87.73,87.02,1127100
"Nov 14, 2019",86.50,87.45,86.45,87.24,86.53,1698000
"Nov 13, 2019",86.94,87.79,86.76,87.50,86.79,1990600
"Nov 12, 2019",86.93,87.12,86.10,86.42,85.72,1425300
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
