Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",50.96,51.93,48.33,49.36,49.36,3612700
"Apr 02, 2020",50.01,53.20,50.01,51.53,51.53,2032400
"Apr 01, 2020",52.27,54.22,49.80,51.27,51.27,2219800
"Mar 31, 2020",56.44,56.44,54.10,54.79,54.79,2190900
"Mar 30, 2020",55.71,57.17,54.43,56.31,56.31,2756500
"Mar 30, 2020",0.638 Dividend,0.638 Dividend,0.638 Dividend,0.638 Dividend,0.638 Dividend,0.638 Dividend
"Mar 27, 2020",55.10,57.57,54.18,55.36,54.72,2840100
"Mar 26, 2020",54.13,59.55,53.85,57.73,57.06,3211100
"Mar 25, 2020",50.03,56.79,50.03,53.82,53.20,3338300
"Mar 24, 2020",46.33,51.20,45.97,50.38,49.80,2995100
"Mar 23, 2020",46.46,48.42,44.14,44.47,43.96,3527700
"Mar 20, 2020",48.87,51.57,46.56,46.86,46.32,4052700
"Mar 19, 2020",48.51,49.28,45.00,48.76,48.20,3083500
"Mar 18, 2020",48.41,50.82,45.78,49.04,48.47,5257200
"Mar 17, 2020",47.04,53.96,45.55,51.36,50.77,4838500
"Mar 16, 2020",48.47,51.11,43.63,46.15,45.62,4654000
"Mar 13, 2020",54.94,55.35,49.78,53.25,52.64,4280700
"Mar 12, 2020",56.04,56.55,51.28,52.43,51.83,4432200
"Mar 11, 2020",62.08,62.08,58.63,59.74,59.05,3380100
"Mar 10, 2020",62.56,64.05,60.20,63.89,63.15,5080200
"Mar 09, 2020",65.24,66.44,61.76,61.76,61.05,3728300
"Mar 06, 2020",67.45,68.21,66.17,67.59,66.81,3461300
"Mar 05, 2020",69.53,71.07,68.51,69.01,68.21,2115200
"Mar 04, 2020",68.81,70.17,68.14,70.16,69.35,4519500
"Mar 03, 2020",69.81,71.82,67.91,68.30,67.51,4350600
"Mar 02, 2020",67.53,70.47,67.11,70.44,69.63,3847800
"Feb 28, 2020",68.58,68.94,65.26,67.19,66.42,5410600
"Feb 27, 2020",74.01,74.21,69.85,70.25,69.44,2110200
"Feb 26, 2020",75.06,75.85,74.26,74.31,73.45,1679400
"Feb 25, 2020",76.41,76.81,74.76,75.08,74.21,1652100
"Feb 24, 2020",77.75,77.81,76.31,76.32,75.44,1404000
"Feb 21, 2020",77.20,78.53,77.04,77.57,76.68,1441500
"Feb 20, 2020",76.57,77.42,76.51,77.32,76.43,1498900
"Feb 19, 2020",77.16,78.07,76.41,76.64,75.76,1671300
"Feb 18, 2020",77.38,77.57,76.90,77.12,76.23,1707600
"Feb 14, 2020",77.45,77.52,76.91,77.14,76.25,1323600
"Feb 13, 2020",77.67,77.95,76.60,77.37,76.48,1534800
"Feb 12, 2020",77.89,78.09,77.28,77.50,76.61,1462200
"Feb 11, 2020",78.49,78.93,77.94,78.00,77.10,1630700
"Feb 10, 2020",77.21,78.31,76.73,78.20,77.30,1047600
"Feb 07, 2020",76.37,77.32,76.21,77.00,76.11,1195300
"Feb 06, 2020",77.42,77.61,76.22,76.29,75.41,1329500
"Feb 05, 2020",75.76,77.67,75.58,77.33,76.44,1695400
"Feb 04, 2020",77.94,77.94,75.08,75.47,74.60,2916500
"Feb 03, 2020",76.76,77.85,76.59,77.66,76.77,1315400
"Jan 31, 2020",76.55,77.39,76.31,76.55,75.67,2950500
"Jan 30, 2020",76.80,77.01,76.50,76.67,75.79,1318100
"Jan 29, 2020",76.78,77.22,76.54,76.98,76.09,1239600
"Jan 28, 2020",76.37,77.25,76.37,76.80,75.91,1587500
"Jan 27, 2020",76.97,77.38,76.02,76.21,75.33,1475700
"Jan 24, 2020",77.48,77.99,76.74,76.92,76.03,1535100
"Jan 23, 2020",76.94,77.84,76.84,77.69,76.79,1388000
"Jan 22, 2020",78.35,78.49,76.86,77.07,76.18,1503900
"Jan 21, 2020",77.10,78.26,77.04,78.20,77.30,1675000
"Jan 17, 2020",76.69,77.47,76.63,76.96,76.07,1626300
"Jan 16, 2020",76.89,77.00,76.30,76.56,75.68,1681200
"Jan 15, 2020",75.79,77.27,75.79,76.93,76.04,1983200
"Jan 14, 2020",75.29,75.66,74.62,75.03,74.17,2325800
"Jan 13, 2020",75.34,75.89,75.26,75.37,74.50,1243700
