Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",78.20,79.09,74.40,75.06,75.06,2394000
"Apr 02, 2020",74.53,79.89,74.53,79.29,79.29,3084200
"Apr 01, 2020",75.50,77.18,75.00,75.99,75.99,2425700
"Mar 31, 2020",82.55,82.74,78.04,78.21,78.21,2981600
"Mar 30, 2020",82.64,84.00,79.66,83.65,83.65,2672600
"Mar 27, 2020",76.43,83.63,75.42,80.96,80.96,1749800
"Mar 26, 2020",71.99,79.48,71.50,78.74,78.74,2771100
"Mar 25, 2020",70.24,74.55,68.01,71.90,71.90,2181000
"Mar 24, 2020",64.70,72.46,61.96,71.44,71.44,2697800
"Mar 23, 2020",67.69,67.89,60.69,62.23,62.23,3432000
"Mar 20, 2020",77.51,77.75,67.42,68.34,68.34,4340500
"Mar 19, 2020",86.72,86.72,75.46,77.05,77.05,3691500
"Mar 18, 2020",83.20,88.74,78.44,86.25,86.25,4556400
"Mar 17, 2020",78.63,90.16,78.63,87.21,87.21,5763000
"Mar 16, 2020",81.34,84.10,76.47,77.18,77.18,4690200
"Mar 13, 2020",85.89,88.69,81.43,88.53,88.53,4368900
"Mar 12, 2020",83.72,84.45,73.90,82.62,82.62,3492200
"Mar 11, 2020",89.23,89.59,86.26,87.79,87.79,2653800
"Mar 10, 2020",93.34,94.34,87.45,91.14,91.14,3524400
"Mar 09, 2020",91.40,94.59,90.00,92.56,92.56,3900000
"Mar 06, 2020",95.19,96.81,93.30,96.36,96.36,2262700
"Mar 05, 2020",97.25,98.92,96.44,97.44,97.44,1990400
"Mar 04, 2020",93.19,98.64,93.18,98.54,98.54,1989600
"Mar 03, 2020",93.03,95.09,91.60,92.40,92.40,2409300
"Mar 03, 2020",0.568 Dividend,0.568 Dividend,0.568 Dividend,0.568 Dividend,0.568 Dividend,0.568 Dividend
"Mar 02, 2020",86.61,93.71,86.61,93.62,93.05,3191500
"Feb 28, 2020",88.00,88.00,84.48,86.46,85.94,3405900
"Feb 27, 2020",93.41,93.93,89.46,89.52,88.98,2295200
"Feb 26, 2020",93.44,94.72,93.04,93.46,92.89,2277500
"Feb 25, 2020",95.31,96.17,93.09,93.38,92.81,2102400
"Feb 24, 2020",95.87,96.44,95.11,95.21,94.63,2160400
"Feb 21, 2020",95.72,97.24,95.46,95.96,95.38,2462300
"Feb 20, 2020",97.07,99.42,94.77,95.65,95.07,2063200
"Feb 19, 2020",94.84,94.93,94.30,94.30,93.73,1695000
"Feb 18, 2020",94.13,94.90,93.75,94.81,94.23,1628400
"Feb 14, 2020",92.79,93.81,92.79,93.66,93.09,1160300
"Feb 13, 2020",91.36,92.55,91.00,92.48,91.92,1426400
"Feb 12, 2020",90.78,91.68,90.62,91.26,90.71,1267100
"Feb 11, 2020",91.43,91.75,91.09,91.18,90.63,940800
"Feb 10, 2020",90.70,91.37,90.60,91.37,90.82,1246200
"Feb 07, 2020",91.11,91.23,90.42,90.58,90.03,1243900
"Feb 06, 2020",90.82,91.33,90.60,90.87,90.32,1286200
