Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",87.20,89.16,82.94,83.38,83.38,2375900
"Apr 02, 2020",83.45,89.65,82.81,88.20,88.20,2065000
"Apr 01, 2020",89.97,91.70,84.15,85.58,85.58,1530500
"Mar 31, 2020",98.71,100.04,93.31,93.97,93.97,2620300
"Mar 30, 2020",98.37,101.19,95.32,100.07,100.07,1826000
"Mar 27, 2020",92.76,100.60,92.40,97.34,97.34,1835600
"Mar 26, 2020",89.63,98.07,89.12,96.71,96.71,1672700
"Mar 25, 2020",86.06,92.99,83.77,88.96,88.96,1922000
"Mar 24, 2020",81.61,87.25,79.60,86.33,86.33,1860500
"Mar 23, 2020",78.96,82.50,75.19,78.18,78.18,2180200
"Mar 20, 2020",85.72,89.58,79.07,79.99,79.99,2493800
"Mar 19, 2020",85.60,88.16,77.59,84.05,84.05,2802100
"Mar 18, 2020",93.70,95.43,79.51,86.41,86.41,4108800
"Mar 17, 2020",88.71,99.85,87.39,99.62,99.62,3471000
"Mar 16, 2020",94.58,96.04,85.84,86.74,86.74,3435000
"Mar 13, 2020",106.64,107.28,96.62,102.93,102.93,2675200
"Mar 12, 2020",105.44,107.43,98.45,101.64,101.64,2872200
"Mar 11, 2020",116.36,116.61,109.53,111.62,111.62,1765400
"Mar 10, 2020",117.36,119.57,113.66,119.29,119.29,2819900
"Mar 09, 2020",118.18,118.92,114.01,115.40,115.40,3271700
"Mar 06, 2020",123.96,125.00,120.45,124.28,124.28,1877600
"Mar 05, 2020",126.05,128.16,124.43,127.46,127.46,2200000
"Mar 04, 2020",123.61,128.75,123.61,128.36,128.36,1506000
"Mar 03, 2020",124.48,126.74,121.09,121.89,121.89,1980000
"Mar 02, 2020",117.40,124.38,116.90,124.12,124.12,1957000
"Feb 28, 2020",118.78,118.78,113.89,116.91,116.91,2735500
"Feb 27, 2020",125.29,125.49,120.69,120.80,120.80,2554300
"Feb 26, 2020",126.26,127.22,125.60,125.65,125.65,1529900
"Feb 25, 2020",129.84,130.00,125.79,126.30,126.30,1599200
"Feb 24, 2020",129.77,131.08,129.27,129.74,129.74,1559600
"Feb 21, 2020",131.37,132.09,129.78,129.96,129.96,2846300
"Feb 20, 2020",133.02,133.08,130.84,131.45,131.45,1933700
"Feb 19, 2020",135.00,135.55,132.90,133.09,133.09,1633100
"Feb 18, 2020",134.71,135.46,133.85,134.78,134.78,1455200
"Feb 14, 2020",133.64,134.49,133.08,134.13,134.13,1639000
"Feb 13, 2020",131.67,133.50,131.18,133.24,133.24,738500
"Feb 12, 2020",131.28,132.19,130.56,131.56,131.56,915700
"Feb 12, 2020",0.93 Dividend,0.93 Dividend,0.93 Dividend,0.93 Dividend,0.93 Dividend,0.93 Dividend
"Feb 11, 2020",133.07,133.83,132.58,132.89,131.96,1035300
"Feb 10, 2020",132.14,132.93,131.70,132.89,131.96,696700
"Feb 07, 2020",131.80,132.57,131.70,131.94,131.02,1371600
"Feb 06, 2020",130.63,131.68,130.62,131.41,130.49,1127300
"Feb 05, 2020",130.37,131.50,130.08,130.56,129.65,1361300
"Feb 04, 2020",132.14,132.88,130.42,130.56,129.65,953600
"Feb 03, 2020",131.91,132.39,131.45,132.19,131.26,834400
"Jan 31, 2020",131.70,132.02,130.67,131.52,130.60,2408300
"Jan 30, 2020",130.50,131.79,130.02,131.72,130.80,769700
"Jan 29, 2020",130.13,130.75,129.42,130.55,129.64,885300
"Jan 28, 2020",129.63,130.26,128.71,129.99,129.08,1165400
"Jan 27, 2020",130.67,131.49,129.08,129.55,128.64,1134900
"Jan 24, 2020",129.80,131.19,129.78,130.73,129.82,875000
"Jan 23, 2020",127.90,130.03,127.57,129.95,129.04,1278300
"Jan 22, 2020",128.00,128.48,127.42,127.89,126.99,895900
"Jan 21, 2020",126.44,127.43,125.99,127.36,126.47,1110800
"Jan 17, 2020",125.09,126.43,124.92,126.31,125.43,1054100
"Jan 16, 2020",123.84,124.99,123.73,124.95,124.08,1130000
"Jan 15, 2020",122.05,123.92,121.83,123.74,122.87,1235400
"Jan 14, 2020",121.44,121.88,120.63,121.58,120.73,1127500
"Jan 13, 2020",120.59,122.18,120.59,121.52,120.67,1917500
"Jan 10, 2020",120.58,121.24,120.38,120.61,119.77,1058100
"Jan 09, 2020",118.86,120.29,118.56,120.26,119.42,819600
"Jan 08, 2020",119.56,119.59,118.69,118.96,118.13,867500
"Jan 07, 2020",118.63,119.59,118.30,119.13,118.30,1018900
"Jan 06, 2020",118.99,119.89,118.60,119.15,118.32,1527900
"Jan 03, 2020",117.71,118.84,117.41,118.73,117.90,1422900
"Jan 02, 2020",119.83,119.83,117.46,117.93,117.10,1453100
"Dec 31, 2019",119.34,119.85,118.97,119.80,118.96,1045400
"Dec 30, 2019",119.37,119.57,118.75,119.28,118.45,722100
"Dec 27, 2019",119.52,119.89,119.18,119.86,119.02,637300
"Dec 26, 2019",119.31,119.81,118.89,119.52,118.68,1339300
"Dec 24, 2019",119.12,119.66,118.60,119.44,118.60,667900
"Dec 23, 2019",120.05,120.35,118.32,118.57,117.74,2268400
"Dec 20, 2019",119.89,120.35,119.06,120.17,119.33,3620300
"Dec 19, 2019",119.42,120.03,119.01,119.51,118.67,927300
"Dec 18, 2019",119.02,119.78,118.26,119.66,118.82,2033900
"Dec 17, 2019",119.25,120.32,118.57,118.82,117.99,1729300
"Dec 16, 2019",117.60,119.12,117.18,119.12,118.29,2597500
"Dec 13, 2019",116.77,118.34,115.72,118.30,117.47,1944600
"Dec 12, 2019",117.95,118.15,116.48,116.92,116.10,1861300
"Dec 11, 2019",117.87,118.55,117.65,118.18,117.35,1636600
"Dec 10, 2019",118.18,118.33,117.32,117.67,116.85,1080400
"Dec 09, 2019",118.49,118.49,117.46,118.18,117.35,1445200
"Dec 06, 2019",118.03,118.72,117.69,118.09,117.26,869400
"Dec 05, 2019",117.92,118.50,117.59,118.42,117.59,1059400
"Dec 04, 2019",116.71,118.58,116.71,118.11,117.28,1560100
"Dec 03, 2019",116.80,117.70,116.22,116.92,116.10,1537900
"Dec 02, 2019",115.95,116.27,115.05,115.98,115.17,1813100
"Nov 29, 2019",116.82,117.31,115.94,116.39,115.58,750400
"Nov 27, 2019",116.55,117.16,116.16,116.92,116.10,746700
"Nov 26, 2019",115.52,116.50,115.18,116.47,115.65,2332300
"Nov 25, 2019",115.73,116.43,115.23,115.38,114.57,1171900
"Nov 22, 2019",116.23,116.47,115.25,115.72,114.91,1223200
"Nov 21, 2019",116.94,117.35,115.31,115.90,115.09,1995200
"Nov 20, 2019",116.38,117.10,116.00,117.06,116.24,1131900
"Nov 19, 2019",116.59,117.05,115.65,116.19,115.38,1116200
"Nov 18, 2019",117.00,118.11,116.71,116.89,116.07,1139500
"Nov 15, 2019",116.92,117.00,115.78,116.71,115.89,1308300
"Nov 14, 2019",117.67,118.36,116.78,116.89,116.07,1215200
"Nov 13, 2019",115.34,117.65,115.34,117.52,116.70,2318300
"Nov 12, 2019",114.31,114.99,113.85,114.86,114.06,1463100
