Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",34.19,34.45,32.39,32.75,32.75,6410400
"Apr 02, 2020",33.38,35.29,32.96,34.68,34.68,4312200
"Apr 01, 2020",35.20,35.78,32.94,33.48,33.48,5835500
"Mar 31, 2020",36.80,37.96,36.23,36.81,36.81,10587800
"Mar 30, 2020",35.69,37.48,35.50,37.23,37.23,7186100
"Mar 27, 2020",35.00,36.87,34.68,35.50,35.50,6617400
"Mar 26, 2020",34.57,36.99,34.26,36.59,36.59,6956200
"Mar 25, 2020",34.03,36.31,33.20,34.55,34.55,9018500
"Mar 24, 2020",31.46,34.57,31.36,34.51,34.51,11154300
"Mar 23, 2020",31.45,31.94,29.28,29.98,29.98,9696500
"Mar 20, 2020",32.67,33.48,30.82,31.00,31.00,8645000
"Mar 19, 2020",32.98,34.34,30.51,32.41,32.41,7480900
"Mar 18, 2020",33.85,34.73,30.92,33.04,33.04,9679700
"Mar 17, 2020",31.28,36.25,29.42,36.00,36.00,13613400
"Mar 16, 2020",33.17,35.59,29.78,30.51,30.51,8626600
"Mar 13, 2020",36.15,38.00,34.10,36.36,36.36,11414400
"Mar 12, 2020",37.50,38.23,34.42,35.27,35.27,13262300
"Mar 11, 2020",42.08,42.08,39.37,39.81,39.81,9142300
"Mar 10, 2020",42.68,43.68,40.88,43.12,43.12,13291200
"Mar 09, 2020",42.99,44.61,41.13,41.91,41.91,12448000
"Mar 06, 2020",44.01,45.37,43.56,45.17,45.17,9421600
"Mar 05, 2020",45.75,46.39,45.29,46.13,46.13,8488900
"Mar 04, 2020",44.61,46.87,44.51,46.82,46.82,8139800
"Mar 03, 2020",45.08,46.58,44.04,44.19,44.19,11652000
"Mar 02, 2020",43.19,45.44,42.90,45.43,45.43,9653800
"Feb 28, 2020",44.34,44.36,42.32,43.11,43.11,14879100
"Feb 27, 2020",47.11,47.14,45.12,45.14,45.14,8275200
"Feb 26, 2020",48.19,48.30,47.03,47.05,47.05,6901200
"Feb 25, 2020",48.77,48.88,47.51,47.63,47.63,7610200
"Feb 24, 2020",50.05,50.47,48.80,48.82,48.82,5989500
"Feb 21, 2020",49.84,50.04,49.65,49.72,49.72,7352300
"Feb 20, 2020",49.48,49.93,49.42,49.85,49.85,3745300
"Feb 19, 2020",49.83,50.04,49.40,49.60,49.60,4023500
"Feb 19, 2020",0.383 Dividend,0.383 Dividend,0.383 Dividend,0.383 Dividend,0.383 Dividend,0.383 Dividend
"Feb 18, 2020",49.92,50.54,49.65,50.38,50.00,5163100
"Feb 14, 2020",49.60,49.78,49.33,49.76,49.38,3643100
"Feb 13, 2020",49.45,49.70,49.21,49.57,49.19,5165500
"Feb 12, 2020",49.44,49.62,49.01,49.26,48.89,5279700
"Feb 11, 2020",48.31,49.47,48.31,49.34,48.96,6187400
"Feb 10, 2020",48.29,48.36,48.06,48.31,47.94,4227400
"Feb 07, 2020",48.37,48.58,48.15,48.19,47.82,4831400
"Feb 06, 2020",48.35,48.57,48.20,48.26,47.89,4162500
"Feb 05, 2020",48.01,48.44,47.82,48.33,47.96,5063000
"Feb 04, 2020",48.11,48.51,47.89,48.09,47.72,6091400
"Feb 03, 2020",47.68,48.30,47.60,48.20,47.83,6122900
"Jan 31, 2020",48.00,48.16,47.25,47.59,47.23,6880700
"Jan 30, 2020",47.62,48.15,47.40,48.06,47.69,5240500
"Jan 29, 2020",47.66,48.28,47.58,47.81,47.45,6525100
"Jan 28, 2020",47.26,47.91,47.23,47.73,47.37,5118500
"Jan 27, 2020",47.76,48.17,47.19,47.27,46.91,5451100
"Jan 24, 2020",47.85,48.17,47.55,47.73,47.37,4801200
"Jan 23, 2020",47.67,48.00,47.44,47.95,47.59,6076000
"Jan 22, 2020",47.57,47.91,47.50,47.66,47.30,8751200
"Jan 21, 2020",47.44,47.61,47.23,47.58,47.22,5097400
"Jan 17, 2020",46.96,47.47,46.73,47.39,47.03,7566300
"Jan 16, 2020",46.65,47.03,46.55,46.74,46.38,5763900
