Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",223.96,228.57,217.54,221.64,221.64,2188900
"Apr 02, 2020",215.00,229.54,214.14,226.45,226.45,2308600
"Apr 01, 2020",230.96,231.99,213.04,218.23,218.23,3422800
"Mar 31, 2020",242.11,247.90,239.16,240.62,240.62,4724800
"Mar 30, 2020",237.31,248.23,234.36,246.01,246.01,4093400
"Mar 27, 2020",225.48,240.32,223.39,231.95,231.95,4046100
"Mar 26, 2020",210.90,234.17,210.60,231.10,231.10,3663800
"Mar 25, 2020",205.68,220.25,195.07,210.27,210.27,4448600
"Mar 24, 2020",187.85,208.48,186.49,206.53,206.53,4475200
"Mar 23, 2020",186.67,188.57,174.80,181.66,181.66,5915400
"Mar 20, 2020",205.75,209.90,186.86,191.75,191.75,5620600
"Mar 19, 2020",210.01,221.63,200.54,207.10,207.10,4360300
"Mar 18, 2020",209.06,227.99,199.76,210.64,210.64,5549500
"Mar 17, 2020",205.46,227.47,204.00,221.76,221.76,5384500
"Mar 16, 2020",198.00,220.66,196.74,201.37,201.37,5060100
"Mar 13, 2020",220.05,221.99,196.36,221.56,221.56,7896600
"Mar 12, 2020",216.13,231.66,206.05,208.89,208.89,7917100
"Mar 11, 2020",249.20,249.22,238.56,241.26,241.26,4907800
"Mar 10, 2020",265.63,267.32,242.31,255.73,255.73,5935900
"Mar 09, 2020",254.46,266.32,254.46,261.28,261.28,3891100
"Mar 06, 2020",268.56,272.91,261.70,271.82,271.82,3639100
"Mar 05, 2020",277.05,279.86,272.44,276.16,276.16,3103000
"Mar 04, 2020",269.20,282.57,269.20,282.22,282.22,3678300
"Mar 03, 2020",269.09,274.30,262.89,265.15,265.15,3909000
"Mar 02, 2020",253.65,268.90,252.33,268.35,268.35,4826400
"Feb 28, 2020",248.15,253.91,243.08,252.76,252.76,6868700
"Feb 27, 2020",268.04,270.93,255.61,255.85,255.85,3651000
"Feb 27, 2020",1.4 Dividend,1.4 Dividend,1.4 Dividend,1.4 Dividend,1.4 Dividend,1.4 Dividend
"Feb 26, 2020",268.93,273.30,268.00,269.47,268.07,2387900
"Feb 25, 2020",273.94,275.90,269.80,270.33,268.93,2571400
"Feb 24, 2020",274.80,278.61,273.93,273.94,272.52,2272900
"Feb 21, 2020",277.53,278.76,276.07,277.59,276.15,2757700
"Feb 20, 2020",275.94,277.14,273.31,277.03,275.59,2682900
"Feb 19, 2020",275.02,277.12,274.55,274.67,273.24,5283700
"Feb 18, 2020",280.00,283.35,278.37,282.04,280.57,2447400
