Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",51.27,51.80,50.86,51.22,51.22,774500
"Apr 02, 2020",54.32,55.15,53.25,54.27,54.27,774200
"Apr 01, 2020",56.68,57.41,55.34,55.65,55.65,805600
"Mar 31, 2020",58.61,59.16,57.74,58.27,58.27,627700
"Mar 30, 2020",58.17,59.47,57.84,59.32,59.32,803700
"Mar 27, 2020",55.95,58.81,55.50,57.47,57.47,1013100
"Mar 26, 2020",53.59,57.50,53.51,57.14,57.14,815200
"Mar 25, 2020",50.50,54.51,50.31,53.20,53.20,1172800
"Mar 24, 2020",47.69,49.88,47.38,49.55,49.55,930300
"Mar 23, 2020",48.65,49.26,44.29,45.35,45.35,1707200
"Mar 20, 2020",52.54,53.91,49.51,49.65,49.65,1189300
"Mar 19, 2020",53.40,55.10,52.32,53.07,53.07,1247500
"Mar 18, 2020",54.30,56.88,53.54,54.52,54.52,1017700
"Mar 17, 2020",55.05,59.33,54.12,58.93,58.93,1613400
"Mar 16, 2020",51.79,53.53,50.91,51.43,51.43,1435000
"Mar 13, 2020",55.58,55.79,52.75,55.69,55.69,1335600
"Mar 12, 2020",55.74,55.74,53.01,53.85,53.85,1347500
"Mar 11, 2020",61.00,61.07,58.92,59.43,59.43,892300
"Mar 10, 2020",62.66,63.64,60.03,62.08,62.08,1302300
"Mar 09, 2020",63.79,64.56,62.20,62.99,62.99,699000
"Mar 06, 2020",65.93,66.68,65.37,66.55,66.55,632100
"Mar 05, 2020",66.93,68.08,66.91,67.59,67.59,701100
"Mar 04, 2020",66.42,67.91,66.06,67.91,67.91,1583900
"Mar 03, 2020",65.48,65.90,63.50,64.07,64.07,1826500
"Mar 02, 2020",62.90,65.09,62.77,64.73,64.73,1105000
"Feb 28, 2020",62.37,63.65,61.63,63.26,63.26,921300
"Feb 27, 2020",67.47,67.59,65.47,65.47,65.47,732000
"Feb 26, 2020",66.70,67.72,66.64,66.75,66.75,495500
"Feb 25, 2020",67.31,67.37,66.23,66.26,66.26,435300
"Feb 24, 2020",67.36,67.58,67.05,67.10,67.10,573400
"Feb 21, 2020",68.89,69.08,68.58,68.75,68.75,264800
"Feb 20, 2020",68.13,68.37,67.88,68.33,68.33,310600
"Feb 19, 2020",69.04,69.06,68.38,68.38,68.38,908600
"Feb 18, 2020",68.36,68.62,68.17,68.33,68.33,959700
"Feb 14, 2020",67.15,67.69,67.08,67.38,67.38,646600
"Feb 13, 2020",66.27,66.65,66.05,66.56,66.56,526500
"Feb 12, 2020",66.38,66.76,66.11,66.60,66.60,423800
"Feb 11, 2020",66.87,66.93,66.42,66.48,66.48,284500
"Feb 10, 2020",66.39,66.45,66.01,66.30,66.30,257800
"Feb 07, 2020",66.45,66.49,65.90,65.96,65.96,351600
"Feb 06, 2020",66.50,66.60,66.28,66.30,66.30,449000
"Feb 05, 2020",65.73,66.32,65.65,66.06,66.06,557900
"Feb 04, 2020",65.33,65.91,65.14,65.55,65.55,366000
"Feb 03, 2020",65.72,65.84,65.48,65.71,65.71,463400
"Jan 31, 2020",66.37,66.50,65.99,66.28,66.28,365800
"Jan 30, 2020",66.47,66.79,66.18,66.70,66.70,460300
"Jan 29, 2020",66.15,66.37,66.08,66.30,66.30,945000
"Jan 28, 2020",65.51,66.16,65.46,66.06,66.06,546200
"Jan 27, 2020",66.18,66.33,65.36,65.46,65.46,561500
"Jan 24, 2020",66.30,66.46,66.07,66.29,66.29,654600
"Jan 23, 2020",64.93,65.41,64.69,65.33,65.33,926000
"Jan 22, 2020",65.03,65.33,64.88,64.98,64.98,637400
"Jan 21, 2020",64.10,64.41,63.90,64.29,64.29,759800
