Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 02, 2020",100.00,100.00,99.00,99.00,99.00,55
"Apr 01, 2020",97.00,99.96,97.00,99.96,99.96,138
"Mar 31, 2020",98.44,98.44,98.44,98.44,98.44,-
"Mar 30, 2020",98.44,98.44,98.44,98.44,98.44,-
"Mar 27, 2020",100.00,100.00,98.44,98.44,98.44,50
"Mar 26, 2020",99.00,99.96,98.50,99.10,99.10,810
"Mar 25, 2020",99.00,99.00,99.00,99.00,99.00,-
"Mar 24, 2020",99.00,99.00,99.00,99.00,99.00,41
"Mar 23, 2020",98.23,98.23,98.23,98.23,98.23,45
"Mar 20, 2020",99.00,99.00,99.00,99.00,99.00,30
"Mar 19, 2020",96.00,97.89,96.00,97.73,97.73,44
"Mar 18, 2020",95.00,95.48,95.00,95.45,95.45,261
"Mar 17, 2020",94.75,94.75,94.75,94.75,94.75,-
"Mar 16, 2020",96.00,96.29,94.00,94.75,94.75,76
"Mar 16, 2020",0.975 Dividend,0.975 Dividend,0.975 Dividend,0.975 Dividend,0.975 Dividend,0.975 Dividend
"Mar 13, 2020",97.00,97.00,97.00,97.00,96.03,-
"Mar 12, 2020",97.00,97.00,97.00,97.00,96.03,-
"Mar 11, 2020",97.25,97.91,97.00,97.00,96.03,75
"Mar 10, 2020",99.50,99.50,99.50,99.50,98.50,-
"Mar 09, 2020",99.50,99.50,99.50,99.50,98.50,-
"Mar 06, 2020",99.50,99.50,99.50,99.50,98.50,-
"Mar 05, 2020",99.50,99.50,99.50,99.50,98.50,-
"Mar 04, 2020",99.50,99.50,99.50,99.50,98.50,12
"Mar 03, 2020",99.31,99.31,99.31,99.31,98.31,50
"Mar 02, 2020",97.50,97.50,97.50,97.50,96.52,-
"Feb 28, 2020",97.55,97.55,97.50,97.50,96.52,40
"Feb 27, 2020",98.50,98.70,97.69,97.69,96.71,168
"Feb 26, 2020",99.00,99.00,99.00,99.00,98.00,-
"Feb 25, 2020",99.00,99.50,99.00,99.00,98.00,30
"Feb 24, 2020",99.75,99.75,99.75,99.75,98.75,50
"Feb 21, 2020",99.75,99.75,99.75,99.75,98.75,-
"Feb 20, 2020",99.75,99.75,99.75,99.75,98.75,-
"Feb 19, 2020",99.75,99.75,99.75,99.75,98.75,-
"Feb 18, 2020",99.75,99.75,99.75,99.75,98.75,-
"Feb 14, 2020",99.50,99.77,99.50,99.75,98.75,139
"Feb 13, 2020",101.00,101.00,100.00,100.00,98.99,341
"Feb 12, 2020",104.17,104.68,101.00,101.19,100.18,362
"Feb 11, 2020",104.50,104.50,104.50,104.50,103.45,-
"Feb 10, 2020",104.50,104.50,104.50,104.50,103.45,-
"Feb 07, 2020",104.50,104.50,104.50,104.50,103.45,-
"Feb 06, 2020",104.50,104.50,104.50,104.50,103.45,-
"Feb 05, 2020",104.50,104.50,104.50,104.50,103.45,50
"Feb 04, 2020",104.00,104.00,104.00,104.00,102.95,-
"Feb 03, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 31, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 30, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 29, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 28, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 27, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 24, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 23, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 22, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 21, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 17, 2020",104.00,104.00,104.00,104.00,102.95,-
"Jan 16, 2020",104.00,104.00,104.00,104.00,102.95,100
"Jan 15, 2020",100.25,100.25,100.25,100.25,99.24,-
"Jan 14, 2020",100.25,100.25,100.25,100.25,99.24,-
"Jan 13, 2020",100.25,100.25,100.25,100.25,99.24,-
"Jan 10, 2020",100.25,100.25,100.25,100.25,99.24,110
"Jan 09, 2020",100.86,100.86,100.86,100.86,99.85,100
"Jan 08, 2020",100.80,100.80,100.80,100.80,99.79,-
"Jan 07, 2020",101.86,101.86,99.30,100.80,99.79,1
"Jan 06, 2020",106.11,106.11,106.11,106.11,105.04,-
"Jan 03, 2020",106.11,106.11,106.11,106.11,105.04,-
"Jan 02, 2020",106.11,106.11,106.11,106.11,105.04,-
"Dec 31, 2019",106.11,106.11,106.11,106.11,105.04,-
"Dec 30, 2019",106.11,106.11,106.11,106.11,105.04,-
"Dec 27, 2019",106.11,106.14,106.11,106.11,105.04,308
"Dec 26, 2019",106.00,106.00,106.00,106.00,104.93,-
"Dec 24, 2019",106.00,106.00,106.00,106.00,104.93,-
"Dec 23, 2019",106.00,106.00,106.00,106.00,104.93,-
"Dec 20, 2019",106.00,106.00,106.00,106.00,104.93,57
"Dec 19, 2019",104.11,108.00,104.11,108.00,106.91,171
"Dec 18, 2019",101.02,101.02,101.02,101.02,100.00,-
"Dec 17, 2019",101.02,101.02,101.02,101.02,100.00,-
"Dec 16, 2019",97.60,101.02,97.60,101.02,100.00,147
"Dec 16, 2019",0.975 Dividend,0.975 Dividend,0.975 Dividend,0.975 Dividend,0.975 Dividend,0.975 Dividend
"Dec 13, 2019",101.50,101.50,101.50,101.50,99.51,-
"Dec 12, 2019",101.16,101.50,101.00,101.50,99.51,520
"Dec 11, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 10, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 09, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 06, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 05, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 04, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 03, 2019",99.60,99.60,99.60,99.60,97.66,-
"Dec 02, 2019",99.60,99.60,99.60,99.60,97.66,22
"Nov 29, 2019",101.26,101.26,101.26,101.26,99.28,-
"Nov 27, 2019",101.26,101.26,101.26,101.26,99.28,-
"Nov 26, 2019",101.26,101.26,101.26,101.26,99.28,-
"Nov 25, 2019",101.26,101.26,101.26,101.26,99.28,-
"Nov 22, 2019",101.26,101.29,101.26,101.26,99.28,210
"Nov 21, 2019",101.50,101.50,101.50,101.50,99.51,58
"Nov 20, 2019",104.11,104.11,104.11,104.11,102.07,-
"Nov 19, 2019",104.11,104.11,104.11,104.11,102.07,-
"Nov 18, 2019",104.11,104.11,104.11,104.11,102.07,-
"Nov 15, 2019",104.11,104.11,104.11,104.11,102.07,-
"Nov 14, 2019",104.11,104.11,104.11,104.11,102.07,-
"Nov 13, 2019",104.11,104.11,104.11,104.11,102.07,-
"Nov 12, 2019",104.11,104.11,104.11,104.11,102.07,-
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
