Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",44.84,45.82,43.93,44.36,44.36,4001000
"Apr 02, 2020",42.34,45.54,42.19,45.28,45.28,5214800
"Apr 01, 2020",43.05,43.44,41.63,42.79,42.79,3904400
"Mar 31, 2020",44.17,45.84,43.76,44.91,44.91,6465800
"Mar 30, 2020",44.97,45.43,43.46,44.51,44.51,5166300
"Mar 27, 2020",42.45,45.91,42.40,44.48,44.48,3651700
"Mar 26, 2020",41.07,44.32,40.49,44.01,44.01,3358100
"Mar 25, 2020",40.69,43.34,39.57,40.89,40.89,4929600
"Mar 24, 2020",38.52,41.20,38.27,40.78,40.78,3875000
"Mar 23, 2020",37.27,38.11,34.75,36.86,36.86,5522700
"Mar 20, 2020",39.14,40.38,37.51,37.82,37.82,6740100
"Mar 19, 2020",38.18,40.70,36.23,39.14,39.14,5351800
"Mar 18, 2020",40.66,41.27,36.64,38.26,38.26,5646300
"Mar 17, 2020",41.22,43.34,40.20,43.08,43.08,7256000
"Mar 16, 2020",40.80,44.89,39.56,40.28,40.28,5742000
"Mar 13, 2020",46.92,47.16,42.23,44.14,44.14,7933100
"Mar 12, 2020",46.11,51.08,44.25,44.59,44.59,7155800
"Mar 11, 2020",51.60,51.65,48.15,48.75,48.75,5177400
"Mar 10, 2020",51.71,53.00,50.39,52.94,52.94,5151400
"Mar 09, 2020",51.26,52.51,49.89,50.76,50.76,4713600
"Mar 09, 2020",0.49 Dividend,0.49 Dividend,0.49 Dividend,0.49 Dividend,0.49 Dividend,0.49 Dividend
"Mar 06, 2020",52.55,55.04,51.56,54.73,54.24,5261100
"Mar 05, 2020",54.63,55.16,53.42,53.99,53.51,3736900
"Mar 04, 2020",53.63,55.61,53.50,55.59,55.09,2751400
"Mar 03, 2020",53.72,55.27,52.90,53.05,52.58,5192500
"Mar 02, 2020",51.35,53.76,51.27,53.71,53.23,4264100
"Feb 28, 2020",51.90,52.15,50.14,51.31,50.85,6031800
"Feb 27, 2020",55.50,55.60,52.86,52.87,52.40,5723000
"Feb 26, 2020",58.70,59.00,55.52,55.57,55.07,3943100
"Feb 25, 2020",59.07,59.15,57.41,57.41,56.90,3657800
"Feb 24, 2020",59.71,60.16,59.10,59.11,58.58,3336200
"Feb 21, 2020",59.00,60.14,58.92,59.96,59.42,4165300
"Feb 20, 2020",58.83,59.29,58.73,59.18,58.65,3453300
"Feb 19, 2020",59.00,59.05,58.72,58.90,58.37,2226500
"Feb 18, 2020",58.66,59.16,58.50,59.02,58.49,3242500
"Feb 14, 2020",58.55,58.68,58.33,58.48,57.96,2229000
"Feb 13, 2020",58.18,58.57,58.06,58.36,57.84,2190200
"Feb 12, 2020",57.77,58.49,57.77,58.21,57.69,1876800
"Feb 11, 2020",57.65,58.25,57.57,57.82,57.30,2396200
"Feb 10, 2020",57.75,58.11,57.17,57.44,56.93,2217300
"Feb 07, 2020",58.53,58.61,57.66,57.70,57.18,2728300
"Feb 06, 2020",59.33,59.60,58.21,58.33,57.81,2771100
"Feb 05, 2020",58.99,59.83,58.80,59.28,58.75,2582700
"Feb 04, 2020",59.41,59.64,58.97,59.07,58.54,1952800
"Feb 03, 2020",59.44,59.70,59.14,59.33,58.80,1778200
"Jan 31, 2020",59.79,59.99,58.84,59.20,58.67,3023100
"Jan 30, 2020",60.21,60.40,59.60,60.00,59.46,3091900
"Jan 29, 2020",59.76,60.20,59.75,60.10,59.56,1830100
"Jan 28, 2020",60.47,60.57,59.56,59.67,59.14,3555300
"Jan 27, 2020",61.67,61.86,60.30,60.42,59.88,2514600
"Jan 24, 2020",61.65,62.13,61.44,61.66,61.11,2549500
"Jan 23, 2020",60.26,61.78,60.20,61.74,61.19,3560600
"Jan 22, 2020",59.75,60.63,59.57,60.30,59.76,4059000
"Jan 21, 2020",59.13,59.62,58.84,59.55,59.02,2894600
"Jan 17, 2020",58.91,59.18,58.54,59.16,58.63,2976800
"Jan 16, 2020",59.17,59.28,58.97,59.02,58.49,2255300
"Jan 15, 2020",58.59,59.20,58.54,59.09,58.56,1528600
"Jan 14, 2020",58.24,58.41,57.99,58.38,57.86,2290500
"Jan 13, 2020",58.24,58.44,58.15,58.25,57.73,1484900
"Jan 10, 2020",58.48,58.85,58.26,58.30,57.78,1499400
"Jan 09, 2020",57.99,58.45,57.86,58.42,57.90,2081300
"Jan 08, 2020",57.71,58.09,57.67,57.96,57.44,3250900
"Jan 07, 2020",57.94,58.00,57.38,57.60,57.08,4094400
