Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",22.72,22.98,21.40,21.77,21.77,7588900
"Apr 02, 2020",22.40,23.55,22.35,22.97,22.97,6068100
"Apr 01, 2020",23.73,23.94,22.38,22.90,22.90,6263200
"Mar 31, 2020",25.60,25.84,24.56,24.68,24.68,5682900
"Mar 30, 2020",25.65,25.96,24.77,25.83,25.83,6449900
"Mar 27, 2020",23.83,26.00,23.80,25.42,25.42,6977500
"Mar 26, 2020",22.66,24.99,22.35,24.67,24.67,8470200
"Mar 25, 2020",21.30,23.41,21.20,22.23,22.23,8497900
"Mar 24, 2020",19.74,21.34,19.45,21.24,21.24,9848800
"Mar 23, 2020",19.53,19.90,18.12,18.59,18.59,12818600
"Mar 20, 2020",22.13,22.98,19.56,19.67,19.67,15117700
"Mar 19, 2020",22.53,22.98,20.55,21.59,21.59,7016700
"Mar 18, 2020",24.06,24.28,21.12,22.81,22.81,9380900
"Mar 17, 2020",24.25,25.76,23.00,25.55,25.55,10047800
"Mar 16, 2020",25.00,25.69,23.47,23.66,23.66,10176800
"Mar 13, 2020",27.80,28.12,25.18,27.42,27.42,10610100
"Mar 12, 2020",27.64,28.60,26.30,26.63,26.63,8893100
"Mar 11, 2020",29.57,29.57,28.80,29.25,29.25,8794500
"Mar 10, 2020",29.70,30.17,28.51,29.83,29.83,8955100
"Mar 09, 2020",29.70,30.38,28.62,29.11,29.11,8590500
"Mar 09, 2020",0.415 Dividend,0.415 Dividend,0.415 Dividend,0.415 Dividend,0.415 Dividend,0.415 Dividend
"Mar 06, 2020",30.83,31.71,30.41,31.51,31.09,8122100
"Mar 05, 2020",31.95,31.95,31.28,31.68,31.26,6269100
"Mar 04, 2020",31.34,32.20,31.32,32.18,31.76,5742700
"Mar 03, 2020",31.88,32.59,30.92,31.04,30.63,8267000
"Mar 02, 2020",30.31,31.83,30.22,31.81,31.39,9559000
"Feb 28, 2020",30.43,30.76,29.59,30.01,29.61,21535700
"Feb 27, 2020",33.02,33.15,30.99,30.99,30.58,10721500
"Feb 26, 2020",34.55,34.59,33.22,33.24,32.80,7950900
"Feb 25, 2020",35.16,35.27,34.55,34.57,34.11,4924300
"Feb 24, 2020",35.45,35.61,35.09,35.12,34.66,5466800
"Feb 21, 2020",35.45,35.85,35.23,35.62,35.15,4901100
"Feb 20, 2020",35.10,35.49,34.98,35.41,34.94,4594600
"Feb 19, 2020",35.91,35.91,35.10,35.10,34.64,4390600
"Feb 18, 2020",35.42,35.91,35.22,35.91,35.44,7968900
"Feb 14, 2020",36.37,36.41,34.97,35.37,34.90,8121000
"Feb 13, 2020",36.23,36.42,36.10,36.28,35.80,3251400
"Feb 12, 2020",36.17,36.44,36.12,36.28,35.80,2643900
"Feb 11, 2020",36.23,36.41,36.09,36.17,35.69,3845000
"Feb 10, 2020",36.08,36.16,35.95,36.12,35.64,2824800
"Feb 07, 2020",36.06,36.17,35.83,36.02,35.55,3241300
"Feb 06, 2020",36.46,36.60,36.08,36.08,35.60,2665600
"Feb 05, 2020",36.08,36.48,36.06,36.42,35.94,3704600
"Feb 04, 2020",36.30,36.62,36.04,36.06,35.59,3999300
"Feb 03, 2020",36.26,36.41,35.99,36.25,35.77,5398200
"Jan 31, 2020",36.40,36.55,36.02,36.19,35.71,6017900
"Jan 30, 2020",36.68,36.71,36.11,36.47,35.99,5710400
