Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",51.59,52.82,49.94,50.27,50.27,6180300
"Apr 02, 2020",49.41,52.85,49.31,52.40,52.40,5471100
"Apr 01, 2020",51.90,52.43,49.26,50.14,50.14,6932900
"Mar 31, 2020",57.00,57.29,53.59,54.14,54.14,9803300
"Mar 30, 2020",56.72,58.37,56.26,57.99,57.99,7222600
"Mar 27, 2020",53.22,58.26,53.00,56.01,56.01,10065000
"Mar 26, 2020",50.00,55.80,49.90,55.14,55.14,8647300
"Mar 25, 2020",48.91,52.00,47.22,50.14,50.14,8206500
"Mar 24, 2020",45.57,49.39,44.71,49.04,49.04,8055000
"Mar 23, 2020",45.68,45.84,41.96,43.23,43.23,10346000
"Mar 20, 2020",51.01,51.22,46.15,46.36,46.36,11839200
"Mar 19, 2020",55.92,56.02,50.51,50.90,50.90,6855400
"Mar 18, 2020",53.01,56.15,50.54,55.92,55.92,8141700
"Mar 17, 2020",49.01,56.58,48.93,56.56,56.56,10298100
"Mar 16, 2020",48.92,52.63,47.33,47.62,47.62,10451100
"Mar 13, 2020",55.12,55.19,51.00,53.97,53.97,9862400
"Mar 12, 2020",53.82,56.68,50.03,52.19,52.19,10790400
"Mar 11, 2020",60.44,60.74,57.09,58.18,58.18,7726600
"Mar 10, 2020",63.09,63.38,58.97,62.02,62.02,10316600
"Mar 09, 2020",62.86,65.11,61.70,62.16,62.16,8520000
"Mar 06, 2020",65.51,67.16,63.50,66.87,66.87,9790800
"Mar 05, 2020",67.00,68.56,66.31,67.57,67.57,7867000
"Mar 04, 2020",64.64,67.84,64.63,67.80,67.80,6517200
"Mar 03, 2020",64.73,66.00,63.61,63.90,63.90,9656500
"Mar 02, 2020",60.66,64.15,60.27,63.93,63.93,7744600
"Feb 28, 2020",61.70,61.86,59.07,60.36,60.36,15575400
"Feb 27, 2020",65.78,66.28,62.87,62.88,62.88,8529100
"Feb 26, 2020",66.78,67.55,66.15,66.19,66.19,5026400
"Feb 25, 2020",67.90,68.13,66.59,66.86,66.86,5246600
"Feb 24, 2020",68.74,69.47,67.70,67.80,67.80,5644300
"Feb 21, 2020",69.63,70.37,68.96,68.99,68.99,5386400
"Feb 20, 2020",67.55,69.92,67.53,69.81,69.81,5046500
"Feb 19, 2020",69.38,69.43,68.60,68.61,68.61,4894000
"Feb 18, 2020",69.17,69.55,69.15,69.40,69.40,5167500
"Feb 14, 2020",69.12,69.23,68.76,69.02,69.02,5032000
"Feb 14, 2020",0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend
"Feb 13, 2020",68.60,69.67,68.54,69.54,68.92,4513500
"Feb 12, 2020",68.34,68.90,68.17,68.62,68.01,3545000
"Feb 11, 2020",68.57,68.78,68.27,68.59,67.98,3341900
"Feb 10, 2020",68.54,68.60,68.09,68.44,67.83,3659800
"Feb 07, 2020",69.03,69.14,68.31,68.38,67.77,3732400
"Feb 06, 2020",68.75,69.43,68.56,68.84,68.23,5625700
"Feb 05, 2020",69.40,69.55,68.60,69.03,68.41,6441600
"Feb 04, 2020",70.45,70.76,69.41,69.54,68.92,5504400
"Feb 03, 2020",70.67,70.78,70.19,70.70,70.07,3144600
"Jan 31, 2020",70.86,71.10,70.11,70.40,69.77,5469000
"Jan 30, 2020",70.06,70.90,69.73,70.85,70.22,3755400
"Jan 29, 2020",70.05,70.33,69.65,70.10,69.48,3252100
"Jan 28, 2020",69.75,70.44,69.52,70.05,69.43,4714600
"Jan 27, 2020",69.41,70.07,69.34,69.74,69.12,4412300
"Jan 24, 2020",69.00,69.52,68.86,69.44,68.82,5048900
"Jan 23, 2020",67.97,68.99,67.90,68.96,68.35,3481200
"Jan 22, 2020",68.25,68.58,68.13,68.30,67.69,3369800
"Jan 21, 2020",67.34,68.30,67.26,68.12,67.51,4546600
"Jan 17, 2020",66.34,67.33,66.22,67.26,66.66,6072600
"Jan 16, 2020",65.69,66.19,65.61,66.15,65.56,3145900
"Jan 15, 2020",65.00,65.70,64.93,65.58,65.00,3772400
"Jan 14, 2020",64.55,64.92,64.41,64.92,64.34,5153300
"Jan 13, 2020",63.75,64.82,63.71,64.54,63.96,5262100
"Jan 10, 2020",63.42,63.81,63.31,63.66,63.09,4427800
"Jan 09, 2020",62.70,63.28,62.55,63.26,62.70,3114700
"Jan 08, 2020",62.70,62.84,62.38,62.60,62.04,3413600
"Jan 07, 2020",62.56,62.73,62.24,62.62,62.06,3191700
"Jan 06, 2020",62.56,63.00,62.51,62.81,62.25,3507600
"Jan 03, 2020",62.53,62.91,62.43,62.56,62.00,3531800
"Jan 02, 2020",63.65,63.67,62.42,62.62,62.06,4675900
"Dec 31, 2019",63.31,63.72,63.18,63.70,63.13,3767500
"Dec 30, 2019",63.24,63.41,62.93,63.34,62.78,2772700
"Dec 27, 2019",63.05,63.48,62.99,63.46,62.89,2432000
"Dec 26, 2019",63.09,63.24,62.90,63.17,62.61,2361000
"Dec 24, 2019",63.27,63.29,62.96,63.13,62.57,1962500
"Dec 23, 2019",63.76,63.95,63.14,63.26,62.70,3678000
"Dec 20, 2019",63.75,64.15,63.32,63.86,63.29,11392300
"Dec 19, 2019",63.59,63.63,62.39,63.07,62.51,8192100
"Dec 18, 2019",63.57,63.87,63.18,63.63,63.06,6382800
"Dec 17, 2019",62.40,64.26,62.33,63.70,63.13,10599000
"Dec 16, 2019",60.99,62.32,60.98,62.27,61.71,7574900
"Dec 13, 2019",60.65,61.18,60.44,60.76,60.22,5158600
"Dec 12, 2019",60.50,61.05,60.27,60.71,60.17,6446500
"Dec 11, 2019",60.65,61.00,60.34,60.69,60.15,5796500
"Dec 10, 2019",61.44,61.44,60.09,60.33,59.79,7917500
"Dec 09, 2019",62.14,62.27,61.32,61.44,60.89,4310500
"Dec 06, 2019",62.72,62.84,62.10,62.14,61.59,3520600
"Dec 05, 2019",62.54,62.84,62.37,62.76,62.20,3217000
"Dec 04, 2019",62.31,62.95,62.25,62.69,62.13,5336100
"Dec 03, 2019",62.08,62.40,61.75,62.37,61.81,4746300
"Dec 02, 2019",61.84,62.01,61.35,61.60,61.05,4334100
"Nov 29, 2019",62.51,62.89,61.99,61.99,61.44,1863800
"Nov 27, 2019",62.31,62.45,61.90,62.31,61.75,3532000
"Nov 26, 2019",62.34,62.39,61.99,62.25,61.69,8201000
"Nov 25, 2019",62.89,63.29,62.04,62.18,61.63,6383700
"Nov 22, 2019",62.88,63.02,62.36,62.89,62.33,3629200
"Nov 21, 2019",62.83,62.93,62.51,62.68,62.12,2776700
"Nov 20, 2019",62.20,62.83,62.12,62.78,62.22,3057800
"Nov 19, 2019",61.95,62.61,61.78,62.21,61.66,3639200
"Nov 18, 2019",62.26,63.08,62.26,62.48,61.92,4968300
"Nov 15, 2019",61.84,62.20,61.75,62.20,61.65,5433400
"Nov 15, 2019",0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend
"Nov 14, 2019",62.26,62.70,61.94,62.39,61.22,5399800
"Nov 13, 2019",60.86,62.13,60.86,61.91,60.75,4965900
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
