Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",88.95,91.94,88.95,89.05,89.05,107518
"Apr 02, 2020",90.51,90.82,87.55,90.32,90.32,71125
"Apr 01, 2020",91.24,93.27,87.50,88.90,88.90,122198
"Mar 31, 2020",99.28,99.28,92.52,92.52,92.52,295441
"Mar 31, 2020",1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend
"Mar 30, 2020",100.89,102.23,100.00,101.54,100.04,87680
"Mar 27, 2020",97.26,104.40,97.26,104.40,102.86,38480
"Mar 26, 2020",95.82,104.57,95.82,104.01,102.47,34780
"Mar 25, 2020",91.39,100.39,90.10,96.07,94.65,573489
"Mar 24, 2020",84.57,89.60,84.57,89.59,88.27,232991
"Mar 23, 2020",87.06,87.06,78.47,80.02,78.84,73519
"Mar 20, 2020",84.00,90.03,83.23,87.14,85.85,282426
"Mar 19, 2020",83.48,84.56,81.83,83.84,82.60,453901
"Mar 18, 2020",79.38,87.10,77.34,86.55,85.27,86088
"Mar 17, 2020",78.31,86.17,78.31,82.00,80.79,652952
"Mar 16, 2020",89.00,89.00,77.20,77.40,76.26,313753
"Mar 13, 2020",93.42,93.42,85.04,89.50,88.18,37258
"Mar 12, 2020",96.79,96.79,87.94,89.75,88.42,194630
"Mar 11, 2020",104.74,105.72,99.91,100.71,99.22,24391
"Mar 10, 2020",107.98,109.19,102.46,106.68,105.10,924499
"Mar 09, 2020",109.96,110.38,105.26,105.54,103.98,181378
"Mar 06, 2020",112.99,114.55,111.36,114.41,112.72,101501
"Mar 05, 2020",115.71,116.20,113.85,114.29,112.60,275374
"Mar 04, 2020",115.75,117.95,115.75,117.95,116.21,123522
"Mar 03, 2020",114.18,116.45,113.02,113.23,111.56,138326
"Mar 02, 2020",112.00,114.88,112.00,113.88,112.20,35333
"Feb 28, 2020",111.90,113.02,109.72,112.03,110.38,220884
"Feb 27, 2020",117.99,118.55,113.75,113.92,112.24,132863
"Feb 26, 2020",118.74,119.50,116.96,117.25,115.52,241298
"Feb 25, 2020",122.00,122.00,118.87,118.95,117.19,213886
"Feb 24, 2020",124.31,124.31,122.06,122.06,120.26,264261
"Feb 21, 2020",126.26,126.26,125.24,125.24,123.39,15425
"Feb 20, 2020",125.75,126.27,125.55,126.06,124.20,136372
"Feb 19, 2020",126.59,126.81,125.87,125.87,124.01,112183
"Feb 18, 2020",127.01,127.23,126.57,126.57,124.71,52270
"Feb 14, 2020",125.05,126.81,125.05,126.81,124.94,5256
"Feb 13, 2020",125.64,125.64,125.05,125.48,123.63,28473
"Feb 12, 2020",125.25,125.53,125.25,125.53,123.68,1332
"Feb 11, 2020",125.65,125.65,125.22,125.22,123.37,14059
"Feb 10, 2020",124.89,124.89,124.65,124.77,122.93,7195
"Feb 07, 2020",125.60,125.67,125.12,125.12,123.27,140215
"Feb 06, 2020",125.73,126.89,125.73,126.39,124.52,11787
"Feb 05, 2020",125.64,126.18,125.36,125.36,123.51,6282
"Feb 04, 2020",126.88,127.14,125.41,125.41,123.56,98485
"Feb 03, 2020",127.16,127.16,126.65,127.07,125.19,4359
"Jan 31, 2020",126.62,126.71,125.80,126.61,124.74,151527
"Jan 30, 2020",125.48,126.65,125.12,126.61,124.74,6858
"Jan 29, 2020",125.20,125.29,124.99,124.99,123.14,33663
"Jan 28, 2020",125.70,125.70,125.15,125.61,123.75,4257
"Jan 27, 2020",125.28,125.28,124.67,125.09,123.24,88815
"Jan 24, 2020",126.22,126.22,125.41,125.59,123.73,36217
"Jan 23, 2020",125.13,126.11,124.36,125.94,124.08,121728
"Jan 22, 2020",125.07,125.07,124.47,124.47,122.63,15996
"Jan 21, 2020",123.71,124.53,123.70,124.44,122.60,138989
"Jan 17, 2020",122.85,124.18,122.85,123.90,122.07,43294
"Jan 16, 2020",122.30,123.15,122.30,122.67,120.86,3215
"Jan 15, 2020",120.93,122.09,120.85,121.80,120.00,28214
"Jan 14, 2020",120.41,120.41,119.47,120.13,118.36,8883
"Jan 13, 2020",119.71,120.45,119.71,120.00,118.22,21249
"Jan 10, 2020",118.52,119.51,118.52,119.16,117.40,34962
"Jan 09, 2020",119.10,119.49,118.62,118.62,116.87,30578
"Jan 08, 2020",118.73,119.60,118.66,119.30,117.54,85855
"Jan 07, 2020",118.17,118.54,117.86,118.50,116.75,5897
"Jan 06, 2020",118.19,118.66,118.02,118.63,116.88,11339
"Jan 03, 2020",118.62,118.78,117.80,117.86,116.12,7263
"Jan 02, 2020",119.90,119.90,118.39,118.64,116.89,9436
"Dec 31, 2019",119.81,120.12,119.67,120.02,118.25,23903
"Dec 30, 2019",119.79,119.81,119.64,119.81,118.04,3293
"Dec 30, 2019",1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend,1.5 Dividend
"Dec 27, 2019",120.92,121.25,120.92,121.23,117.96,12215
"Dec 26, 2019",120.88,121.26,120.78,121.26,117.99,15257
"Dec 24, 2019",120.39,120.60,120.39,120.50,117.25,2611
"Dec 23, 2019",121.64,121.64,120.31,120.33,117.09,3604
"Dec 20, 2019",121.15,121.39,120.99,121.09,117.83,75371
"Dec 19, 2019",121.16,121.42,120.93,121.31,118.04,65798
"Dec 18, 2019",120.21,121.11,120.21,121.11,117.84,97954
"Dec 17, 2019",120.77,120.78,120.16,120.17,116.93,434219
"Dec 16, 2019",119.41,120.45,119.21,120.30,117.06,60275
"Dec 13, 2019",117.84,119.19,117.74,119.19,115.98,74114
"Dec 12, 2019",118.83,118.85,117.85,117.98,114.80,176861
"Dec 11, 2019",118.47,118.48,118.45,118.48,115.29,80642
"Dec 10, 2019",117.70,118.31,117.70,118.19,115.00,91314
"Dec 09, 2019",117.38,117.38,116.88,117.09,113.93,34807
"Dec 06, 2019",117.96,118.35,117.53,117.64,114.47,103956
"Dec 05, 2019",117.82,118.25,117.82,118.21,115.02,11407
"Dec 04, 2019",118.23,118.49,117.95,118.48,115.29,42941
"Dec 03, 2019",117.91,118.48,117.91,118.42,115.23,8912
"Dec 02, 2019",116.75,117.81,116.60,117.81,114.63,6254
"Nov 29, 2019",118.72,118.72,117.91,117.91,114.73,59373
"Nov 27, 2019",118.18,118.46,117.78,118.40,115.21,23776
"Nov 26, 2019",117.86,118.02,117.56,117.88,114.70,154721
"Nov 25, 2019",117.64,117.94,117.34,117.52,114.35,28574
"Nov 22, 2019",117.56,118.21,117.56,117.72,114.55,23714
"Nov 21, 2019",118.18,118.18,117.84,117.84,114.66,4968
"Nov 20, 2019",118.00,118.56,118.00,118.48,115.29,2598
"Nov 19, 2019",118.39,118.50,118.05,118.26,115.07,7665
