Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",90.48,90.81,88.55,88.55,88.55,107224
"Apr 02, 2020",89.97,89.97,87.20,88.50,88.50,8142
"Apr 01, 2020",91.90,93.00,87.05,87.77,87.77,40827
"Mar 31, 2020",94.71,95.56,93.93,93.93,93.93,252179
"Mar 31, 2020",1.6875 Dividend,1.6875 Dividend,1.6875 Dividend,1.6875 Dividend,1.6875 Dividend,1.6875 Dividend
"Mar 30, 2020",100.69,101.20,99.30,100.86,99.17,21430
"Mar 27, 2020",98.26,102.74,98.04,102.49,100.78,7527
"Mar 26, 2020",99.67,103.91,99.00,101.91,100.20,8686
"Mar 25, 2020",90.53,98.09,86.29,96.81,95.19,277872
"Mar 24, 2020",76.00,89.16,76.00,87.50,86.04,16668
"Mar 23, 2020",82.05,82.90,76.93,79.00,77.68,34446
"Mar 20, 2020",84.87,88.43,84.54,85.16,83.74,174571
"Mar 19, 2020",78.75,83.29,78.75,81.37,80.01,3659
"Mar 18, 2020",80.00,84.00,76.41,83.53,82.14,113018
"Mar 17, 2020",75.41,85.30,75.41,83.00,81.61,27657
"Mar 16, 2020",84.24,84.24,75.76,76.50,75.22,8822
"Mar 13, 2020",90.65,90.65,84.24,89.37,87.87,12737
"Mar 12, 2020",96.50,96.50,84.50,84.50,83.09,27570
"Mar 11, 2020",102.95,102.95,97.31,100.61,98.93,44499
"Mar 10, 2020",104.89,105.83,101.80,104.80,103.05,43926
"Mar 09, 2020",109.00,109.15,101.89,104.23,102.49,276307
"Mar 06, 2020",111.37,113.54,111.01,113.19,111.30,3320
"Mar 05, 2020",113.76,116.00,112.80,113.08,111.19,31622
"Mar 04, 2020",117.75,117.75,114.26,115.98,114.04,1370
"Mar 03, 2020",114.77,115.39,112.70,112.70,110.82,4394
"Mar 02, 2020",114.35,114.35,112.55,113.28,111.38,22768
"Feb 28, 2020",110.70,111.75,107.32,111.41,109.55,70899
"Feb 27, 2020",115.80,115.80,113.03,113.11,111.22,1394
"Feb 26, 2020",117.55,118.56,115.94,115.94,114.00,55149
"Feb 25, 2020",121.00,121.00,117.83,117.91,115.94,6631
"Feb 24, 2020",122.80,122.80,120.88,120.88,118.86,15654
"Feb 21, 2020",124.49,124.49,123.41,123.41,121.35,10133
"Feb 20, 2020",124.28,124.68,124.08,124.68,122.59,1841
"Feb 19, 2020",125.25,125.25,124.55,124.55,122.47,1762
"Feb 18, 2020",125.33,125.72,125.33,125.59,123.49,8400
"Feb 14, 2020",124.77,125.33,124.69,125.33,123.23,15279
"Feb 13, 2020",123.78,123.86,123.78,123.86,121.79,11652
"Feb 12, 2020",125.10,125.10,123.30,123.30,121.24,1614
"Feb 11, 2020",124.38,124.38,123.56,123.56,121.49,1082
"Feb 10, 2020",123.19,123.19,123.19,123.19,121.13,454
"Feb 07, 2020",124.15,124.15,123.78,123.91,121.84,3112
"Feb 06, 2020",124.23,125.23,124.13,124.79,122.70,57327
"Feb 05, 2020",124.56,124.56,124.03,124.06,121.98,2371
"Feb 04, 2020",124.69,124.69,124.01,124.35,122.27,15971
"Feb 03, 2020",125.23,125.25,125.08,125.21,123.12,12131
"Jan 31, 2020",125.12,125.12,124.51,125.04,122.95,8887
"Jan 30, 2020",123.77,124.66,123.77,124.66,122.57,1067
"Jan 29, 2020",123.87,123.87,123.61,123.61,121.54,10919
"Jan 28, 2020",124.12,124.33,124.12,124.15,122.07,12343
"Jan 27, 2020",124.10,124.10,123.44,123.70,121.63,7703
"Jan 24, 2020",124.09,124.74,123.77,124.10,122.02,32570
"Jan 23, 2020",123.21,124.56,123.21,124.51,122.43,6832
"Jan 22, 2020",123.55,123.55,122.96,123.05,120.99,1466
"Jan 21, 2020",124.65,124.65,122.55,122.99,120.93,2986
"Jan 17, 2020",121.80,122.91,121.74,122.54,120.49,7611
"Jan 16, 2020",121.25,121.86,121.25,121.67,119.63,2745
"Jan 15, 2020",119.99,120.96,119.99,120.77,118.75,19515
"Jan 14, 2020",119.50,119.50,118.90,119.26,117.26,4104
"Jan 13, 2020",118.74,119.48,118.74,119.27,117.27,1185
"Jan 10, 2020",118.23,118.65,118.15,118.29,116.31,2898
"Jan 09, 2020",118.69,118.69,117.65,117.66,115.69,4345
"Jan 08, 2020",118.10,118.84,118.10,118.58,116.60,3488
"Jan 07, 2020",117.60,117.90,117.15,117.68,115.71,12402
"Jan 06, 2020",117.38,118.01,117.37,117.94,115.97,3101
"Jan 03, 2020",117.94,118.06,117.08,117.13,115.17,12832
"Jan 02, 2020",118.80,118.80,117.59,117.94,115.97,2552
"Dec 31, 2019",119.00,119.22,119.00,119.07,117.08,2915
"Dec 30, 2019",119.90,119.90,118.75,118.90,116.92,2527
"Dec 30, 2019",1.6875 Dividend,1.6875 Dividend,1.6875 Dividend,1.6875 Dividend,1.6875 Dividend,1.6875 Dividend
"Dec 27, 2019",120.73,120.73,120.71,120.71,117.03,1960
"Dec 26, 2019",119.75,119.75,119.75,119.75,116.10,-
"Dec 24, 2019",119.75,119.75,119.75,119.75,116.10,-
"Dec 23, 2019",120.32,120.33,119.72,119.75,116.10,2329
"Dec 20, 2019",121.60,121.60,120.46,120.70,117.03,5647
"Dec 19, 2019",120.63,120.76,120.49,120.76,117.08,2092
"Dec 18, 2019",119.55,120.51,119.55,120.47,116.80,137114
"Dec 17, 2019",119.63,119.72,119.60,119.60,115.95,521
"Dec 16, 2019",119.24,120.10,118.97,119.99,116.33,3635
"Dec 13, 2019",117.69,119.09,117.69,118.96,115.33,50212
"Dec 12, 2019",118.47,118.75,117.66,117.77,114.18,26658
"Dec 11, 2019",118.06,118.72,118.06,118.72,115.10,11305
"Dec 10, 2019",116.01,118.10,116.01,118.10,114.50,2476
"Dec 09, 2019",117.20,117.26,116.78,116.91,113.35,175963
"Dec 06, 2019",117.66,118.06,117.24,117.27,113.70,3818
"Dec 05, 2019",117.95,118.08,117.73,117.87,114.28,8148
"Dec 04, 2019",118.09,118.09,117.65,117.88,114.29,2581
"Dec 03, 2019",118.08,118.26,118.08,118.26,114.66,14338
"Dec 02, 2019",119.66,119.66,116.62,117.33,113.75,5226
"Nov 29, 2019",118.41,118.41,117.64,117.71,114.12,15514
"Nov 27, 2019",117.81,118.28,117.81,118.27,114.67,18790
"Nov 26, 2019",117.99,117.99,117.25,117.84,114.25,20624
