Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",104.65,107.30,103.30,104.28,104.28,1642200
"Apr 02, 2020",102.18,107.64,101.18,106.26,106.26,1618100
"Apr 01, 2020",108.35,109.47,101.67,103.71,103.71,1810000
"Mar 31, 2020",118.35,119.42,112.14,112.99,112.99,3501800
"Mar 30, 2020",122.63,124.44,118.25,119.99,119.99,2348400
"Mar 27, 2020",118.95,125.29,116.01,121.13,121.13,1585900
"Mar 26, 2020",111.35,125.28,110.03,123.60,123.60,2017000
"Mar 25, 2020",104.16,119.62,101.13,114.02,114.02,3365500
"Mar 24, 2020",96.67,105.65,95.37,104.03,104.03,2826300
"Mar 23, 2020",100.31,100.31,88.00,93.42,93.42,3145300
"Mar 20, 2020",99.15,105.84,97.32,99.64,99.64,5236600
"Mar 19, 2020",101.46,101.56,96.44,100.00,100.00,2471400
"Mar 19, 2020",1.045 Dividend,1.045 Dividend,1.045 Dividend,1.045 Dividend,1.045 Dividend,1.045 Dividend
"Mar 18, 2020",92.99,102.95,89.16,102.40,101.36,3882900
"Mar 17, 2020",89.29,100.55,88.30,98.38,97.38,5059000
"Mar 16, 2020",98.00,101.82,88.13,88.62,87.72,3728900
"Mar 13, 2020",109.78,109.98,98.16,106.92,105.83,3748000
"Mar 12, 2020",116.42,116.42,103.85,104.27,103.21,3994900
"Mar 11, 2020",127.27,127.79,117.74,122.95,121.70,3777100
"Mar 10, 2020",129.86,134.02,122.18,130.60,129.27,4230100
"Mar 09, 2020",134.10,136.14,125.11,127.76,126.46,3550700
"Mar 06, 2020",138.11,142.65,136.72,141.87,140.42,2474700
"Mar 05, 2020",144.92,145.40,140.79,141.76,140.31,3109500
"Mar 04, 2020",142.70,148.00,142.52,147.84,146.33,1564700
"Mar 03, 2020",142.65,146.27,139.94,141.02,139.58,2534100
"Mar 02, 2020",140.46,143.70,139.17,142.23,140.78,3323600
"Feb 28, 2020",138.10,140.84,134.65,139.78,138.35,4207700
"Feb 27, 2020",147.56,150.67,141.38,141.42,139.98,3214000
