Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",86.32,87.77,85.01,85.25,85.25,2088000
"Apr 02, 2020",81.43,88.62,80.58,88.01,88.01,1885400
"Apr 01, 2020",84.96,86.90,80.56,83.52,83.52,2221500
"Mar 31, 2020",90.36,91.21,86.91,88.13,88.13,3970400
"Mar 30, 2020",90.61,92.60,89.16,91.89,91.89,2111500
"Mar 27, 2020",84.33,92.73,83.21,89.07,89.07,1826700
"Mar 26, 2020",81.04,88.25,80.36,86.77,86.77,2138500
"Mar 25, 2020",79.64,84.00,77.30,80.74,80.74,2331000
"Mar 24, 2020",72.27,80.68,70.29,80.21,80.21,3017400
"Mar 23, 2020",73.27,76.44,68.01,70.89,70.89,3849700
"Mar 20, 2020",90.57,90.57,72.08,74.09,74.09,4700900
"Mar 19, 2020",103.76,104.99,90.01,90.41,90.41,2983300
"Mar 18, 2020",98.47,107.40,92.03,104.53,104.53,4332900
"Mar 17, 2020",95.25,109.53,94.70,102.46,102.46,5748600
"Mar 16, 2020",91.49,101.37,90.00,92.68,92.68,4106600
"Mar 13, 2020",95.26,99.55,92.24,99.42,99.42,3546700
"Mar 12, 2020",91.49,98.12,78.93,91.64,91.64,3026000
"Mar 11, 2020",99.98,101.35,96.34,97.45,97.45,2669300
"Mar 10, 2020",102.93,105.64,98.24,102.05,102.05,3115200
"Mar 09, 2020",97.81,104.28,97.81,102.37,102.37,3482700
"Mar 06, 2020",101.67,105.43,100.55,104.72,104.72,2667800
"Mar 05, 2020",102.37,105.26,102.07,104.11,104.11,1842600
"Mar 04, 2020",98.74,104.55,98.74,104.21,104.21,1817200
"Mar 03, 2020",97.71,100.14,97.17,97.58,97.58,2509000
"Mar 02, 2020",92.89,97.72,92.73,97.69,97.69,2817600
"Feb 28, 2020",94.00,94.00,90.16,92.33,92.33,3200700
"Feb 27, 2020",100.10,101.28,95.49,95.56,95.56,2306400
"Feb 26, 2020",100.50,101.64,100.26,100.29,100.29,1830500
"Feb 25, 2020",101.99,102.43,100.21,100.41,100.41,1806300
"Feb 24, 2020",102.37,102.85,101.42,101.82,101.82,1867400
"Feb 21, 2020",102.38,103.28,102.25,102.50,102.50,1491100
"Feb 20, 2020",102.38,102.55,101.66,102.39,102.39,1218000
