Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 03, 2020",59.88,60.42,57.29,57.86,57.86,3450300
"Apr 02, 2020",57.33,61.10,57.11,60.42,60.42,3525100
"Apr 01, 2020",58.36,59.09,56.96,58.08,58.08,4086600
"Mar 31, 2020",61.85,62.05,59.81,60.30,60.30,6829500
"Mar 30, 2020",59.92,63.11,59.03,62.56,62.56,7024900
"Mar 27, 2020",56.89,60.60,55.99,58.77,58.77,4399100
"Mar 26, 2020",55.94,58.62,54.94,57.91,57.91,5489900
"Mar 25, 2020",53.34,57.05,52.58,55.55,55.55,5942600
"Mar 24, 2020",51.28,54.31,50.57,54.05,54.05,5499100
"Mar 23, 2020",50.50,51.00,46.58,50.00,50.00,6062700
"Mar 20, 2020",59.00,59.15,50.03,50.63,50.63,9148900
"Mar 19, 2020",61.53,62.48,57.24,57.99,57.99,6840300
"Mar 18, 2020",61.49,64.00,57.67,61.37,61.37,6690300
"Mar 17, 2020",59.74,67.26,59.64,64.93,64.93,8959300
"Mar 16, 2020",60.86,67.00,57.41,58.36,58.36,7884300
"Mar 13, 2020",63.37,66.85,61.00,66.84,66.84,5724700
"Mar 12, 2020",63.06,66.98,59.57,61.29,61.29,7310900
"Mar 12, 2020",0.43 Dividend,0.43 Dividend,0.43 Dividend,0.43 Dividend,0.43 Dividend,0.43 Dividend
"Mar 11, 2020",67.03,68.23,65.63,66.82,66.39,5815100
"Mar 10, 2020",68.55,70.68,66.10,68.49,68.05,8897400
"Mar 09, 2020",66.36,69.99,65.30,67.99,67.55,9885200
"Mar 06, 2020",66.51,70.16,66.23,70.15,69.70,6689400
"Mar 05, 2020",67.84,70.02,67.45,69.25,68.80,5871800
"Mar 04, 2020",66.53,69.41,66.06,69.20,68.75,3454200
"Mar 03, 2020",65.42,67.46,65.20,65.71,65.29,5425200
"Mar 02, 2020",62.22,65.99,62.15,65.87,65.45,5117800
"Feb 28, 2020",64.08,64.08,61.25,62.32,61.92,7762100
"Feb 27, 2020",68.33,68.67,64.81,64.85,64.43,4225400
"Feb 26, 2020",69.32,69.49,68.32,68.35,67.91,3060200
"Feb 25, 2020",70.48,70.65,68.73,68.84,68.40,3581800
"Feb 24, 2020",71.69,72.14,70.22,70.37,69.92,3531000
"Feb 21, 2020",70.72,71.42,70.44,70.82,70.36,3563600
"Feb 20, 2020",70.74,70.99,70.19,70.67,70.22,2243900
"Feb 19, 2020",70.94,71.24,70.77,70.79,70.33,2284500
"Feb 18, 2020",70.63,71.43,70.57,71.16,70.70,3552200
"Feb 14, 2020",69.99,70.40,69.77,70.26,69.81,1959400
"Feb 13, 2020",69.08,69.89,68.92,69.82,69.37,2430700
"Feb 12, 2020",68.75,69.25,68.55,69.03,68.59,2032500
"Feb 11, 2020",69.06,69.23,68.84,68.96,68.52,2176200
"Feb 10, 2020",68.91,69.12,68.54,69.06,68.62,2306300
"Feb 07, 2020",69.49,69.54,68.70,68.71,68.27,2316900
"Feb 06, 2020",69.13,69.54,69.01,69.30,68.85,4507500
"Feb 05, 2020",69.81,69.81,68.75,69.30,68.85,3021000
"Feb 04, 2020",69.39,69.77,69.02,69.30,68.85,3705700
"Feb 03, 2020",69.65,69.82,69.26,69.45,69.00,3880000
"Jan 31, 2020",69.01,69.62,68.75,69.19,68.74,5165700
"Jan 30, 2020",67.26,68.86,66.95,68.76,68.32,3486400
"Jan 29, 2020",67.17,67.42,66.77,67.42,66.99,2345600
"Jan 28, 2020",66.94,67.46,66.89,67.22,66.79,2040200
"Jan 27, 2020",67.14,67.69,66.65,66.92,66.49,1656100
"Jan 24, 2020",66.74,67.48,66.59,67.17,66.74,1851000
"Jan 23, 2020",66.18,66.97,66.12,66.90,66.47,2486900
"Jan 22, 2020",66.10,66.40,66.02,66.22,65.79,2659200
"Jan 21, 2020",65.38,66.01,65.17,66.00,65.58,4549300
"Jan 17, 2020",65.16,65.48,64.75,65.37,64.95,2384300
"Jan 16, 2020",64.69,65.11,64.53,65.03,64.61,1919400
"Jan 15, 2020",63.78,64.60,63.73,64.47,64.06,1949200
"Jan 14, 2020",63.30,63.62,62.90,63.47,63.06,2444000
"Jan 13, 2020",62.55,63.55,62.55,63.37,62.96,2737500
"Jan 10, 2020",62.55,62.85,62.50,62.64,62.24,5295900
"Jan 09, 2020",62.15,62.76,62.11,62.54,62.14,4494800
"Jan 08, 2020",62.59,62.64,62.12,62.40,62.00,4828900
"Jan 07, 2020",62.15,62.52,61.97,62.46,62.06,1861100
"Jan 06, 2020",62.76,62.94,62.33,62.59,62.19,2217100
"Jan 03, 2020",62.28,62.92,62.28,62.68,62.28,2422500
"Jan 02, 2020",63.55,63.58,62.20,62.38,61.98,2915400
"Dec 31, 2019",63.29,63.55,63.14,63.49,63.08,2136900
"Dec 30, 2019",62.94,63.29,62.72,63.29,62.88,1717700
"Dec 27, 2019",62.81,63.16,62.69,63.12,62.71,1931200
"Dec 26, 2019",62.83,63.03,62.55,62.79,62.39,1324900
"Dec 24, 2019",62.54,62.90,62.32,62.86,62.46,956900
"Dec 24, 2019",0.405 Dividend,0.405 Dividend,0.405 Dividend,0.405 Dividend,0.405 Dividend,0.405 Dividend
"Dec 23, 2019",64.38,64.39,62.77,63.02,62.21,4148100
"Dec 20, 2019",64.07,64.67,63.74,64.15,63.33,7834500
"Dec 19, 2019",64.00,64.01,63.57,63.85,63.03,2544800
"Dec 18, 2019",63.57,63.92,63.24,63.79,62.97,3404000
"Dec 17, 2019",63.22,63.86,63.02,63.46,62.65,2788800
"Dec 16, 2019",62.18,63.06,62.07,63.03,62.22,2845300
"Dec 13, 2019",61.35,62.38,61.10,62.26,61.46,2773000
"Dec 12, 2019",61.99,62.45,61.03,61.36,60.57,4493500
